"di.id","year","ITEP.sector","Donor","value.x","country","value.y","diff"
"adaptation-fund",2010,"environment","Adaptation Fund",8191820,,,
"adaptation-fund",2010,"water-and-sanitation","Adaptation Fund",12020760,,,
"adaptation-fund",2011,"agriculture-and-food-security","Adaptation Fund",8645210,,,
"adaptation-fund",2011,"environment","Adaptation Fund",7417080,,,
"adaptation-fund",2011,"humanitarian","Adaptation Fund",1730530,,,
"adaptation-fund",2011,"other","Adaptation Fund",10040000,,,
"adaptation-fund",2011,"water-and-sanitation","Adaptation Fund",13858780,,,
"adaptation-fund",2012,"agriculture-and-food-security","Adaptation Fund",4295740,,,
"adaptation-fund",2012,"environment","Adaptation Fund",3521630,,,
"adaptation-fund",2012,"humanitarian","Adaptation Fund",1669650,,,
"adaptation-fund",2012,"other","Adaptation Fund",12125342,,,
"adaptation-fund",2013,"other","Adaptation Fund",6137640,,,
"adaptation-fund",2014,"agriculture-and-food-security","Adaptation Fund",11060130,,,
"adaptation-fund",2014,"environment","Adaptation Fund",11945498,,,
"adaptation-fund",2014,"humanitarian","Adaptation Fund",1233333,,,
"adaptation-fund",2014,"other","Adaptation Fund",10131109,,,
"adaptation-fund",2014,"water-and-sanitation","Adaptation Fund",1914548,,,
"adaptation-fund",2015,"agriculture-and-food-security","Adaptation Fund",11181700,,,
"adaptation-fund",2015,"environment","Adaptation Fund",3777961,,,
"adaptation-fund",2015,"humanitarian","Adaptation Fund",4416510,,,
"adaptation-fund",2015,"other","Adaptation Fund",8367780,,,
"adaptation-fund",2015,"water-and-sanitation","Adaptation Fund",15552034,,,
"adaptation-fund",2016,"agriculture-and-food-security","Adaptation Fund",10882795,,,
"adaptation-fund",2016,"environment","Adaptation Fund",8146339,,,
"adaptation-fund",2016,"humanitarian","Adaptation Fund",2361100,,,
"adaptation-fund",2016,"other","Adaptation Fund",13622376,,,
"adaptation-fund",2016,"water-and-sanitation","Adaptation Fund",4488692,,,
"AE",2009,"agriculture-and-food-security","United Arab Emirates",183633576,"United Arab Emirates",183633242,1.81883949153177e-06
"AE",2009,"education","United Arab Emirates",21153582,"United Arab Emirates",21153585,-1.4181995276261e-07
"AE",2009,"general-budget-support","United Arab Emirates",5151558,"United Arab Emirates",5151551,1.35881222729124e-06
"AE",2009,"governance-security-and-civil-society","United Arab Emirates",174752587,,,
"AE",2009,"health","United Arab Emirates",98619132,"United Arab Emirates",98619130,2.02800405909068e-08
"AE",2009,"humanitarian","United Arab Emirates",127692562,"United Arab Emirates",127692711,-1.16686514599026e-06
"AE",2009,"industry-and-trade","United Arab Emirates",13661655,"United Arab Emirates",13661638,1.24435875448472e-06
"AE",2009,"infrastructure","United Arab Emirates",183825017,"United Arab Emirates",183824998,1.03359163568036e-07
"AE",2009,"other","United Arab Emirates",61404773,"United Arab Emirates",61404794,-3.41992958755828e-07
"AE",2009,"other-social-services","United Arab Emirates",77925047,"United Arab Emirates",77925101,-6.92973595511595e-07
"AE",2009,"water-and-sanitation","United Arab Emirates",35525155,"United Arab Emirates",35525123,9.00770172572083e-07
"AE",2010,"agriculture-and-food-security","United Arab Emirates",5399154,"United Arab Emirates",5399154,0
"AE",2010,"education","United Arab Emirates",16722880,"United Arab Emirates",16722874,3.5878987351461e-07
"AE",2010,"environment","United Arab Emirates",2356320,"United Arab Emirates",2356316,1.69756230053643e-06
"AE",2010,"general-budget-support","United Arab Emirates",82483440,"United Arab Emirates",82483444,-4.84945826701699e-08
"AE",2010,"governance-security-and-civil-society","United Arab Emirates",14133807,,,
"AE",2010,"health","United Arab Emirates",44100631,"United Arab Emirates",44100611,4.53508250256102e-07
"AE",2010,"humanitarian","United Arab Emirates",83290052,"United Arab Emirates",83290083,-3.72193308271677e-07
"AE",2010,"industry-and-trade","United Arab Emirates",40470949,"United Arab Emirates",40470897,1.28487226726509e-06
"AE",2010,"infrastructure","United Arab Emirates",47179770,"United Arab Emirates",47179739,6.57061278594618e-07
"AE",2010,"other","United Arab Emirates",90199547,"United Arab Emirates",90199590,-4.76720797721966e-07
"AE",2010,"other-social-services","United Arab Emirates",25467047,"United Arab Emirates",25467012,1.37432502480559e-06
"AE",2010,"water-and-sanitation","United Arab Emirates",31657616,"United Arab Emirates",31657624,-2.52703804354693e-07
"AE",2011,"agriculture-and-food-security","United Arab Emirates",5994795,"United Arab Emirates",5994791,6.67245502295128e-07
"AE",2011,"education","United Arab Emirates",28803598,"United Arab Emirates",28803582,5.55486158361188e-07
"AE",2011,"environment","United Arab Emirates",1171574,"United Arab Emirates",1171575,-8.5355257115641e-07
"AE",2011,"general-budget-support","United Arab Emirates",177032300,"United Arab Emirates",177032280,1.12973734171674e-07
"AE",2011,"governance-security-and-civil-society","United Arab Emirates",2947313,,,
"AE",2011,"health","United Arab Emirates",51826513,"United Arab Emirates",51826531,-3.47312581110753e-07
"AE",2011,"humanitarian","United Arab Emirates",137319084,"United Arab Emirates",137319074,7.28230899064255e-08
"AE",2011,"industry-and-trade","United Arab Emirates",12292180,"United Arab Emirates",12292187,-5.69467742754935e-07
"AE",2011,"infrastructure","United Arab Emirates",102823300,"United Arab Emirates",102823273,2.62586398219081e-07
"AE",2011,"other","United Arab Emirates",100112130,"United Arab Emirates",100112144,-1.39843193826762e-07
"AE",2011,"other-social-services","United Arab Emirates",9431226,"United Arab Emirates",9431222,4.2412301433557e-07
"AE",2011,"water-and-sanitation","United Arab Emirates",27604895,"United Arab Emirates",27604891,1.44901837156055e-07
"AE",2012,"agriculture-and-food-security","United Arab Emirates",2616615,"United Arab Emirates",2616614,3.82173151189609e-07
"AE",2012,"education","United Arab Emirates",23514815,"United Arab Emirates",23514817,-8.50527635450247e-08
"AE",2012,"environment","United Arab Emirates",5939137,"United Arab Emirates",5939145,-1.34699704687735e-06
"AE",2012,"general-budget-support","United Arab Emirates",155373631,"United Arab Emirates",155373496,8.68873303218356e-07
"AE",2012,"governance-security-and-civil-society","United Arab Emirates",4323063,,,
"AE",2012,"health","United Arab Emirates",144092160,"United Arab Emirates",144092122,2.63720108019756e-07
"AE",2012,"humanitarian","United Arab Emirates",66988577,"United Arab Emirates",66988596,-2.83630446426709e-07
"AE",2012,"industry-and-trade","United Arab Emirates",14851826,"United Arab Emirates",14851825,6.73317880239103e-08
"AE",2012,"infrastructure","United Arab Emirates",183419540,"United Arab Emirates",183419502,2.07175309675294e-07
"AE",2012,"other","United Arab Emirates",85202645,"United Arab Emirates",85202616,3.4036502035823e-07
