di_id,year,value
AE,1960,3910000
AF,1960,89380000
ANHH,1960,1290000
AR,1960,287120000
BH,1960,2290000
BI,1960,68870000
BJ,1960,1e+05
BO,1960,82880000
BR,1960,260000
BW,1960,28540000
BZ,1960,60000
CD,1960,656110000
CF,1960,2e+05
CG,1960,2e+05
CI,1960,2e+05
CL,1960,100040000
CM,1960,410000
CO,1960,120000
CU,1960,250000
CY,1960,219870000
DZ,1960,2794980000
EC,1960,38480000
EG,1960,797490000
ET,1960,56510000
GA,1960,1e+05
GH,1960,14270000
GI,1960,4870000
GN,1960,660000
GT,1960,102010000
HN,1960,120000
ID,1960,187160000
IL,1960,967870000
IN,1960,3761570000
IQ,1960,780000
IR,1960,202280000
JO,1960,455320000
KE,1960,3.3e+07
KH,1960,169520000
KR,1960,1598410000
LA,1960,210520000
LB,1960,57510000
LK,1960,64530000
LR,1960,57500000
LS,1960,14410000
LY,1960,297710000
MA,1960,382920000
ML,1960,1e+05
MM,1960,358130000
MR,1960,1e+05
MT,1960,122900000
MU,1960,5150000
MW,1960,39800000
MX,1960,19710000
MY,1960,1810000
NE,1960,3e+05
NG,1960,20340000
NI,1960,120000
NP,1960,1750000
OM,1960,2390000
PE,1960,64300000
PK,1960,1618560000
PY,1960,110000
SA,1960,76620000
SC,1960,10400000
SD,1960,109180000
SL,1960,60000
SN,1960,1e+05
SO,1960,19130000
SV,1960,130000
SY,1960,82880000
SZ,1960,12310000
TD,1960,2e+05
TG,1960,110000
TN,1960,327320000
TR,1960,698100000
TW,1960,510000
TZ,1960,48990000
UG,1960,60000
UY,1960,127800000
VE,1960,19130000
YE,1960,32440000
ZM,1960,8880000
east-asia,1960,3110000
europe,1960,805500000
middle-east,1960,31880000
north-central-america,1960,-130000
north-of-sahara,1960,244140000
south-america,1960,12940000
south-of-sahara,1960,2569790000
west-indies,1960,176160000
AE,1961,4990000
AF,1961,267850000
ANHH,1961,6420000
AO,1961,20360000
AR,1961,836740000
BF,1961,11230000
BI,1961,65250000
BJ,1961,9290000
BO,1961,147900000
BR,1961,2128460000
BW,1961,50250000
BZ,1961,26040000
CD,1961,541260000
CF,1961,2980000
CG,1961,1060000
CI,1961,26570000
CL,1961,911060000
CM,1961,59620000
CO,1961,460510000
CR,1961,50450000
CV,1961,2400000
CY,1961,169370000
DZ,1961,3673360000
EC,1961,88280000
EG,1961,811750000
ET,1961,159090000
GA,1961,4510000
GH,1961,17420000
GI,1961,8410000
GM,1961,13210000
GN,1961,18870000
GT,1961,94590000
GW,1961,110000
GY,1961,84500000
HK,1961,35960000
HN,1961,50450000
