di_id,year,value
AF,1960,15010000
AR,1960,41890000
BH,1960,-2e+05
BI,1960,7510000
BJ,1960,10000
BN,1960,10000
BO,1960,11370000
BR,1960,40260000
BW,1960,3430000
BZ,1960,1800000
CD,1960,71450000
CF,1960,20000
CG,1960,20000
CL,1960,-3700000
CM,1960,320000
CO,1960,-160000
CR,1960,-620000
CU,1960,10000
CY,1960,24030000
DZ,1960,355100000
EC,1960,-820000
EG,1960,170590000
ET,1960,270000
GA,1960,10000
GH,1960,70000
GI,1960,470000
GM,1960,540000
GT,1960,-820000
GY,1960,10000
HK,1960,830000
HN,1960,4280000
HT,1960,9380000
ID,1960,59400000
IL,1960,40370000
IN,1960,16220000
IQ,1960,-20000
IR,1960,26160000
JO,1960,69080000
KH,1960,25150000
KR,1960,460000
LA,1960,130000
LK,1960,2500000
LR,1960,9e+06
LY,1960,42140000
MA,1960,59140000
MG,1960,2610000
MM,1960,21510000
MO,1960,1e+06
MR,1960,10000
MT,1960,12330000
MU,1960,440000
MV,1960,20000
MX,1960,-6950000
MY,1960,540000
NG,1960,3150000
NI,1960,8010000
NP,1960,180000
OM,1960,250000
PA,1960,-40000
PE,1960,-10430000
PK,1960,237070000
PY,1960,3100000
RW,1960,10000
SA,1960,8010000
SC,1960,1080000
SD,1960,10790000
SL,1960,6420000
SN,1960,10000
SO,1960,18470000
SV,1960,1e+06
TD,1960,20000
TG,1960,30000
TN,1960,51200000
TR,1960,136160000
TW,1960,10000
UG,1960,230000
UY,1960,19030000
VE,1960,-6950000
YE,1960,30000
ZM,1960,920000
america,1960,41400000
europe,1960,138930000
middle-east,1960,5e+06
north-of-sahara,1960,29210000
south-america,1960,0
south-of-sahara,1960,305110000
west-indies,1960,3e+06
AE,1961,540000
AF,1961,33050000
ANHH,1961,530000
AO,1961,23470000
AR,1961,28340000
BF,1961,1170000
BH,1961,940000
BI,1961,7170000
BJ,1961,1310000
BO,1961,22840000
BR,1961,266780000
BW,1961,5440000
BZ,1961,2780000
CD,1961,60550000
CF,1961,310000
CG,1961,110000
CI,1961,2110000
CL,1961,115610000
CM,1961,6760000
CO,1961,45820000
CR,1961,5960000
CV,1961,2720000
CY,1961,20100000
DZ,1961,437900000
EC,1961,9620000
EG,1961,109120000
ET,1961,19960000
FJ,1961,980000
GA,1961,470000
GH,1961,2190000
GI,1961,870000
GM,1961,1430000
GN,1961,2260000
GT,1961,13700000
GY,1961,8070000
HK,1961,-80000
HN,1961,5930000
HT,1961,12660000
ID,1961,84410000
IL,1961,106750000
IN,1961,611840000
IQ,1961,-180000
IR,1961,127830000
JO,1961,71620000
KE,1961,62940000
KH,1961,24060000
KR,1961,510000
LA,1961,160000
LB,1961,8020000
LK,1961,11990000
LR,1961,26630000
LS,1961,4100000
LY,1961,36020000
MA,1961,109870000
MG,1961,1260000
ML,1961,3e+05
MM,1961,19710000
MR,1961,950000
MT,1961,9770000
MU,1961,5380000
MV,1961,240000
MW,1961,8230000
MX,1961,67580000
MY,1961,1450000
MZ,1961,3590000
NE,1961,1130000
NG,1961,31040000
NI,1961,7960000
NP,1961,250000
OM,1961,330000
PA,1961,8920000
PE,1961,-21240000
PH,1961,9380000
PK,1961,220560000
PY,1961,8690000
RW,1961,7170000
SA,1961,-3e+05
SB,1961,1950000
SC,1961,990000
SD,1961,13820000
SH,1961,50000
SL,1961,13810000
SN,1961,80000
SO,1961,22390000
SR,1961,10300000
ST,1961,1010000
SV,1961,6970000
SY,1961,11240000
SZ,1961,11430000
TD,1961,3140000
TG,1961,1530000
TH,1961,28450000
TN,1961,91770000
TR,1961,187430000
TZ,1961,38770000
UG,1961,20900000
UY,1961,-680000
VE,1961,-4680000
VN,1961,151040000
VU,1961,280000
YE,1961,14650000
ZM,1961,910000
ZW,1961,10000
africa,1961,1e+06
america,1961,42800000
east-asia,1961,140000
europe,1961,183760000
middle-east,1961,4e+06
north-of-sahara,1961,7e+05
south-america,1961,170000
south-of-sahara,1961,331920000
west-indies,1961,17520000
AE,1962,430000
AF,1962,1950000
ANHH,1962,580000
AR,1962,-35280000
BF,1962,2990000
BH,1962,1350000
BI,1962,10810000
BJ,1962,3360000
BO,1962,80000
BR,1962,-270000
BW,1962,5230000
BZ,1962,1e+06
CD,1962,115220000
CF,1962,870000
CG,1962,2840000
CI,1962,8260000
CL,1962,128670000
CM,1962,8250000
CO,1962,43930000
CR,1962,9e+06
CY,1962,15320000
DO,1962,-1100000
DZ,1962,396310000
EC,1962,11980000
EG,1962,178080000
ET,1962,24890000
GA,1962,20000
GH,1962,2840000
GI,1962,430000
GM,1962,20000
GN,1962,9700000
GT,1962,8910000
GY,1962,7780000
HK,1962,2e+06
HT,1962,-190000
ID,1962,43850000
IL,1962,59860000
IN,1962,662570000
IQ,1962,1010000
IR,1962,7930000
JM,1962,10490000
JO,1962,1110000
KE,1962,48250000
KH,1962,1080000
KR,1962,235230000
LA,1962,3e+07
LB,1962,4460000
LK,1962,9620000
LR,1962,44990000
LS,1962,5750000
LY,1962,31090000
MA,1962,78390000
MG,1962,30000
ML,1962,8040000
MM,1962,3840000
MT,1962,8730000
MU,1962,20000
MW,1962,11580000
MX,1962,2520000
MY,1962,10440000
NE,1962,2890000
NG,1962,16330000
NI,1962,-440000
NP,1962,8e+06
PA,1962,10170000
PE,1962,-2250000
PH,1962,240000
PK,1962,46990000
PY,1962,3740000
RW,1962,10060000
SA,1962,-780000
SD,1962,10720000
SH,1962,790000
SL,1962,1500000
SN,1962,-160000
SO,1962,8550000
SR,1962,8920000
SV,1962,-480000
SY,1962,19120000
SZ,1962,6720000
TD,1962,5220000
TG,1962,2e+06
TN,1962,69090000
TR,1962,228030000
TT,1962,480000
TW,1962,78050000
TZ,1962,46030000
UG,1962,2.8e+07
UY,1962,-1420000
VE,1962,20000
YE,1962,17880000
africa,1962,2e+06
america,1962,8990000
east-asia,1962,8340000
europe,1962,41170000
middle-east,1962,-10000
north-central-america,1962,10000
north-of-sahara,1962,0
south-america,1962,0
south-of-sahara,1962,-10000
west-indies,1962,12260000
AE,1963,390000
AF,1963,34880000
ANHH,1963,2600000
AO,1963,10000
AR,1963,36460000
BF,1963,3610000
BH,1963,640000
BI,1963,5940000
BJ,1963,3940000
BO,1963,52240000
BR,1963,195110000
BW,1963,5300000
BZ,1963,4e+06
CD,1963,103210000
CF,1963,1630000
CG,1963,5140000
CI,1963,7890000
CL,1963,137660000
CM,1963,7850000
CO,1963,72790000
CR,1963,9910000
CY,1963,10550000
DO,1963,47600000
DZ,1963,280970000
EC,1963,15260000
EG,1963,197920000
ET,1963,22570000
GA,1963,3280000
GH,1963,16990000
GI,1963,-10000
GM,1963,5060000
GN,1963,8e+06
GT,1963,11330000
GY,1963,5590000
HK,1963,4e+06
HN,1963,8930000
HT,1963,2190000
ID,1963,9680000
IL,1963,112790000
IN,1963,970280000
IQ,1963,3910000
IR,1963,23580000
JM,1963,3320000
JO,1963,63020000
KE,1963,54670000
KH,1963,780000
KI,1963,410000
KR,1963,256940000
KW,1963,-6e+05
LA,1963,30700000
LB,1963,3090000
LK,1963,10010000
LR,1963,33550000
LS,1963,5480000
LY,1963,25340000
MA,1963,92780000
MG,1963,7580000
ML,1963,6590000
MM,1963,40720000
MO,1963,1e+06
MP,1963,1.7e+07
MR,1963,1820000
MT,1963,17020000
MU,1963,5540000
MW,1963,16450000
MX,1963,14240000
MY,1963,5150000
NE,1963,4050000
NG,1963,18090000
NI,1963,7400000
NP,1963,14260000
OM,1963,360000
PA,1963,18550000
PE,1963,10070000
PH,1963,1.1e+07
PK,1963,88560000
PY,1963,9100000
RW,1963,7020000
SA,1963,-2790000
SC,1963,630000
SD,1963,13430000
SG,1963,430000
SH,1963,450000
SL,1963,9500000
SN,1963,9940000
SO,1963,27040000
SR,1963,13050000
SV,1963,12700000
SY,1963,-2190000
SZ,1963,6410000
TD,1963,5340000
TG,1963,5680000
TH,1963,-650000
TN,1963,81940000
TR,1963,221270000
TT,1963,11400000
TW,1963,75140000
TZ,1963,27220000
UG,1963,16820000
UY,1963,11730000
VE,1963,47290000
VN,1963,12530000
YE,1963,20910000
ZM,1963,5380000
ZW,1963,10860000
america,1963,99290000
asia,1963,1.7e+07
east-asia,1963,5990000
europe,1963,45390000
middle-east,1963,-10000
north-central-america,1963,260000
north-of-sahara,1963,-10000
south-america,1963,10000
south-central-asia,1963,10000
south-of-sahara,1963,342740000
west-indies,1963,8410000
AF,1964,36930000
ANHH,1964,90000
AR,1964,24620000
BF,1964,10760000
BI,1964,7110000
BJ,1964,17660000
BM,1964,10000
BN,1964,20000
BO,1964,39390000
BR,1964,224980000
BS,1964,50000
BT,1964,10000
BW,1964,8810000
BZ,1964,1370000
CD,1964,110220000
CF,1964,16490000
CG,1964,17120000
CI,1964,5800000
CL,1964,24060000
CM,1964,26800000
CO,1964,3970000
CR,1964,3310000
CY,1964,4360000
DO,1964,22630000
DZ,1964,226530000
EC,1964,1500000
EG,1964,225180000
ET,1964,3160000
GA,1964,1.3e+07
GH,1964,4080000
GI,1964,150000
GM,1964,2470000
GN,1964,12060000
GT,1964,-90000
GY,1964,1100000
HK,1964,-20000
HN,1964,11250000
HT,1964,2610000
ID,1964,46570000
IL,1964,33740000
IN,1964,42370000
IQ,1964,11600000
IR,1964,-6340000
JM,1964,3580000
JO,1964,53490000
KE,1964,-1290000
KH,1964,10120000
KR,1964,1600000
KW,1964,-7e+05
LA,1964,3500000
LB,1964,710000
LK,1964,3360000
LR,1964,12420000
LS,1964,1e+05
LY,1964,17690000
MA,1964,99140000
MG,1964,44480000
ML,1964,2560000
MM,1964,16750000
MR,1964,2470000
MT,1964,19300000
MU,1964,1880000
MV,1964,250000
MW,1964,1e+05
MX,1964,-22860000
MY,1964,3210000
MZ,1964,-40000
NE,1964,1.2e+07
NG,1964,30330000
NI,1964,8510000
NP,1964,1220000
OM,1964,4060000
PA,1964,160000
PE,1964,17860000
PH,1964,10000
PK,1964,408490000
PY,1964,-8.67361737988404e-12
RW,1964,1360000
SA,1964,20000
SC,1964,930000
SD,1964,5380000
SL,1964,9590000
SN,1964,14300000
SO,1964,13980000
SR,1964,120000
SV,1964,11010000
SY,1964,190000
SZ,1964,10000
TD,1964,16100000
TG,1964,9310000
TH,1964,-20000
TN,1964,69260000
TR,1964,160150000
TT,1964,11290000
TW,1964,1410000
TZ,1964,9760000
UG,1964,2030000
UY,1964,1030000
VE,1964,-5.3e+07
VN,1964,5370000
YE,1964,860000
ZM,1964,20670000
ZW,1964,190000
africa,1964,9010000
america,1964,161930000
asia,1964,-10000
east-asia,1964,-5e+05
europe,1964,46270000
north-central-america,1964,3610000
south-america,1964,50000
south-central-asia,1964,10000
south-of-sahara,1964,139060000
AF,1965,51130000
ANHH,1965,5730000
AO,1965,1110000
AR,1965,-64830000
BF,1965,16420000
BH,1965,880000
BI,1965,4370000
BJ,1965,17470000
BM,1965,50000
BN,1965,20000
BO,1965,32850000
BR,1965,233830000
BS,1965,60000
BT,1965,160000
BW,1965,10240000
BZ,1965,1580000
CD,1965,139710000
CF,1965,15430000
CG,1965,15210000
CI,1965,35010000
CL,1965,109460000
CM,1965,31410000
CO,1965,30770000
CR,1965,14980000
CY,1965,5650000
DO,1965,78770000
DZ,1965,144230000
EC,1965,18530000
EG,1965,113030000
ET,1965,19200000
FJ,1965,4300000
GA,1965,10780000
GH,1965,44560000
GI,1965,1060000
GM,1965,4030000
GN,1965,23230000
GT,1965,13430000
GY,1965,3220000
HK,1965,-30000
HN,1965,12440000
HT,1965,5120000
ID,1965,20220000
IL,1965,122050000
IN,1965,1266970000
IQ,1965,740000
IR,1965,17210000
JM,1965,4180000
JO,1965,49470000
KE,1965,69060000
KH,1965,8020000
KR,1965,6740000
KW,1965,-1100000
LA,1965,9100000
LB,1965,1070000
LK,1965,11390000
LR,1965,34090000
LS,1965,9120000
LY,1965,6860000
MA,1965,104130000
MG,1965,49090000
ML,1965,17730000
MM,1965,15030000
MR,1965,8890000
MS,1965,830000
MT,1965,16240000
MU,1965,1850000
MV,1965,90000
MW,1965,34480000
MX,1965,37020000
MY,1965,6470000
NE,1965,14490000
NG,1965,60130000
NI,1965,7300000
NP,1965,240000
OM,1965,1590000
PA,1965,32380000
PE,1965,52430000
PH,1965,43330000
PK,1965,407140000
PY,1965,8550000
RW,1965,7610000
SA,1965,80000
SB,1965,3820000
SC,1965,1500000
SD,1965,27220000
SH,1965,660000
SL,1965,2850000
SN,1965,44700000
SO,1965,26780000
SR,1965,13390000
SV,1965,14040000
SY,1965,-230000
SZ,1965,15010000
TD,1965,17830000
TG,1965,11120000
TH,1965,38980000
TN,1965,88770000
TR,1965,186980000
TT,1965,440000
TW,1965,470000
TZ,1965,36340000
UG,1965,19140000
UY,1965,39999.9999999999
VE,1965,2850000
VN,1965,300700000
VU,1965,580000
YE,1965,31170000
ZM,1965,12340000
ZW,1965,3500000
africa,1965,23230000
america,1965,102900000
europe,1965,74120000
middle-east,1965,3610000
north-central-america,1965,7030000
north-of-sahara,1965,60000
south-america,1965,60000
south-central-asia,1965,2750000
south-of-sahara,1965,73030000
west-indies,1965,10960000
AE,1966,1300000
AF,1966,16880000
ANHH,1966,1480000
AO,1966,2860000
AR,1966,1760000
BB,1966,1190000
BF,1966,6430000
BH,1966,880000
BI,1966,8120000
BJ,1966,14310000
BO,1966,6570000
BR,1966,48380000
BS,1966,40000
BT,1966,50000
BW,1966,17640000
BZ,1966,4e+05
CD,1966,90100000
CF,1966,15010000
CG,1966,18750000
CI,1966,34880000
CL,1966,117310000
CM,1966,39230000
CO,1966,90380000
CR,1966,11620000
CV,1966,2410000
CY,1966,720000
DJ,1966,70000
DO,1966,-110000
DZ,1966,124240000
EC,1966,22790000
EG,1966,71770000
ET,1966,24310000
FJ,1966,20000
GA,1966,1550000
GH,1966,37240000
GI,1966,1700000
GM,1966,440000
GN,1966,12730000
GT,1966,9220000
GW,1966,1150000
GY,1966,8560000
HK,1966,130000
HN,1966,290000
HT,1966,210000
ID,1966,2330000
IL,1966,59270000
IN,1966,1143100000
IQ,1966,930000
IR,1966,11280000
JM,1966,4510000
JO,1966,1900000
KE,1966,51510000
KH,1966,1820000
KM,1966,6100000
KR,1966,205250000
KW,1966,20000
LA,1966,60640000
LB,1966,2170000
LK,1966,13400000
LR,1966,3990000
LS,1966,11270000
LY,1966,1230000
MA,1966,76910000
MG,1966,5250000
ML,1966,19510000
MM,1966,4410000
MR,1966,3790000
MT,1966,17330000
MU,1966,180000
MV,1966,20000
MW,1966,31060000
MX,1966,3810000
MY,1966,20770000
MZ,1966,5850000
NE,1966,6210000
NG,1966,26290000
NI,1966,4360000
NP,1966,12860000
PA,1966,18760000
PE,1966,4010000
PG,1966,85550000
PH,1966,6e+05
PK,1966,79520000
PY,1966,11630000
RW,1966,7080000
SA,1966,80000
SB,1966,130000
SC,1966,30000
SD,1966,3250000
SG,1966,60000
SH,1966,2360000
SL,1966,6140000
SN,1966,27240000
SO,1966,8280000
SR,1966,3450000
ST,1966,1060000
SV,1966,2220000
SY,1966,730000
SZ,1966,10140000
TD,1966,18370000
TG,1966,3350000
TH,1966,3270000
TN,1966,62530000
TO,1966,2e+05
TR,1966,201340000
TT,1966,8640000
TW,1966,39560000
TZ,1966,33170000
UG,1966,14660000
UY,1966,1240000
VE,1966,890000
VN,1966,1540000
YE,1966,33800000
ZM,1966,1010000
ZW,1966,170000
africa,1966,34810000
america,1966,-33600000
asia,1966,4190000
eac,1966,2700000
east-asia,1966,180000
europe,1966,43040000
middle-east,1966,5250000
north-central-america,1966,8560000
north-of-sahara,1966,1490000
south-america,1966,4500000
south-central-asia,1966,1220000
south-of-sahara,1966,3e+05
west-indies,1966,16780000
AE,1967,1530000
AF,1967,36690000
ANHH,1967,12440000
AO,1967,18180000
AR,1967,23340000
BB,1967,590000
BF,1967,18480000
BH,1967,50000
BI,1967,9600000
BJ,1967,15660000
BM,1967,60000
BN,1967,10000
BO,1967,24530000
BR,1967,232110000
BS,1967,640000
BW,1967,18020000
BZ,1967,5690000
CD,1967,90790000
CF,1967,19920000
CG,1967,17660000
CI,1967,32980000
CL,1967,93100000
CM,1967,36950000
CO,1967,105410000
CR,1967,14070000
CU,1967,10000
CV,1967,710000
CY,1967,5e+05
DJ,1967,9740000
DO,1967,58910000
DZ,1967,104960000
EC,1967,24660000
EG,1967,30010000
ET,1967,19590000
FJ,1967,120000
GA,1967,12980000
GH,1967,40320000
GI,1967,2630000
GM,1967,2760000
GN,1967,1550000
GT,1967,13750000
GW,1967,510000
GY,1967,11340000
HK,1967,1550000
HN,1967,10790000
HT,1967,2590000
ID,1967,66660000
IL,1967,63020000
IN,1967,1354510000
IQ,1967,1460000
IR,1967,20500000
JM,1967,8730000
JO,1967,31230000
KE,1967,33920000
KH,1967,820000
KI,1967,1330000
KM,1967,9700000
KR,1967,244990000
KW,1967,-1080000
LA,1967,58130000
LB,1967,2370000
LK,1967,44260000
LR,1967,24520000
LS,1967,13470000
LY,1967,1240000
MA,1967,59500000
MG,1967,41700000
ML,1967,14410000
MM,1967,11130000
MP,1967,20100000
MR,1967,11930000
MT,1967,16010000
MU,1967,4650000
MV,1967,20000
MW,1967,27690000
MX,1967,37130000
MY,1967,15120000
MZ,1967,-130000
NE,1967,21140000
NG,1967,67610000
NI,1967,15460000
NP,1967,11420000
OM,1967,940000
PA,1967,19210000
PE,1967,47180000
PH,1967,61320000
PK,1967,77970000
PY,1967,9410000
RW,1967,12110000
SA,1967,150000
SB,1967,20000
SC,1967,2230000
SD,1967,10070000
SG,1967,5050000
SH,1967,1080000
SL,1967,6350000
SN,1967,46370000
SO,1967,8930000
SR,1967,3730000
SV,1967,14150000
SY,1967,990000
SZ,1967,9140000
TD,1967,19190000
TG,1967,12600000
TH,1967,90000
TL,1967,310000
TN,1967,87270000
TR,1967,196100000
TT,1967,5070000
TW,1967,51780000
TZ,1967,30150000
UG,1967,15120000
UY,1967,5890000
VE,1967,19120000
VG,1967,15730000
VN,1967,3240000
YE,1967,24070000
ZM,1967,59840000
ZW,1967,240000
africa,1967,1520000
america,1967,29560000
asia,1967,10730000
eac,1967,10770000
east-asia,1967,15640000
europe,1967,56300000
middle-east,1967,5600000
north-central-america,1967,6750000
north-of-sahara,1967,20000
south-america,1967,1890000
south-central-asia,1967,1800000
south-of-sahara,1967,286730000
west-indies,1967,2750000
AE,1968,1130000
AF,1968,21920000
ANHH,1968,18330000
AO,1968,10000
AR,1968,6200000
BB,1968,440000
BF,1968,17100000
BI,1968,12970000
BJ,1968,13140000
BM,1968,40000
BN,1968,20000
BO,1968,46150000
BR,1968,241170000
BS,1968,50000
BT,1968,110000
BW,1968,16740000
BZ,1968,5520000
CD,1968,76660000
CF,1968,17290000
CG,1968,21370000
CI,1968,2290000
CL,1968,12010000
CM,1968,47860000
CO,1968,6740000
CR,1968,1030000
CY,1968,960000
DJ,1968,9700000
DO,1968,63110000
DZ,1968,119610000
EC,1968,10680000
EG,1968,25700000
