di_id,year,value
AE,1960,3910000
AF,1960,102920000
ANHH,1960,1290000
AR,1960,277670000
BF,1960,1e+05
BH,1960,760000
BI,1960,68870000
BJ,1960,1e+05
BN,1960,60000
BO,1960,-9340000
BR,1960,245970000
BS,1960,-380000
BW,1960,32740000
BZ,1960,60000
CD,1960,656110000
CF,1960,2e+05
CG,1960,2e+05
CI,1960,2e+05
CL,1960,104540000
CM,1960,3080000
CO,1960,-55790000
CR,1960,20770000
CY,1960,223020000
DO,1960,-80000
DZ,1960,2965460000
EC,1960,32150000
EG,1960,1393180000
ET,1960,127760000
GH,1960,15440000
GI,1960,4490000
GN,1960,660000
GT,1960,102130000
GY,1960,71200000
HK,1960,39710000
HN,1960,-5490000
HT,1960,-4730000
ID,1960,282130000
IL,1960,950490000
IN,1960,5.177e+09
IQ,1960,5750000
IR,1960,154580000
JO,1960,1300000
KE,1960,195390000
KH,1960,175760000
KR,1960,13770000
LA,1960,130000
LB,1960,57630000
LK,1960,51240000
LR,1960,9100000
LS,1960,14410000
LY,1960,297710000
MA,1960,375980000
MG,1960,110000
ML,1960,1e+05
MM,1960,79180000
MO,1960,8660000
MT,1960,117650000
MV,1960,190000
MW,1960,39710000
MX,1960,-36790000
MY,1960,115880000
NE,1960,3e+05
NG,1960,296340000
NI,1960,44860000
NP,1960,5.1e+07
OM,1960,2390000
PA,1960,77690000
PE,1960,-5330000
PK,1960,109600000
PY,1960,38360000
RW,1960,68770000
SA,1960,49470000
SD,1960,104100000
SG,1960,260000
SH,1960,4300000
SL,1960,60000
SO,1960,92720000
SV,1960,-4600000
SY,1960,94450000
SZ,1960,81030000
TD,1960,2e+05
TH,1960,-5340000
TN,1960,327320000
TR,1960,999050000
TW,1960,-51820000
TZ,1960,95160000
UG,1960,192960000
UY,1960,121420000
VE,1960,-69770000
VN,1960,1179440000
YE,1960,123210000
america,1960,345960000
east-asia,1960,3110000
europe,1960,908970000
north-central-america,1960,-6510000
north-of-sahara,1960,244140000
south-america,1960,12720000
south-central-asia,1960,-260000
south-of-sahara,1960,-25310000
west-indies,1960,227790000
AE,1961,4990000
AF,1961,219110000
AO,1961,255550000
AR,1961,6010000
BF,1961,11230000
BH,1961,8680000
BI,1961,65250000
BJ,1961,9290000
BO,1961,144040000
BR,1961,52090000
BW,1961,50250000
BZ,1961,24940000
CD,1961,541260000
CF,1961,2980000
CG,1961,1060000
CI,1961,26570000
CL,1961,727710000
CM,1961,59620000
CO,1961,270580000
CR,1961,35570000
CV,1961,29620000
CY,1961,168080000
DZ,1961,3545320000
EC,1961,58990000
EG,1961,669570000
ET,1961,151780000
FJ,1961,9050000
GA,1961,4510000
GH,1961,14620000
GI,1961,8040000
GM,1961,13210000
GN,1961,19060000
GT,1961,84820000
GY,1961,80800000
HK,1961,31530000
HN,1961,36850000
HT,1961,80460000
ID,1961,324380000
IL,1961,652850000
IN,1961,4684980000
IQ,1961,-1300000
IR,1961,806980000
JM,1961,93210000
JO,1961,479990000
KE,1961,563750000
KH,1961,5990000
KR,1961,7480000
LA,1961,1200000
LB,1961,1100000
LK,1961,69180000
LR,1961,198360000
LS,1961,37940000
LY,1961,270300000
MA,1961,714720000
MG,1961,12120000
ML,1961,15490000
MM,1961,203650000
MR,1961,9130000
MT,1961,90250000
MU,1961,49640000
MW,1961,76030000
MX,1961,412400000
MY,1961,150380000
MZ,1961,39090000
NE,1961,10850000
NG,1961,260490000
NI,1961,48930000
NP,1961,64020000
OM,1961,3050000
PA,1961,62610000
PE,1961,-138360000
PH,1961,104470000
PK,1961,248480000
PY,1961,56990000
RW,1961,65250000
SA,1961,-9770000
SB,1961,18010000
SC,1961,9150000
SD,1961,79170000
SH,1961,460000
SL,1961,133780000
SN,1961,1070000
SO,1961,226510000
SR,1961,124680000
ST,1961,1.1e+07
SV,1961,50570000
SY,1961,2390000
SZ,1961,105590000
TD,1961,30150000
TG,1961,21500000
TH,1961,2490000
TN,1961,605820000
TR,1961,1286240000
TT,1961,740000
TZ,1961,343440000
UG,1961,192970000
UY,1961,-7190000
VE,1961,-133500000
VN,1961,188260000
VU,1961,2590000
YE,1961,79720000
ZM,1961,8410000
ZW,1961,90000
africa,1961,6310000
america,1961,391110000
east-asia,1961,37830000
europe,1961,1282670000
middle-east,1961,25220000
north-central-america,1961,230000
north-of-sahara,1961,5670000
south-america,1961,1520000
south-of-sahara,1961,2739070000
west-indies,1961,145780000
AE,1962,3830000
AF,1962,80800000
ANHH,1962,6730000
AR,1962,257500000
BH,1962,12020000
BI,1962,92440000
BJ,1962,24980000
BO,1962,204430000
BR,1962,1041540000
BW,1962,46550000
BZ,1962,45210000
CD,1962,857400000
CF,1962,8010000
CG,1962,26070000
CI,1962,190000
CL,1962,99710000
