di_id,year,value
AR,1960,4.4e+07
EC,1960,1e+06
EG,1960,9e+06
GT,1960,3e+06
IN,1960,6.9e+07
IR,1960,1.9e+07
LR,1960,5e+06
MA,1960,1.5e+07
MX,1960,2e+06
NG,1960,1e+06
NI,1960,5e+06
PA,1960,8e+06
PY,1960,2e+06
SD,1960,5e+06
TN,1960,2e+06
VE,1960,3e+06
bilateral-unspecified,1960,30200000
south-of-sahara,1960,38100000
AF,1961,5860000
ANHH,1961,220000
AR,1961,100670000
BO,1961,260000
BR,1961,225260000
BW,1961,670000
BZ,1961,20000
CL,1961,96730000
CM,1961,2240000
CO,1961,5.7e+07
CR,1961,2e+06
DZ,1961,52800000
EC,1961,5e+06
EG,1961,20290000
ET,1961,510000
FJ,1961,10000
GN,1961,1250000
GT,1961,1e+06
GY,1961,4670000
HK,1961,70000
HN,1961,2e+06
ID,1961,19960000
IL,1961,16070000
IN,1961,312620000
IR,1961,51550000
JM,1961,6800000
JO,1961,2400000
KE,1961,29780000
LB,1961,3e+06
LR,1961,23500000
LS,1961,4e+05
LY,1961,1e+06
MA,1961,29030000
MT,1961,1470000
MU,1961,1600000
MW,1961,2100000
MX,1961,113060000
MY,1961,8350000
NG,1961,2.6e+07
NI,1961,5e+06
PA,1961,3e+06
PE,1961,8320000
PH,1961,18490000
PK,1961,14250000
PY,1961,710000
SD,1961,5460000
SG,1961,110000
SL,1961,4410000
SR,1961,5800000
SV,1961,7e+06
SZ,1961,8380000
TG,1961,1250000
TH,1961,2230000
TN,1961,2020000
TR,1961,42440000
TZ,1961,18730000
UG,1961,10820000
UY,1961,3100000
VE,1961,2.9e+07
VN,1961,3100000
VU,1961,20000
YE,1961,70000
america,1961,6100000
bilateral-unspecified,1961,15570000
europe,1961,67340000
ex-yugoslavia,1961,63350000
north-central-america,1961,30000
oceania,1961,4800000
south-america,1961,-40000
south-of-sahara,1961,93730000
west-indies,1961,1330000
AF,1962,1180000
ANHH,1962,270000
AO,1962,18390000
AR,1962,108190000
BO,1962,8430000
BR,1962,119760000
BW,1962,530000
BZ,1962,30000
CD,1962,2500000
CL,1962,132520000
CM,1962,1260000
CO,1962,45110000
CR,1962,2100000
CV,1962,2120000
DO,1962,1.5e+07
DZ,1962,50100000
EC,1962,8e+06
EG,1962,17890000
ET,1962,1200000
FJ,1962,5840000
GH,1962,2490000
GN,1962,3440000
GT,1962,2e+06
GW,1962,1280000
GY,1962,5310000
HK,1962,320000
HN,1962,1320000
ID,1962,32850000
IL,1962,32360000
IN,1962,284580000
IR,1962,47930000
JM,1962,5020000
JO,1962,2660000
KE,1962,13780000
KR,1962,7e+06
LB,1962,2e+06
LK,1962,2e+06
LR,1962,73890000
LS,1962,4e+05
LY,1962,1330000
MA,1962,31200000
ML,1962,880000
MO,1962,940000
MT,1962,2020000
MU,1962,1250000
MW,1962,6130000
MX,1962,62500000
MY,1962,13220000
MZ,1962,14030000
