di_id,year,value
AR,1960,280520000
EC,1960,6380000
EG,1960,57380000
GT,1960,19130000
IN,1960,439900000
IR,1960,121130000
LR,1960,31880000
MA,1960,95630000
MX,1960,12750000
NG,1960,6380000
NI,1960,31880000
PA,1960,5.1e+07
PY,1960,12750000
SD,1960,31880000
TN,1960,12750000
VE,1960,19130000
bilateral-unspecified,1960,246930000
south-of-sahara,1960,318390000
AF,1961,58430000
ANHH,1961,2660000
AR,1961,830220000
BO,1961,1950000
BR,1961,1537650000
BW,1961,6190000
BZ,1961,180000
CL,1961,633230000
CM,1961,20690000
CO,1961,359430000
CR,1961,12610000
DZ,1961,427910000
EC,1961,31530000
EG,1961,158900000
ET,1961,5770000
FJ,1961,90000
GN,1961,12460000
GT,1961,6310000
GY,1961,43140000
HK,1961,650000
HN,1961,12610000
ID,1961,129380000
IL,1961,119110000
IN,1961,2879710000
IR,1961,327820000
JM,1961,62820000
JO,1961,19240000
KE,1961,275100000
LB,1961,18920000
LR,1961,183010000
LS,1961,3700000
LY,1961,6310000
MA,1961,183210000
MT,1961,13580000
MU,1961,14780000
MW,1961,19400000
MX,1961,729490000
MY,1961,71270000
NG,1961,237250000
NI,1961,31530000
PA,1961,18920000
PE,1961,54070000
PH,1961,119050000
PK,1961,131640000
PY,1961,8570000
SD,1961,39820000
SG,1961,1020000
SL,1961,40740000
SR,1961,70210000
SV,1961,44140000
SZ,1961,77410000
TG,1961,12460000
TH,1961,15210000
TN,1961,12840000
TR,1961,413480000
TZ,1961,173020000
UG,1961,99950000
UY,1961,20050000
VE,1961,182870000
VN,1961,37430000
VU,1961,180000
YE,1961,750000
america,1961,49440000
bilateral-unspecified,1961,146220000
europe,1961,525120000
ex-yugoslavia,1961,716730000
north-central-america,1961,230000
oceania,1961,38900000
south-america,1961,-320000
south-of-sahara,1961,797170000
west-indies,1961,12290000
AF,1962,11270000
ANHH,1962,3130000
AO,1962,200270000
AR,1962,774730000
BO,1962,63090000
BR,1962,851630000
BW,1962,4720000
BZ,1962,270000
CD,1962,23870000
CL,1962,965150000
CM,1962,11220000
CO,1962,288320000
CR,1962,13180000
CV,1962,23090000
DO,1962,93440000
DZ,1962,385560000
EC,1962,49830000
EG,1962,143510000
ET,1962,8370000
FJ,1962,5.2e+07
GH,1962,23540000
GN,1962,32840000
GT,1962,12460000
GW,1962,13940000
GY,1962,47280000
HK,1962,2850000
HN,1962,9570000
ID,1962,222570000
IL,1962,202770000
IN,1962,2210650000
IR,1962,324920000
JM,1962,44700000
JO,1962,24140000
KE,1962,122700000
KR,1962,43600000
LB,1962,12460000
LK,1962,17920000
LR,1962,609990000
LS,1962,3560000
LY,1962,9760000
MA,1962,218110000
ML,1962,8400000
MO,1962,10240000
MT,1962,17990000
MU,1962,11130000
MW,1962,54580000
MX,1962,420040000
MY,1962,90980000
MZ,1962,152790000
NG,1962,148240000
NI,1962,18690000
PA,1962,25450000
PE,1962,101200000
PH,1962,24920000
PK,1962,675330000
PY,1962,11380000
SD,1962,25070000
SG,1962,530000
SL,1962,24040000
SN,1962,7830000
SR,1962,57110000
ST,1962,11980000
SV,1962,6230000
SY,1962,61100000
SZ,1962,37880000
TH,1962,45530000
TL,1962,15680000
TN,1962,24770000
TR,1962,284590000
TW,1962,31150000
TZ,1962,94290000
UG,1962,114990000
UY,1962,21470000
VE,1962,632960000
VN,1962,42370000
YE,1962,8300000
ZM,1962,28760000
america,1962,111590000
bilateral-unspecified,1962,466560000
europe,1962,275470000
ex-yugoslavia,1962,691800000
middle-east,1962,-110000
oceania,1962,42330000
south-central-asia,1962,-1e+05
south-of-sahara,1962,382190000
west-indies,1962,18970000
AF,1963,19180000
ANHH,1963,11080000
AO,1963,188410000
AR,1963,813460000
BI,1963,7790000
BJ,1963,10810000
BO,1963,131630000
BR,1963,1133680000
BW,1963,2380000
BZ,1963,7e+05
CG,1963,460000
CL,1963,982500000
CM,1963,2310000
CO,1963,466930000
CR,1963,26680000
CV,1963,19300000
CY,1963,14780000
DO,1963,109340000
DZ,1963,227920000
EC,1963,63970000
EG,1963,512340000
ET,1963,14830000
FJ,1963,2470000
GH,1963,96060000
GM,1963,790000
GN,1963,77730000
GT,1963,24640000
GW,1963,11520000
GY,1963,32840000
HK,1963,2470000
HN,1963,27710000
HT,1963,3310000
ID,1963,182430000
IL,1963,291320000
IN,1963,4076080000
IQ,1963,18480000
IR,1963,98600000
JM,1963,460000
JO,1963,30670000
KE,1963,207340000
KR,1963,217070000
LB,1963,6620000
LK,1963,41240000
LR,1963,215710000
LS,1963,2110000
LY,1963,3640000
MA,1963,192160000
ML,1963,14870000
MM,1963,36290000
MO,1963,1490000
MT,1963,66850000
MU,1963,32400000
MW,1963,21480000
MX,1963,384050000
MY,1963,48760000
MZ,1963,207180000
NG,1963,36630000
NI,1963,2610000
NP,1963,5720000
PA,1963,53790000
PE,1963,87270000
PH,1963,37040000
PK,1963,1667840000
PY,1963,16810000
RW,1963,7790000
SD,1963,70940000
SL,1963,44020000
SN,1963,17090000
SO,1963,55910000
SR,1963,69800000
ST,1963,8960000
SV,1963,17790000
SY,1963,4960000
SZ,1963,31970000
TG,1963,2680000
TH,1963,40720000
TL,1963,17060000
TN,1963,260430000
TR,1963,579540000
TT,1963,52190000
TW,1963,135980000
TZ,1963,94040000
UG,1963,59280000
UY,1963,75430000
VE,1963,188260000
VN,1963,39350000
YE,1963,970000
ZM,1963,35660000
ZW,1963,9.5e+07
africa,1963,-90000
america,1963,215500000
asia,1963,1e+05
bilateral-unspecified,1963,357350000
east-asia,1963,6250000
europe,1963,335360000
ex-yugoslavia,1963,652120000
middle-east,1963,90000
north-central-america,1963,1830000
oceania,1963,30680000
south-america,1963,190000
south-of-sahara,1963,420490000
west-indies,1963,1140000
AF,1964,53530000
ANHH,1964,63210000
AO,1964,384970000
AR,1964,891310000
BF,1964,7020000
BI,1964,18150000
BJ,1964,23410000
BO,1964,94460000
BR,1964,794970000
BW,1964,9800000
BZ,1964,260000
CD,1964,180000
CF,1964,28440000
CG,1964,10720000
CI,1964,51690000
CL,1964,930490000
CM,1964,10530000
CO,1964,363220000
CR,1964,47020000
CV,1964,11340000
CY,1964,5460000
DO,1964,60670000
DZ,1964,187420000
EC,1964,47630000
EG,1964,560840000
ET,1964,16950000
FJ,1964,850000
GA,1964,27100000
GH,1964,103640000
GI,1964,510000
GM,1964,850000
GN,1964,22750000
GT,1964,20330000
GW,1964,13130000
GY,1964,19860000
HN,1964,33130000
ID,1964,223470000
IL,1964,200020000
IN,1964,4866940000
IQ,1964,48640000
IR,1964,7.8e+07
JM,1964,110000
JO,1964,37090000
KE,1964,262980000
KR,1964,130850000
LA,1964,7e+05
LB,1964,2610000
LK,1964,27200000
LR,1964,29560000
LS,1964,940000
LY,1964,-4840000
MA,1964,335470000
MG,1964,33060000
ML,1964,17470000
MM,1964,220000
MO,1964,420000
MR,1964,16140000
MT,1964,76070000
MU,1964,3670000
MW,1964,70330000
MX,1964,547030000
MY,1964,27310000
MZ,1964,202330000
NE,1964,2110000
NG,1964,160540000
NI,1964,10360000
NP,1964,2810000
PA,1964,33870000
PE,1964,112700000
PH,1964,60670000
PK,1964,1904850000
PY,1964,33260000
RW,1964,9900000
SA,1964,110000
SB,1964,170000
SD,1964,100060000
SH,1964,90000
SL,1964,44670000
SN,1964,110880000
SO,1964,2.8e+07
SR,1964,83600000
ST,1964,15020000
SV,1964,38570000
SY,1964,8460000
SZ,1964,55940000
TD,1964,8420000
TG,1964,50890000
TH,1964,82340000
TL,1964,13450000
TN,1964,168080000
TR,1964,929550000
TT,1964,31170000
TW,1964,103410000
TZ,1964,148280000
UG,1964,82860000
UY,1964,33580000
VE,1964,-259340000
VN,1964,100710000
YE,1964,510000
ZM,1964,53710000
africa,1964,290000
america,1964,219110000
asia,1964,-90000
bilateral-unspecified,1964,428430000
east-asia,1964,66730000
europe,1964,437650000
ex-yugoslavia,1964,793800000
middle-east,1964,-2e+05
north-central-america,1964,24870000
north-of-sahara,1964,-90000
oceania,1964,61070000
south-america,1964,-110000
south-central-asia,1964,90000
south-of-sahara,1964,127750000
west-indies,1964,4600000
AF,1965,133660000
ANHH,1965,25400000
AO,1965,11740000
AR,1965,411070000
BF,1965,4770000
BI,1965,7200000
BJ,1965,6650000
BO,1965,68310000
BR,1965,1506720000
BW,1965,5400000
BZ,1965,770000
CD,1965,32750000
CF,1965,12920000
CG,1965,11260000
CI,1965,74140000
CL,1965,626560000
CM,1965,41210000
CO,1965,337080000
CR,1965,61600000
DO,1965,85010000
DZ,1965,92700000
EC,1965,34670000
EG,1965,375880000
ET,1965,27360000
GA,1965,22900000
GH,1965,251620000
GI,1965,4590000
GM,1965,1290000
GN,1965,33580000
GT,1965,42120000
GY,1965,18810000
HK,1965,134760000
HN,1965,53010000
HT,1965,18570000
ID,1965,67480000
IL,1965,227820000
IN,1965,5919940000
IQ,1965,55310000
IR,1965,215940000
JM,1965,40060000
JO,1965,40950000
KE,1965,264510000
KH,1965,8180000
KR,1965,512880000
LA,1965,3410000
LB,1965,13420000
LK,1965,49890000
LR,1965,187640000
LS,1965,6480000
LY,1965,1030000
MA,1965,276190000
MG,1965,68750000
ML,1965,17410000
MR,1965,2710000
MS,1965,7190000
