di_id,year,value
AT,1960,1310000
AU,1960,74900000
BE,1960,961920000
CA,1960,420260000
CH,1960,69560000
DE,1960,1522880000
DK,1960,80160000
EU,1960,32680000
FR,1960,6446290000
GB,1960,2447320000
IT,1960,440650000
JP,1960,1207610000
NL,1960,475040000
NO,1960,63040000
PT,1960,4110000
SE,1960,52130000
US,1960,18678490000
dac-countries-total,1960,32945670000
AT,1961,35510000
AU,1961,107080000
BE,1961,843950000
CA,1961,442350000
CH,1961,150890000
DE,1961,4729780000
DK,1961,127170000
EU,1961,156600000
FR,1961,8029020000
GB,1961,4464400000
IT,1961,1606620000
JP,1961,1381790000
NL,1961,765290000
NO,1961,82060000
PT,1961,66420000
SE,1961,64490000
US,1961,23722860000
dac-countries-total,1961,46619700000
AT,1962,77110000
BE,1962,583900000
CA,1962,329370000
CH,1962,39750000
DE,1962,3809160000
DK,1962,7420000
EU,1962,479390000
FR,1962,6922450000
GB,1962,3660450000
IT,1962,1495320000
JP,1962,1015780000
NL,1962,552460000
NO,1962,15200000
PT,1962,427990000
SE,1962,2.3e+07
US,1962,22574080000
dac-countries-total,1962,41533430000
AT,1963,91820000
BE,1963,671400000
CA,1963,636990000
CH,1963,55290000
DE,1963,4228140000
DK,1963,13120000
EU,1963,542020000
FR,1963,6226950000
GB,1963,3586970000
IT,1963,1837370000
JP,1963,1546820000
NL,1963,213820000
NO,1963,26600000
PT,1963,452520000
SE,1963,51810000
US,1963,23468400000
dac-countries-total,1963,43108010000
AT,1964,191380000
BE,1964,672710000
CA,1964,771370000
CH,1964,98720000
DE,1964,4624580000
DK,1964,41150000
EU,1964,705700000
FR,1964,6029570000
GB,1964,4259190000
IT,1964,1443810000
JP,1964,1306930000
NL,1964,342560000
NO,1964,30990000
PT,1964,640220000
SE,1964,94630000
US,1964,21851580000
dac-countries-total,1964,42399390000
AT,1965,397410000
AU,1965,959420000
BE,1965,833130000
CA,1965,696720000
CH,1965,109810000
DE,1965,5170680000
DK,1965,40560000
EU,1965,885280000
FR,1965,4911490000
GB,1965,3986280000
IT,1965,1531390000
JP,1965,2476620000
NL,1965,470670000
NO,1965,37870000
SE,1965,114220000
US,1965,22613370000
dac-countries-total,1965,44349650000
AT,1966,511570000
AU,1966,975730000
BE,1966,507340000
CA,1966,1269530000
CH,1966,180210000
DE,1966,3337420000
DK,1966,98380000
EU,1966,1039510000
FR,1966,3766190000
GB,1966,4238440000
IT,1966,884790000
JP,1966,2437270000
NO,1966,50290000
PT,1966,299020000
US,1966,20431410000
dac-countries-total,1966,38987590000
AT,1967,555610000
AU,1967,1176300000
BE,1967,542250000
CA,1967,1092770000
CH,1967,118660000
DE,1967,3778980000
DK,1967,112890000
EU,1967,1040900000
FR,1967,5420110000
GB,1967,3927920000
IT,1967,1335390000
JP,1967,3293410000
NL,1967,669430000
NO,1967,39110000
PT,1967,535050000
SE,1967,151660000
US,1967,18402120000
dac-countries-total,1967,41151660000
AT,1968,163990000
AU,1968,1269470000
BE,1968,628340000
CA,1968,1028790000
CH,1968,361750000
DE,1968,4903030000
DK,1968,261830000
EU,1968,1.317e+09
FR,1968,4517810000
GB,1968,4054700000
IT,1968,1799260000
JP,1968,3312430000
NL,1968,1078570000
NO,1968,238550000
SE,1968,404220000
US,1968,15869430000
dac-countries-total,1968,39892160000
AT,1969,174350000
AU,1969,1411940000
BE,1969,801140000
CA,1969,1160480000
CH,1969,407600000
DE,1969,4963680000
DK,1969,467940000
EU,1969,906410000
FR,1969,4930130000
GB,1969,4315560000
IT,1969,1480520000
JP,1969,3767220000
NL,1969,1119410000
NO,1969,253820000
SE,1969,659290000
US,1969,16906340000
dac-countries-total,1969,42819410000
AT,1970,208110000
AU,1970,1529010000
BE,1970,785380000
CA,1970,1686210000
CH,1970,398170000
DE,1970,4542870000
DK,1970,464410000
EU,1970,1167630000
FI,1970,49200000
FR,1970,4991270000
GB,1970,3900020000
IT,1970,1645880000
JP,1970,3935950000
NL,1970,1476900000
NO,1970,280080000
NZ,1970,122960000
SE,1970,610040000
US,1970,15735930000
dac-countries-total,1970,42362380000
AT,1971,145090000
AU,1971,1435180000
BE,1971,892580000
CA,1971,1797530000
CH,1971,336690000
DE,1971,4893250000
DK,1971,536380000
EU,1971,1376210000
FI,1971,89480000
FR,1971,5130970000
GB,1971,4591180000
IT,1971,1680870000
JP,1971,3975830000
NL,1971,1409680000
NO,1971,299250000
NZ,1971,130390000
SE,1971,761870000
US,1971,15999010000
dac-countries-total,1971,44105240000
AT,1972,140930000
AU,1972,1606530000
BE,1972,1003890000
CA,1972,2000960000
CH,1972,629030000
DE,1972,4847220000
DK,1972,596560000
EU,1972,1305870000
FI,1972,125090000
FR,1972,6078080000
GB,1972,4860710000
IT,1972,951840000
JP,1972,4.075e+09
NL,1972,1852830000
NO,1972,397570000
NZ,1972,137300000
SE,1972,826740000
US,1972,19093150000
dac-countries-total,1972,49223430000
AT,1973,242650000
AU,1973,1320180000
BE,1973,1007810000
CA,1973,2026520000
CH,1973,490320000
DE,1973,5458120000
DK,1973,641140000
EU,1973,1739790000
FI,1973,137990000
FR,1973,4737150000
GB,1973,4097280000
IT,1973,1541130000
JP,1973,5124660000
NL,1973,1466700000
NO,1973,447130000
NZ,1973,140540000
SE,1973,990660000
US,1973,13170930000
dac-countries-total,1973,43040920000
AT,1974,281930000
AU,1974,1599170000
BE,1974,1033440000
CA,1974,2390700000
CH,1974,442340000
DE,1974,5994770000
DK,1974,744420000
EU,1974,2.514e+09
FI,1974,150280000
FR,1974,5088200000
GB,1974,4381870000
IE,1974,30190000
IT,1974,1471900000
JP,1974,4934530000
NL,1974,1738900000
NO,1974,5.72e+08
NZ,1974,201730000
SE,1974,1334070000
US,1974,15928540000
dac-countries-total,1974,48318980000
AT,1975,356770000
AU,1975,1957340000
BE,1975,1206870000
CA,1975,2755850000
CH,1975,545500000
DE,1975,6541690000
DK,1975,751990000
EU,1975,2581390000
FI,1975,164190000
FR,1975,4948960000
GB,1975,4144550000
HU,1975,155630000
IE,1975,33410000
IT,1975,921040000
JP,1975,5313380000
NL,1975,2089480000
NO,1975,694990000
NZ,1975,347610000
PL,1975,197830000
SE,1975,1540050000
US,1975,16452010000
dac-countries-total,1975,51119150000
AT,1976,202050000
AU,1976,1276680000
BE,1976,1061070000
CA,1976,2440280000
CH,1976,548370000
DE,1976,6175480000
DK,1976,750290000
