di_id,year,value
AT,1960,0
BE,1960,751930000
CA,1960,311420000
CH,1960,33790000
DE,1960,2617510000
DK,1960,10080000
EU,1960,34860000
FR,1960,6548240000
GB,1960,2973320000
IT,1960,974410000
JP,1960,1009070000
NL,1960,315410000
NO,1960,14270000
PT,1960,11990000
SE,1960,7890000
US,1960,16448390000
dac-countries-total,1960,32027710000
AT,1961,5610000
BE,1961,639090000
CA,1961,302470000
CH,1961,124150000
DE,1961,3281920000
DK,1961,30660000
EU,1961,164560000
FR,1961,7050820000
GB,1961,3847600000
IT,1961,796640000
JP,1961,1172440000
NL,1961,367880000
NO,1961,15460000
PT,1961,411590000
SE,1961,11640000
US,1961,20329740000
dac-countries-total,1961,38387690000
AT,1962,64190000
BE,1962,575090000
CA,1962,293330000
CH,1962,39750000
DE,1962,3316810000
DK,1962,6280000
EU,1962,503480000
FR,1962,6624620000
GB,1962,3387180000
IT,1962,833700000
JP,1962,933930000
NL,1962,541540000
NO,1962,14290000
SE,1962,2.3e+07
US,1962,21166310000
dac-countries-total,1962,37820040000
AT,1963,5200000
BE,1963,650630000
CA,1963,623860000
CH,1963,51320000
DE,1963,3684270000
DK,1963,6560000
EU,1963,576870000
FR,1963,6000490000
GB,1963,3.256e+09
IT,1963,1075580000
JP,1963,1408400000
NL,1963,198310000
NO,1963,26600000
SE,1963,51810000
US,1963,2.191e+10
dac-countries-total,1963,38949010000
AT,1964,110800000
BE,1964,672710000
CA,1964,748180000
CH,1964,94970000
DE,1964,3693230000
DK,1964,30180000
EU,1964,751780000
FR,1964,5688430000
GB,1964,3816730000
IT,1964,553820000
JP,1964,1105980000
NL,1964,336440000
NO,1964,29210000
SE,1964,93670000
US,1964,19619110000
dac-countries-total,1964,36593450000
AT,1965,335170000
AU,1965,959590000
BE,1965,833130000
CA,1965,620710000
CH,1965,109970000
DE,1965,3741140000
DK,1965,38440000
EU,1965,885280000
FR,1965,4522310000
GB,1965,3439100000
IT,1965,478580000
JP,1965,2231630000
NL,1965,447580000
NO,1965,36960000
SE,1965,110600000
US,1965,20625340000
dac-countries-total,1965,38530270000
AT,1966,310710000
AU,1966,975730000
BE,1966,507340000
CA,1966,1112460000
CH,1966,164560000
DE,1966,3130420000
DK,1966,96900000
EU,1966,1072040000
FR,1966,3343520000
GB,1966,3593470000
IT,1966,451750000
JP,1966,2204760000
NO,1966,49420000
PT,1966,198360000
US,1966,1.9996e+10
dac-countries-total,1966,36135390000
AT,1967,311510000
AU,1967,1176300000
BE,1967,542250000
CA,1967,985550000
CH,1967,93600000
DE,1967,3.588e+09
DK,1967,111550000
EU,1967,1040900000
FR,1967,4856500000
GB,1967,3336240000
IT,1967,965640000
JP,1967,3078490000
NL,1967,660420000
NO,1967,39110000
PT,1967,428920000
SE,1967,150850000
US,1967,17823650000
dac-countries-total,1967,38148570000
AT,1968,156690000
AU,1968,1269470000
BE,1968,628340000
CA,1968,989760000
CH,1968,337480000
DE,1968,4483200000
DK,1968,260830000
EU,1968,1.317e+09
FR,1968,3969240000
GB,1968,3454560000
IT,1968,1218780000
JP,1968,2954950000
NL,1968,1043150000
NO,1968,237740000
SE,1968,403430000
US,1968,17500750000
dac-countries-total,1968,38908370000
AT,1969,132900000
AU,1969,1411940000
BE,1969,799280000
CA,1969,1160480000
CH,1969,401890000
DE,1969,4401980000
DK,1969,465560000
EU,1969,906410000
FR,1969,4389900000
GB,1969,3738900000
IT,1969,1045110000
JP,1969,3454930000
NL,1969,1111840000
NO,1969,253470000
SE,1969,659290000
US,1969,17379960000
dac-countries-total,1969,40807420000
AT,1970,92880000
AU,1970,1529010000
BE,1970,779970000
CA,1970,1686210000
CH,1970,391300000
DE,1970,3924880000
DK,1970,460520000
EU,1970,1167630000
FI,1970,49200000
FR,1970,4476710000
GB,1970,3436600000
IT,1970,1110990000
JP,1970,3396360000
NL,1970,1457090000
NO,1970,280080000
NZ,1970,122960000
SE,1970,610040000
US,1970,15418090000
dac-countries-total,1970,39222870000
AT,1971,97150000
AU,1971,1435180000
BE,1971,883220000
CA,1971,1797530000
CH,1971,321280000
DE,1971,4283410000
DK,1971,532080000
EU,1971,1376210000
FI,1971,89480000
FR,1971,4627210000
GB,1971,4017480000
IT,1971,1271900000
JP,1971,3499670000
NL,1971,1394750000
NO,1971,298890000
NZ,1971,130390000
SE,1971,761870000
US,1971,14481900000
dac-countries-total,1971,39923410000
AT,1972,122290000
AU,1972,1652070000
BE,1972,994220000
CA,1972,2000960000
CH,1972,620790000
DE,1972,4103110000
DK,1972,587640000
EU,1972,1305580000
FI,1972,125090000
FR,1972,4729500000
GB,1972,3948560000
IT,1972,631160000
JP,1972,3500700000
NL,1972,1707870000
NO,1972,396820000
NZ,1972,137100000
SE,1972,826700000
US,1972,17656830000
dac-countries-total,1972,43741420000
AT,1973,217020000
AU,1973,1320180000
BE,1973,998500000
CA,1973,2026520000
CH,1973,479800000
DE,1973,4394770000
DK,1973,632770000
EU,1973,1736060000
FI,1973,137990000
FR,1973,4285090000
GB,1973,3566740000
IT,1973,1049920000
JP,1973,4529690000
NL,1973,1432720000
NO,1973,436070000
NZ,1973,139860000
SE,1973,982550000
US,1973,11241870000
dac-countries-total,1973,37872060000
AT,1974,281930000
AU,1974,1590750000
BE,1974,1025170000
CA,1974,2389770000
CH,1974,437750000
DE,1974,5159960000
DK,1974,720020000
EU,1974,2509720000
FI,1974,150280000
FR,1974,4560850000
GB,1974,3902790000
IE,1974,30190000
IT,1974,1099750000
JP,1974,4489090000
NL,1974,1703070000
NO,1974,571050000
NZ,1974,201730000
SE,1974,1334070000
US,1974,14259410000
dac-countries-total,1974,43907620000
AT,1975,325910000
AU,1975,1948540000
BE,1975,1200770000
CA,1975,2754230000
CH,1975,541420000
DE,1975,5483240000
DK,1975,731710000
EU,1975,2575500000
FI,1975,164190000
FR,1975,4524510000
GB,1975,3759850000
HU,1975,100300000
IE,1975,33410000
IT,1975,799130000
JP,1975,4341640000
NL,1975,2036420000
NO,1975,693820000
NZ,1975,347610000
PL,1975,111370000
SE,1975,1536840000
US,1975,14782260000
dac-countries-total,1975,46217170000
AT,1976,199850000
AU,1976,1267080000
BE,1976,1055020000
CA,1976,2430760000
CH,1976,533840000
DE,1976,5102100000
DK,1976,734170000
EU,1976,1980910000
FI,1976,160720000
FR,1976,4359580000
GB,1976,3912510000
HU,1976,192520000
IE,1976,37690000
IT,1976,1072990000
JP,1976,3856730000
NL,1976,2339310000
NO,1976,796170000
NZ,1976,284150000
PL,1976,104100000
SE,1976,1528830000
US,1976,14684230000
dac-countries-total,1976,44652340000
AT,1977,362580000
AU,1977,1336660000
BE,1977,9.94e+08
CA,1977,2777990000
CH,1977,562490000
DE,1977,4891140000
DK,1977,805470000
EU,1977,2012210000
FI,1977,142360000
FR,1977,4215300000
GB,1977,4460410000
HU,1977,154250000
IE,1977,34670000
IT,1977,839160000
JP,1977,4219310000
NL,1977,2536350000
NO,1977,969280000
NZ,1977,245870000
PL,1977,64630000
SE,1977,1831750000
US,1977,14847710000
dac-countries-total,1977,46291370000
AT,1978,446270000
AU,1978,1777730000
BE,1978,1208920000
CA,1978,2984340000
CH,1978,580710000
DE,1978,5552660000
DK,1978,1022740000
EU,1978,2413570000
FI,1978,150880000
FR,1978,4405310000
GB,1978,4783230000
HU,1978,101360000
IE,1978,85150000
IT,1978,1351290000
JP,1978,4920180000
NL,1978,2511550000
NO,1978,1087210000
NZ,1978,209160000
PL,1978,73150000
SE,1978,1691070000
US,1978,16781250000
dac-countries-total,1978,51724190000
AT,1979,333380000
AU,1979,1774040000
BE,1979,1287710000
CA,1979,2771420000
CH,1979,647710000
DE,1979,7066450000
DK,1979,1081810000
EU,1979,3021300000
FI,1979,207520000
FR,1979,5038630000
GB,1979,5561260000
HU,1979,65920000
IE,1979,81240000
IT,1979,827350000
JP,1979,6053220000
NL,1979,3067750000
NO,1979,1202630000
NZ,1979,228480000
PL,1979,71570000
SE,1979,1879250000
US,1979,12820500000
dac-countries-total,1979,52067830000
AT,1980,414160000
AU,1980,1680860000
BE,1980,1143050000
CA,1980,2564240000
CH,1980,754260000
DE,1980,7029280000
DK,1980,1111240000
ES,1980,314150000
EU,1980,2427890000
FI,1980,233360000
FR,1980,5368290000
GB,1980,3626680000
HU,1980,149240000
IE,1980,72320000
IT,1980,1758780000
JP,1980,7409910000
NL,1980,3190260000
NO,1980,1173020000
NZ,1980,218780000
PL,1980,90260000
SE,1980,1618180000
US,1980,17921050000
dac-countries-total,1980,57841360000
AT,1981,592790000
AU,1981,1473720000
BE,1981,1333430000
CA,1981,2634480000
CH,1981,771260000
DE,1981,7476200000
DK,1981,1064180000
ES,1981,561330000
EU,1981,3749850000
FI,1981,302700000
FR,1981,6.348e+09
GB,1981,4415620000
HU,1981,140620000
IE,1981,73060000
IT,1981,1893290000
JP,1981,6606120000
NL,1981,3507730000
NO,1981,1160780000
NZ,1981,198100000
PL,1981,13790000
SE,1981,1709360000
US,1981,13277070000
dac-countries-total,1981,55553640000
AT,1982,647940000
AU,1982,2034090000
BE,1982,1325800000
CA,1982,2507080000
CH,1982,806940000
DE,1982,7592840000
DK,1982,1161220000
ES,1982,468220000
EU,1982,3038390000
FI,1982,331910000
FR,1982,7042230000
GB,1982,3867430000
HU,1982,183830000
IE,1982,119250000
IT,1982,2363670000
JP,1982,6969940000
NL,1982,3482910000
NO,1982,1410910000
NZ,1982,198360000
PL,1982,6910000
SE,1982,2108270000
US,1982,17733840000
