di_id,year,value
AT,1968,5990000
AT,1969,42750000
AT,1970,52340000
AT,1971,21150000
AT,1972,15180000
AT,1973,43530000
AT,1974,74110000
AT,1975,86780000
AT,1976,289420000
AT,1977,355930000
AT,1978,300290000
AT,1979,91500000
AT,1980,14240000
AT,1981,40050000
AT,1982,-147970000
AT,1983,-69670000
AT,1984,-148240000
AT,1985,-117190000
AT,1986,-100350000
AT,1987,12200000
AT,1988,-61270000
AT,1989,-177240000
AT,1990,69140000
AT,1991,141700000
AT,1992,265270000
AT,1993,229030000
AT,1994,403660000
AT,1995,279470000
AT,1996,924560000
AT,1997,863780000
AT,1998,234260000
AT,1999,637030000
AT,2000,211440000
AT,2001,-130220000
AT,2002,259290000
AT,2003,103490000
AT,2004,-338150000
AT,2005,411830000
AT,2006,-15030000
AT,2007,2820040000
AT,2008,1919450000
AT,2009,-605200000
AT,2010,-709590000
AT,2011,-469490000
AT,2012,-420680000
AT,2013,193260000
AT,2014,124420000
AT,2015,-1090000
AT,2016,70050000
AT,2017,-25410000
BE,1968,127680000
BE,1969,97520000
BE,1970,1.16e+08
BE,1971,77860000
BE,1972,87500000
BE,1973,1.59e+08
BE,1974,220670000
BE,1975,374320000
BE,1976,606540000
BE,1977,584710000
BE,1978,918700000
BE,1979,453460000
BE,1980,774410000
BE,1981,776930000
BE,1982,97320000
BE,1983,330920000
BE,1984,96440000
BE,1985,147380000
BE,1986,-444150000
BE,1987,85880000
BE,1988,118700000
BE,1989,495550000
BE,1990,46230000
BE,1991,148580000
BE,1992,451810000
BE,1993,379840000
BE,1994,273030000
BE,1995,-103720000
BE,1996,-32900000
BE,1997,-331500000
BE,1998,-377190000
BE,1999,-223300000
BE,2000,438110000
BE,2001,148840000
BE,2002,-363650000
BE,2003,-797770000
BE,2004,-658600000
BE,2005,-492670000
BE,2006,-453020000
BE,2007,36610000
BE,2008,61680000
BE,2009,233970000
BE,2010,-274550000
BE,2011,-6980000
BE,2012,388150000
BE,2013,856480000
BE,2014,143340000
BE,2015,186440000
BE,2016,485380000
BE,2017,-338510000
DK,1968,45480000
DK,1969,96700000
DK,1970,18110000
DK,1971,49560000
DK,1972,6720000
DK,1973,48700000
DK,1974,7220000
DK,1975,33470000
DK,1976,235280000
DK,1977,187160000
DK,1978,192700000
DK,1979,221260000
DK,1980,213320000
DK,1981,444120000
DK,1982,214530000
DK,1983,632600000
DK,1984,62900000
DK,1985,34320000
DK,1986,-264970000
DK,1987,-114510000
DK,1988,-226580000
DK,1989,-175380000
DK,1990,-262180000
DK,1991,-135540000
DK,1992,137230000
DK,1993,-78540000
DK,1994,-90370000
DK,1995,79360000
DK,1996,-13790000
DK,1997,-7740000
DK,1998,4610000
DK,1999,68410000
DK,2000,-2610000
DK,2001,-3950000
DK,2002,-3290000
DK,2003,41030000
DK,2004,20550000
DK,2005,-8180000
DK,2006,-77190000
