di_id,year,value
SA,1966,2.98e+08
non-dac-countries-total,1966,2.98e+08
AE,1970,1e+06
KW,1970,1.48e+08
SA,1970,1.72e+08
non-dac-countries-total,1970,3.85e+08
AE,1971,1e+08
KW,1971,1.03e+08
SA,1971,2.13e+08
non-dac-countries-total,1971,4.79e+08
AE,1972,1.13e+08
KW,1972,1.53e+08
SA,1972,3.47e+08
non-dac-countries-total,1972,6.79e+08
AE,1973,6.39e+08
KW,1973,3.27e+08
SA,1973,1.104e+09
non-dac-countries-total,1973,2.411e+09
AE,1974,1.061e+09
KW,1974,5.74e+08
SA,1974,1.951e+09
non-dac-countries-total,1974,4.26e+09
AE,1975,1.998e+09
KW,1975,8.59e+08
SA,1975,2.569e+09
non-dac-countries-total,1975,6.147e+09
AE,1976,2.366e+09
KW,1976,5.92e+08
SA,1976,2.504e+09
non-dac-countries-total,1976,5.718e+09
AE,1977,1.84e+09
KW,1977,7.36e+08
SA,1977,2.26e+09
non-dac-countries-total,1977,5.092e+09
AE,1978,1.748e+09
KW,1978,7.88e+08
SA,1978,5.007e+09
non-dac-countries-total,1978,7.772e+09
AE,1979,1.797e+09
KW,1979,8.84e+08
SA,1979,3.772e+09
non-dac-countries-total,1979,7.646e+09
AE,1980,2.225e+09
KW,1980,1.023e+09
SA,1980,5.501e+09
non-dac-countries-total,1980,1.019e+10
AE,1981,1.66e+09
KW,1981,1.064e+09
SA,1981,5.34e+09
non-dac-countries-total,1981,8.684e+09
AE,1982,1.022e+09
KW,1982,1.002e+09
SA,1982,3.537e+09
non-dac-countries-total,1982,5.788e+09
AE,1983,6.07e+08
KW,1983,8.47e+08
SA,1983,2.984e+09
non-dac-countries-total,1983,4.505e+09
AE,1984,3.23e+08
KW,1984,9.02e+08
SA,1984,3.017e+09
non-dac-countries-total,1984,4.232e+09
AE,1985,3.66e+08
KW,1985,6.47e+08
SA,1985,2.443e+09
non-dac-countries-total,1985,3.487e+09
AE,1986,2.82e+08
KW,1986,6.31e+08
SA,1986,3.406e+09
non-dac-countries-total,1986,4.455e+09
AE,1987,3.31e+08
KW,1987,2.97e+08
SA,1987,2.854e+09
non-dac-countries-total,1987,3.549e+09
AE,1988,1.01e+08
KW,1988,6.1e+07
SA,1988,1.768e+09
TW,1988,1.6e+07
non-dac-countries-total,1988,2.05e+09
AE,1989,3.22e+08
KW,1989,1.66e+08
SA,1989,1.158e+09
TW,1989,2.1e+07
non-dac-countries-total,1989,1.937e+09
AE,1990,2.474e+09
KW,1990,1.282e+09
SA,1990,3.518e+09
TR,1990,3e+06
TW,1990,2.5e+07
non-dac-countries-total,1990,7.457e+09
AE,1991,1.543e+09
KW,1991,3.3e+08
SA,1991,1.704e+09
TR,1991,1.18e+08
TW,1991,1.25e+08
non-dac-countries-total,1991,3.858e+09
AE,1992,5.79e+08
KW,1992,1.9e+08
SA,1992,7.83e+08
TR,1992,8.7e+07
TW,1992,1.06e+08
non-dac-countries-total,1992,1.761e+09
AE,1993,6.02e+08
KW,1993,3.81e+08
SA,1993,4.78e+08
TR,1993,6.2e+07
TW,1993,6.1e+07
non-dac-countries-total,1993,1.6e+09
AE,1994,3.63e+08
KW,1994,6.14e+08
SA,1994,3.23e+08
TR,1994,5.8e+07
TW,1994,7.9e+07
non-dac-countries-total,1994,1.44e+09
AE,1995,2.43e+08
KW,1995,3.84e+08
SA,1995,3.05e+08
TR,1995,1.07e+08
TW,1995,9.2e+07
non-dac-countries-total,1995,1.131e+09
AE,1996,3.05e+08
KW,1996,4.14e+08
SA,1996,3.68e+08
TR,1996,8.8e+07
TW,1996,8.8e+07
non-dac-countries-total,1996,1.263e+09
AE,1997,6.12e+08
IL,1997,8.9e+07
KW,1997,3.73e+08
SA,1997,2.26e+08
TR,1997,7.7e+07
TW,1997,6.5e+07
non-dac-countries-total,1997,1.443e+09
AE,1998,9.4e+08
EE,1998,0
IL,1998,8.7e+07
KW,1998,2.78e+08
SA,1998,2.54e+08
TR,1998,6.9e+07
TW,1998,2.7e+07
non-dac-countries-total,1998,1.654e+09
AE,1999,5.87e+08
EE,1999,0
IL,1999,1.14e+08
KW,1999,1.47e+08
SA,1999,1.85e+08
TR,1999,1.2e+08
non-dac-countries-total,1999,1.154e+09
AE,2000,3.99e+08
EE,2000,1e+06
IL,2000,1.64e+08
KW,2000,1.65e+08
SA,2000,2.76e+08
TR,2000,8.2e+07
non-dac-countries-total,2000,1.087e+09
AE,2001,4.87e+08
EE,2001,0
IL,2001,9.2e+07
KW,2001,7.3e+07
LT,2001,2e+06
SA,2001,2.05e+08
TR,2001,6.4e+07
non-dac-countries-total,2001,9.25e+08
AE,2002,5.58e+08
EE,2002,1e+06
IL,2002,1.31e+08
KW,2002,2e+07
LT,2002,2e+06
LV,2002,2e+06
SA,2002,2.478e+09
TR,2002,7.3e+07
non-dac-countries-total,2002,3.264e+09
AE,2003,9.26e+08
EE,2003,1e+06
IL,2003,1.12e+08
KW,2003,1.38e+08
LT,2003,2e+06
LV,2003,1e+06
SA,2003,2.391e+09
TR,2003,6.7e+07
non-dac-countries-total,2003,3.637e+09
AE,2004,4.85e+08
EE,2004,5e+06
IL,2004,8.4e+07
KW,2004,1.61e+08
LT,2004,9e+06
LV,2004,8e+06
SA,2004,1.734e+09
TR,2004,3.39e+08
TW,2004,4.21e+08
non-dac-countries-total,2004,3.246e+09
AE,2005,5.1e+08
CY,2005,1.5e+07
EE,2005,1e+07
IL,2005,9.5e+07
KW,2005,2.18e+08
LT,2005,1.6e+07
LV,2005,1.1e+07
SA,2005,1.026e+09
TR,2005,6.01e+08
TW,2005,4.83e+08
non-dac-countries-total,2005,2.985e+09
AE,2006,7.83e+08
CY,2006,2.6e+07
EE,2006,1.4e+07
IL,2006,9e+07
KW,2006,1.58e+08
LT,2006,2.5e+07
LV,2006,1.2e+07
SA,2006,2.025e+09
TH,2006,7.4e+07
TR,2006,7.14e+08
TW,2006,5.13e+08
non-dac-countries-total,2006,4.433e+09
AE,2007,2.426e+09
CY,2007,3.5e+07
EE,2007,1.6e+07
IL,2007,1.11e+08
KW,2007,1.1e+08
LI,2007,1.8e+07
LT,2007,4.8e+07
LV,2007,1.6e+07
SA,2007,1.551e+09
TH,2007,6.7e+07
TR,2007,6.02e+08
TW,2007,5.14e+08
