di_id,year,value
SA,1966,1.96e+09
non-dac-countries-total,1966,1.96e+09
AE,1970,3e+06
KW,1970,8.63e+08
SA,1970,1.007e+09
non-dac-countries-total,1970,2.253e+09
AE,1971,5.46e+08
KW,1971,5.63e+08
SA,1971,1.171e+09
non-dac-countries-total,1971,2.631e+09
AE,1972,5.58e+08
KW,1972,7.56e+08
SA,1972,1.716e+09
non-dac-countries-total,1972,3.361e+09
AE,1973,2.782e+09
KW,1973,1.424e+09
SA,1973,4.805e+09
non-dac-countries-total,1973,1.0497e+10
AE,1974,4.171e+09
KW,1974,2.257e+09
SA,1974,7.669e+09
non-dac-countries-total,1974,1.6744e+10
AE,1975,6.909e+09
KW,1975,2.97e+09
SA,1975,8.885e+09
non-dac-countries-total,1975,2.1258e+10
AE,1976,7.893e+09
KW,1976,1.974e+09
SA,1976,8.355e+09
non-dac-countries-total,1976,1.9079e+10
AE,1977,5.663e+09
KW,1977,2.265e+09
SA,1977,6.956e+09
non-dac-countries-total,1977,1.567e+10
AE,1978,4.702e+09
KW,1978,2.12e+09
SA,1978,1.3465e+10
non-dac-countries-total,1978,2.0902e+10
AE,1979,4.272e+09
KW,1979,2.102e+09
SA,1979,8.967e+09
non-dac-countries-total,1979,1.8175e+10
AE,1980,4.886e+09
KW,1980,2.246e+09
SA,1980,1.2079e+10
non-dac-countries-total,1980,2.2374e+10
AE,1981,3.741e+09
KW,1981,2.399e+09
SA,1981,1.2036e+10
non-dac-countries-total,1981,1.9573e+10
AE,1982,2.353e+09
KW,1982,2.308e+09
SA,1982,8.148e+09
non-dac-countries-total,1982,1.3332e+10
AE,1983,1.402e+09
KW,1983,1.955e+09
SA,1983,6.891e+09
non-dac-countries-total,1983,1.0401e+10
AE,1984,7.62e+08
KW,1984,2.127e+09
SA,1984,7.115e+09
non-dac-countries-total,1984,9.981e+09
AE,1985,8.55e+08
KW,1985,1.513e+09
SA,1985,5.716e+09
non-dac-countries-total,1985,8.159e+09
AE,1986,5.42e+08
KW,1986,1.214e+09
SA,1986,6.554e+09
non-dac-countries-total,1986,8.572e+09
AE,1987,5.53e+08
KW,1987,4.96e+08
SA,1987,4.765e+09
non-dac-countries-total,1987,5.925e+09
AE,1988,1.58e+08
KW,1988,9.5e+07
SA,1988,2.748e+09
TW,1988,2.4e+07
non-dac-countries-total,1988,3.187e+09
AE,1989,5e+08
KW,1989,2.58e+08
SA,1989,1.801e+09
TW,1989,3.2e+07
non-dac-countries-total,1989,3.012e+09
AE,1990,3.488e+09
KW,1990,1.808e+09
SA,1990,4.959e+09
TR,1990,4e+06
TW,1990,3.5e+07
non-dac-countries-total,1990,1.0512e+10
AE,1991,2.097e+09
KW,1991,4.48e+08
SA,1991,2.315e+09
TR,1991,1.62e+08
TW,1991,1.7e+08
non-dac-countries-total,1991,5.243e+09
AE,1992,7.46e+08
KW,1992,2.45e+08
SA,1992,1.009e+09
TR,1992,1.2e+08
TW,1992,1.37e+08
non-dac-countries-total,1992,2.277e+09
AE,1993,7.94e+08
KW,1993,5.02e+08
SA,1993,6.3e+08
TR,1993,8.1e+07
TW,1993,8e+07
non-dac-countries-total,1993,2.108e+09
AE,1994,4.58e+08
KW,1994,7.74e+08
SA,1994,4.07e+08
TR,1994,9.9e+07
TW,1994,1e+08
non-dac-countries-total,1994,1.84e+09
AE,1995,2.74e+08
KW,1995,4.34e+08
SA,1995,3.45e+08
TR,1995,1.5e+08
TW,1995,1.04e+08
non-dac-countries-total,1995,1.308e+09
AE,1996,3.63e+08
KW,1996,4.94e+08
SA,1996,4.39e+08
TR,1996,1.23e+08
TW,1996,1.05e+08
