"","di_id","region_name","aid_type","year","value"
"1","AT","unspecified","bilateral",2016,673130000
"2","AT","north-of-sahara","bilateral",2016,6487621.91157347
"3","AT","south-of-sahara","bilateral",2016,59482378.0884265
"4","AT","north-central-america","bilateral",2016,22706050.4799147
"5","AT","south-america","bilateral",2016,6673949.52008532
"6","AT","far-east-asia","bilateral",2016,18522345.9265513
"7","AT","south-central-asia","bilateral",2016,30705709.1599831
"8","AT","europe","bilateral",2016,127670000
"9","AT","middle-east","bilateral",2016,46421944.9134656
"10","AT","oceania","bilateral",2016,750000
"11","BE","unspecified","bilateral",2016,703990000
"12","BE","north-of-sahara","bilateral",2016,27306251.4863258
"13","BE","south-of-sahara","bilateral",2016,450233748.513674
"14","BE","north-central-america","bilateral",2016,27240000
"15","BE","south-america","bilateral",2016,54770000
"16","BE","far-east-asia","bilateral",2016,29298631.8426287
"17","BE","south-central-asia","bilateral",2016,13243901.8639947
"18","BE","europe","bilateral",2016,73250000
"19","BE","middle-east","bilateral",2016,93227466.2933766
"20","BE","oceania","bilateral",2016,140000
"21","DK","unspecified","bilateral",2016,974510000
"22","DK","north-of-sahara","bilateral",2016,8622230.3760975
"23","DK","south-of-sahara","bilateral",2016,458017769.623902
"24","DK","north-central-america","bilateral",2016,6150000
"25","DK","south-america","bilateral",2016,25140000
"26","DK","far-east-asia","bilateral",2016,51251459.9341383
"27","DK","south-central-asia","bilateral",2016,102826783.754116
"28","DK","europe","bilateral",2016,27220000
"29","DK","middle-east","bilateral",2016,131741756.311745
"30","DK","oceania","bilateral",2016,20000
"31","FR","unspecified","bilateral",2016,1419910000
"32","FR","north-of-sahara","bilateral",2016,1022927625.77285
"33","FR","south-of-sahara","bilateral",2016,2199412374.22715
"34","FR","north-central-america","bilateral",2016,394253873.626913
"35","FR","south-america","bilateral",2016,623536126.373087
"36","FR","far-east-asia","bilateral",2016,586048559.581344
"37","FR","south-central-asia","bilateral",2016,371683335.740227
"38","FR","europe","bilateral",2016,265560000
"39","FR","middle-east","bilateral",2016,444398104.678429
"40","FR","oceania","bilateral",2016,98280000
"41","DE","unspecified","bilateral",2016,9036050000
"42","DE","north-of-sahara","bilateral",2016,1237064857.74223
"43","DE","south-of-sahara","bilateral",2016,2770195142.25777
"44","DE","north-central-america","bilateral",2016,643567009.950754
"45","DE","south-america","bilateral",2016,1197652990.04925
"46","DE","far-east-asia","bilateral",2016,1873298162.47036
"47","DE","south-central-asia","bilateral",2016,1749825589.53454
"48","DE","europe","bilateral",2016,996910000
"49","DE","middle-east","bilateral",2016,2198856247.9951
"50","DE","oceania","bilateral",2016,15760000
