"di_id","donor_code","region_name","aid_type","year","value"
"AT",1,"unspecified","bilateral",2016,673130000
"AT",1,"north-of-sahara","bilateral",2016,6487621.91157347
"AT",1,"south-of-sahara","bilateral",2016,59482378.0884265
"AT",1,"north-central-america","bilateral",2016,22706050.4799147
"AT",1,"south-america","bilateral",2016,6673949.52008532
"AT",1,"far-east-asia","bilateral",2016,18522345.9265513
"AT",1,"south-central-asia","bilateral",2016,30705709.1599831
"AT",1,"europe","bilateral",2016,127670000
"AT",1,"middle-east","bilateral",2016,46421944.9134656
"AT",1,"oceania","bilateral",2016,750000
"BE",2,"unspecified","bilateral",2016,703990000
"BE",2,"north-of-sahara","bilateral",2016,27306251.4863258
"BE",2,"south-of-sahara","bilateral",2016,450233748.513674
"BE",2,"north-central-america","bilateral",2016,27240000
"BE",2,"south-america","bilateral",2016,54770000
"BE",2,"far-east-asia","bilateral",2016,29298631.8426287
"BE",2,"south-central-asia","bilateral",2016,13243901.8639947
"BE",2,"europe","bilateral",2016,73250000
"BE",2,"middle-east","bilateral",2016,93227466.2933766
"BE",2,"oceania","bilateral",2016,140000
"DK",3,"unspecified","bilateral",2016,974510000
"DK",3,"north-of-sahara","bilateral",2016,8622230.3760975
"DK",3,"south-of-sahara","bilateral",2016,458017769.623902
"DK",3,"north-central-america","bilateral",2016,6150000
"DK",3,"south-america","bilateral",2016,25140000
"DK",3,"far-east-asia","bilateral",2016,51251459.9341383
"DK",3,"south-central-asia","bilateral",2016,102826783.754116
"DK",3,"europe","bilateral",2016,27220000
"DK",3,"middle-east","bilateral",2016,131741756.311745
"DK",3,"oceania","bilateral",2016,20000
"FR",4,"unspecified","bilateral",2016,1419910000
"FR",4,"north-of-sahara","bilateral",2016,1022927625.77285
"FR",4,"south-of-sahara","bilateral",2016,2199412374.22715
"FR",4,"north-central-america","bilateral",2016,394253873.626913
"FR",4,"south-america","bilateral",2016,623536126.373087
"FR",4,"far-east-asia","bilateral",2016,586048559.581344
"FR",4,"south-central-asia","bilateral",2016,371683335.740227
