di_id,region_name,aid_type,year,value,,,
AE,europe,multilateral,2016,1025713.238,,,
AT,europe,multilateral,2016,102021382.6,,,
AU,europe,multilateral,2016,16142127.51,,,
AZ,europe,multilateral,2016,0,,,
BE,europe,multilateral,2016,170868592.3,,,
BG,europe,multilateral,2016,11915921.3,,,
CA,europe,multilateral,2016,23548074.87,,,
CH,europe,multilateral,2016,13813006.93,,,
CZ,europe,multilateral,2016,48558229.17,,,
DE,europe,multilateral,2016,848816648.3,,,
DK,europe,multilateral,2016,85771354.63,,,
EE,europe,multilateral,2016,6143018.565,,,
ES,europe,multilateral,2016,343698394.4,,,
EU,europe,multilateral,2016,6605280.378,,,
FI,europe,multilateral,2016,67291568.33,,,
FR,europe,multilateral,2016,758011430.6,,,
GB,europe,multilateral,2016,677245255.2,,,
GR,europe,multilateral,2016,56786879.44,,,
HR,europe,multilateral,2016,9865597.5,,,
HU,europe,multilateral,2016,34186210.19,,,
IE,europe,multilateral,2016,62721062.77,,,
IL,europe,multilateral,2016,1405900.775,,,
IS,europe,multilateral,2016,155166.1926,,,
IT,europe,multilateral,2016,536450769.4,,,
JP,europe,multilateral,2016,51745830.22,,,
KR,europe,multilateral,2016,9777055.454,,,
KW,europe,multilateral,2016,0,,,
KZ,europe,multilateral,2016,230288.8759,,,
LI,europe,multilateral,2016,137886.052,,,
LT,europe,multilateral,2016,11114653.04,,,
LU,europe,multilateral,2016,12037008.65,,,
LV,europe,multilateral,2016,6778630.52,,,
MT,europe,multilateral,2016,2639601.794,,,
NL,europe,multilateral,2016,184079982.8,,,
NO,europe,multilateral,2016,18686191.92,,,
NZ,europe,multilateral,2016,1684440.542,,,
PL,europe,multilateral,2016,119630081.1,,,
PT,europe,multilateral,2016,54839190.72,,,
RO,europe,multilateral,2016,41040029.2,,,
RU,europe,multilateral,2016,7510990.393,,,
SE,europe,multilateral,2016,107926648.4,,,
SI,europe,multilateral,2016,12497184.74,,,
SK,europe,multilateral,2016,20934823.94,,,
TH,europe,multilateral,2016,1664687.415,,,
TR,europe,multilateral,2016,3884042.027,,,
TW,europe,multilateral,2016,911834.9077,,,
US,europe,multilateral,2016,114708489.1,,,
all-donors-total,europe,multilateral,2016,4668041563,,,
dac-countries-total,europe,multilateral,2016,4554633081,,,
dac-eu-members-and-ec-total,europe,multilateral,2016,0,,,
dac-eu-members-total,europe,multilateral,2016,0,,,
g7-countries-total,europe,multilateral,2016,0,,,
multilateral-total,europe,multilateral,2016,0,,,
non-dac-countries-total,europe,multilateral,2016,106803201.7,,,
AE,far-east-asia,multilateral,2016,4190960.871,,,
AT,far-east-asia,multilateral,2016,32424489.14,,,
AU,far-east-asia,multilateral,2016,72085947.26,,,
AZ,far-east-asia,multilateral,2016,0,,,
BE,far-east-asia,multilateral,2016,34480714.37,,,
BG,far-east-asia,multilateral,2016,1321706.502,,,
CA,far-east-asia,multilateral,2016,79309951.69,,,
CH,far-east-asia,multilateral,2016,53460918.21,,,
CZ,far-east-asia,multilateral,2016,5243762.086,,,
DE,far-east-asia,multilateral,2016,232652871.9,,,
DK,far-east-asia,multilateral,2016,36821683.09,,,
EE,far-east-asia,multilateral,2016,686597.6822,,,
ES,far-east-asia,multilateral,2016,66443894.31,,,
EU,far-east-asia,multilateral,2016,13213679.83,,,
FI,far-east-asia,multilateral,2016,18683616.06,,,
FR,far-east-asia,multilateral,2016,184920151,,,
GB,far-east-asia,multilateral,2016,328935780.9,,,
GR,far-east-asia,multilateral,2016,5455250.964,,,
HR,far-east-asia,multilateral,2016,947636.8857,,,
HU,far-east-asia,multilateral,2016,3715091.091,,,
IE,far-east-asia,multilateral,2016,13518619.56,,,
IL,far-east-asia,multilateral,2016,8314690.63,,,
IS,far-east-asia,multilateral,2016,634390.085,,,
IT,far-east-asia,multilateral,2016,105508091.4,,,
JP,far-east-asia,multilateral,2016,232565543.6,,,
KR,far-east-asia,multilateral,2016,52584992.94,,,
KW,far-east-asia,multilateral,2016,0,,,
KZ,far-east-asia,multilateral,2016,463256.5094,,,
LI,far-east-asia,multilateral,2016,275817.2852,,,
LT,far-east-asia,multilateral,2016,1069264.358,,,
LU,far-east-asia,multilateral,2016,5326089.618,,,
LV,far-east-asia,multilateral,2016,728123.3212,,,
MT,far-east-asia,multilateral,2016,265035.9536,,,
NL,far-east-asia,multilateral,2016,90319713.26,,,
NO,far-east-asia,multilateral,2016,51750404.71,,,
NZ,far-east-asia,multilateral,2016,4745018.837,,,
PL,far-east-asia,multilateral,2016,16787098.42,,,
PT,far-east-asia,multilateral,2016,6928441.407,,,
RO,far-east-asia,multilateral,2016,4015049.113,,,
RU,far-east-asia,multilateral,2016,33714002.8,,,
SE,far-east-asia,multilateral,2016,74048671.58,,,
SI,far-east-asia,multilateral,2016,1701280.686,,,
SK,far-east-asia,multilateral,2016,2151198.04,,,
TH,far-east-asia,multilateral,2016,10558299.81,,,
TR,far-east-asia,multilateral,2016,22555707.61,,,
TW,far-east-asia,multilateral,2016,1823968.597,,,
US,far-east-asia,multilateral,2016,333673539.1,,,
all-donors-total,far-east-asia,multilateral,2016,2254056105,,,
dac-countries-total,far-east-asia,multilateral,2016,2146877215,,,
dac-eu-members-and-ec-total,far-east-asia,multilateral,2016,0,,,
dac-eu-members-total,far-east-asia,multilateral,2016,0,,,
g7-countries-total,far-east-asia,multilateral,2016,0,,,
multilateral-total,far-east-asia,multilateral,2016,0,,,
non-dac-countries-total,far-east-asia,multilateral,2016,93965209.81,,,
AE,middle-east,multilateral,2016,3433269.534,,,
AT,middle-east,multilateral,2016,37317579.53,,,
AU,middle-east,multilateral,2016,38906950.14,,,
AZ,middle-east,multilateral,2016,0,,,
BE,middle-east,multilateral,2016,71600370.11,,,
BG,middle-east,multilateral,2016,3523146.449,,,
CA,middle-east,multilateral,2016,59343934.94,,,
CH,middle-east,multilateral,2016,48211418.78,,,
CZ,middle-east,multilateral,2016,15804438.18,,,
DE,middle-east,multilateral,2016,331463145.7,,,
DK,middle-east,multilateral,2016,63691609.87,,,
EE,middle-east,multilateral,2016,2041921.257,,,
ES,middle-east,multilateral,2016,113910950.3,,,
EU,middle-east,multilateral,2016,5437136.391,,,
FI,middle-east,multilateral,2016,36315626.52,,,
FR,middle-east,multilateral,2016,272318353.1,,,
GB,middle-east,multilateral,2016,333962526.5,,,
GR,middle-east,multilateral,2016,18201637.59,,,
HR,middle-east,multilateral,2016,2879267.915,,,
HU,middle-east,multilateral,2016,10832014.93,,,
IE,middle-east,multilateral,2016,37323447.42,,,
IL,middle-east,multilateral,2016,3166316.337,,,
IS,middle-east,multilateral,2016,691418.1345,,,
IT,middle-east,multilateral,2016,182106116.3,,,
JP,middle-east,multilateral,2016,115799099,,,
KR,middle-east,multilateral,2016,26302053.35,,,
KW,middle-east,multilateral,2016,0,,,
KZ,middle-east,multilateral,2016,1725728.768,,,
LI,middle-east,multilateral,2016,101588.3002,,,
LT,middle-east,multilateral,2016,3357955.231,,,
LU,middle-east,multilateral,2016,10911536.69,,,
LV,middle-east,multilateral,2016,2141326.457,,,
MT,middle-east,multilateral,2016,826297.4813,,,
NL,middle-east,multilateral,2016,127621326.9,,,
NO,middle-east,multilateral,2016,74871535.76,,,
NZ,middle-east,multilateral,2016,8033969.117,,,
PL,middle-east,multilateral,2016,37700616.81,,,
PT,middle-east,multilateral,2016,17972233.64,,,
RO,middle-east,multilateral,2016,12519013.68,,,
RU,middle-east,multilateral,2016,29089807.49,,,
SE,middle-east,multilateral,2016,116740619.3,,,
SI,middle-east,multilateral,2016,4379585.299,,,
SK,middle-east,multilateral,2016,6994074.646,,,
TH,middle-east,multilateral,2016,2498500.191,,,
TR,middle-east,multilateral,2016,8903879.63,,,
TW,middle-east,multilateral,2016,671799.3369,,,
US,middle-east,multilateral,2016,222988449.3,,,
all-donors-total,middle-east,multilateral,2016,2525231205,,,
dac-countries-total,middle-east,multilateral,2016,2442316638,,,
dac-eu-members-and-ec-total,middle-east,multilateral,2016,0,,,
dac-eu-members-total,middle-east,multilateral,2016,0,,,
g7-countries-total,middle-east,multilateral,2016,0,,,
multilateral-total,middle-east,multilateral,2016,0,,,
non-dac-countries-total,middle-east,multilateral,2016,77477430.69,,,
AE,north-central-america,multilateral,2016,2946011.416,,,
AT,north-central-america,multilateral,2016,22749545.17,,,
AU,north-central-america,multilateral,2016,43408239.47,,,
AZ,north-central-america,multilateral,2016,0,,,
