"","di_id","bundle","year","value"
"1","AE","cash-grant","2016",745964940
"2","AT","cash-grant","2016",99712319
"3","AU","cash-grant","2016",818777479
"4","AZ","cash-grant","2016",4140314
"5","BE","cash-grant","2016",427827275
"6","CA","cash-grant","2016",902576351
"7","CH","cash-grant","2016",840959234
"8","CZ","cash-grant","2016",15358524
"9","DE","cash-grant","2016",2583662135
"10","DK","cash-grant","2016",675987485
"11","EE","cash-grant","2016",6993526
"12","ES","cash-grant","2016",172063435
"13","EU","cash-grant","2016",5826810888
"14","FI","cash-grant","2016",173230637
"15","FR","cash-grant","2016",726738187
"16","GB","cash-grant","2016",5014635273
"17","GR","cash-grant","2016",8311920
"18","HR","cash-grant","2016",140000
"19","HU","cash-grant","2016",12277706
"20","IE","cash-grant","2016",333563882
"21","IS","cash-grant","2016",20582820
"22","IT","cash-grant","2016",416160895
"23","JP","cash-grant","2016",1482118738
"24","KR","cash-grant","2016",138307457
"25","KW","cash-grant","2016",7916530
"26","KZ","cash-grant","2016",13400433
"27","LT","cash-grant","2016",2908271
"28","LU","cash-grant","2016",107531881
"29","LV","cash-grant","2016",183954
"30","NL","cash-grant","2016",1158483149
"31","NO","cash-grant","2016",1291613554
"32","NZ","cash-grant","2016",96243500
"33","PL","cash-grant","2016",33736161
"34","PT","cash-grant","2016",17122702
"35","RO","cash-grant","2016",6036271
"36","RU","cash-grant","2016",1126110
"37","SE","cash-grant","2016",1748054794
"38","SI","cash-grant","2016",5660546
"39","SK","cash-grant","2016",13117190
"40","TH","cash-grant","2016",462600
"41","US","cash-grant","2016",6576004091
"42","adaptation-fund","cash-grant","2016",4652812
"43","afdb","cash-grant","2016",1854640
"44","afdf","cash-grant","2016",857699770
"45","arab-fund-afesd","cash-grant","2016",16255756
"46","asdb-special-funds","cash-grant","2016",420970540
"47","cardb","cash-grant","2016",4331380
"48","cif","cash-grant","2016",3012000
"49","gavi","cash-grant","2016",308082170
"50","gef","cash-grant","2016",26129587
"51","gggi","cash-grant","2016",4906193
"52","global-fund","cash-grant","2016",174371670
"53","iaea","cash-grant","2016",71546048
"54","ida","cash-grant","2016",930154324
"55","idb-special-fund","cash-grant","2016",114489240
"56","international-labour-organisation","cash-grant","2016",3158130
"57","islamic-dev-bank","cash-grant","2016",110110620
"58","nordic-dev-fund","cash-grant","2016",18847721
"59","ofid","cash-grant","2016",3562930
"60","osce","cash-grant","2016",9364656
"61","unaids","cash-grant","2016",144759
"62","undp","cash-grant","2016",22732213
"63","unece","cash-grant","2016",2325500
"64","unfpa","cash-grant","2016",989428
"65","unicef","cash-grant","2016",3360663
"66","unpbf","cash-grant","2016",529892
"67","world-tourism-organisation","cash-grant","2016",775182
"68","AE","cash-loan-equity","2016",1997316680
"69","AT","cash-loan-equity","2016",5873743
"70","BE","cash-loan-equity","2016",16158029
"71","CH","cash-loan-equity","2016",77943600
"72","DE","cash-loan-equity","2016",4991264622
"73","DK","cash-loan-equity","2016",53855642
"74","ES","cash-loan-equity","2016",35420969
"75","EU","cash-loan-equity","2016",5161935870
"76","FI","cash-loan-equity","2016",22283654
"77","FR","cash-loan-equity","2016",3333283102
"78","GB","cash-loan-equity","2016",10936800
"79","IT","cash-loan-equity","2016",71572332
"80","JP","cash-loan-equity","2016",7856798611
"81","KR","cash-loan-equity","2016",637443543
"82","KW","cash-loan-equity","2016",497410680
"83","PL","cash-loan-equity","2016",77373960
"84","PT","cash-loan-equity","2016",47241700
"85","RO","cash-loan-equity","2016",66374700
"86","SE","cash-loan-equity","2016",46748100
"87","TH","cash-loan-equity","2016",23471670
"88","TW","cash-loan-equity","2016",13100000
"89","afdf","cash-loan-equity","2016",1233872530
"90","arab-fund-afesd","cash-loan-equity","2016",532577895
"91","asdb-special-funds","cash-loan-equity","2016",2089799450
"92","cardb","cash-loan-equity","2016",28253500
"93","ceb","cash-loan-equity","2016",96714227
"94","cif","cash-loan-equity","2016",29673840
"95","ida","cash-loan-equity","2016",11159396677
"96","idb-special-fund","cash-loan-equity","2016",693860690
"97","ifad","cash-loan-equity","2016",440536362
"98","imf-concessional-trust-funds","cash-loan-equity","2016",940680490
"99","islamic-dev-bank","cash-loan-equity","2016",228401330
"100","nordic-dev-fund","cash-loan-equity","2016",8201550
"101","ofid","cash-loan-equity","2016",443359320
"102","AE","commodities-food","2016",167714700
"103","AT","commodities-food","2016",9485297
"104","AU","commodities-food","2016",45424260
"105","BE","commodities-food","2016",56816610
"106","CA","commodities-food","2016",212031727
"107","CH","commodities-food","2016",70999940
"108","CZ","commodities-food","2016",289490
"109","DE","commodities-food","2016",944924601
"110","DK","commodities-food","2016",5208296
"111","ES","commodities-food","2016",14117596
"112","EU","commodities-food","2016",984964082
"113","FI","commodities-food","2016",31780652
"114","FR","commodities-food","2016",141327857
"115","GB","commodities-food","2016",483572510
"116","HU","commodities-food","2016",5327
"117","IE","commodities-food","2016",10871857
"118","IS","commodities-food","2016",74496
"119","IT","commodities-food","2016",27471362
"120","JP","commodities-food","2016",256363128
"121","KR","commodities-food","2016",22423657
"122","LU","commodities-food","2016",3314325
"123","MT","commodities-food","2016",94378
"124","NL","commodities-food","2016",78078001
"125","NO","commodities-food","2016",82872788
"126","NZ","commodities-food","2016",139227
"127","PL","commodities-food","2016",1709234
"128","SE","commodities-food","2016",21340746
"129","SI","commodities-food","2016",121641
"130","TR","commodities-food","2016",4920000
"131","US","commodities-food","2016",2617744901
"132","adaptation-fund","commodities-food","2016",5459457
"133","gavi","commodities-food","2016",982537060
"134","ofid","commodities-food","2016",1e+05
"135","unicef","commodities-food","2016",4008381
"136","wfp","commodities-food","2016",200942431
"137","who","commodities-food","2016",15632351
"138","AE","gpgs-nngos","2016",1346270
"139","AT","gpgs-nngos","2016",731697
"140","AU","gpgs-nngos","2016",23485373
"141","BE","gpgs-nngos","2016",936020
"142","CA","gpgs-nngos","2016",13786186
"143","CH","gpgs-nngos","2016",52178941
"144","CZ","gpgs-nngos","2016",494400
"145","DE","gpgs-nngos","2016",170947
"146","DK","gpgs-nngos","2016",13252958
"147","EE","gpgs-nngos","2016",854805
"148","ES","gpgs-nngos","2016",2157642
"149","EU","gpgs-nngos","2016",127825145
"150","FI","gpgs-nngos","2016",3218611
"151","FR","gpgs-nngos","2016",493055
"152","GB","gpgs-nngos","2016",206168714
"153","IE","gpgs-nngos","2016",1406502
"154","IT","gpgs-nngos","2016",227653
"155","KR","gpgs-nngos","2016",3602275
"156","LT","gpgs-nngos","2016",65391
"157","LU","gpgs-nngos","2016",1166538
"158","NL","gpgs-nngos","2016",35272004
"159","NO","gpgs-nngos","2016",55900182
"160","NZ","gpgs-nngos","2016",1258094
"161","SE","gpgs-nngos","2016",19591261
"162","TH","gpgs-nngos","2016",102330
"163","US","gpgs-nngos","2016",815426582
"164","arab-fund-afesd","gpgs-nngos","2016",5377771
"165","AE","mixed-project-aid","2016",1393799850
"166","AT","mixed-project-aid","2016",11575062
"167","AU","mixed-project-aid","2016",259439362
"168","BE","mixed-project-aid","2016",184210069
"169","BG","mixed-project-aid","2016",3740000
"170","CA","mixed-project-aid","2016",167763936
"171","CH","mixed-project-aid","2016",696147722
"172","CZ","mixed-project-aid","2016",13928440
"173","DE","mixed-project-aid","2016",1577988568
"174","DK","mixed-project-aid","2016",421936593
