"","di_id","bundle","year","value"
"1","AE","cash-grant","2016",751053761
"2","AT","cash-grant","2016",98633496
"3","AU","cash-grant","2016",825537954
"4","AZ","cash-grant","2016",4168560
"5","BE","cash-grant","2016",422547845
"6","CA","cash-grant","2016",931457125
"7","CH","cash-grant","2016",868349429
"8","CZ","cash-grant","2016",15129773
"9","DE","cash-grant","2016",2556242942
"10","DK","cash-grant","2016",675637932
"11","EE","cash-grant","2016",6897442
"12","ES","cash-grant","2016",171493014
"13","EU","cash-grant","2016",5785559139
"14","FI","cash-grant","2016",171670827
"15","FR","cash-grant","2016",723384412
"16","GB","cash-grant","2016",5594245186
"17","GR","cash-grant","2016",8329379
"18","HR","cash-grant","2016",140955
"19","HU","cash-grant","2016",12355991
"20","IE","cash-grant","2016",334119634
"21","IS","cash-grant","2016",18238298
"22","IT","cash-grant","2016",412452187
"23","JP","cash-grant","2016",1327561614
"24","KR","cash-grant","2016",139340054
"25","KW","cash-grant","2016",7970530
"26","KZ","cash-grant","2016",13491845
"27","LT","cash-grant","2016",2910959
"28","LU","cash-grant","2016",109482620
"29","LV","cash-grant","2016",182000
"30","NL","cash-grant","2016",1155602240
"31","NO","cash-grant","2016",1368080707
"32","NZ","cash-grant","2016",94574065
"33","PL","cash-grant","2016",35166503
"34","PT","cash-grant","2016",16917079
"35","RO","cash-grant","2016",6077449
"36","RU","cash-grant","2016",1164085
"37","SE","cash-grant","2016",1752972153
"38","SI","cash-grant","2016",5633710
"39","SK","cash-grant","2016",13188823
"40","TH","cash-grant","2016",465755
"41","US","cash-grant","2016",6492119715
"42","adaptation-fund","cash-grant","2016",4684544
"43","afdb","cash-grant","2016",1867293
"44","afdf","cash-grant","2016",864551596
"45","arab-fund-afesd","cash-grant","2016",16366639
"46","asdb-special-funds","cash-grant","2016",427858662
"47","cardb","cash-grant","2016",4360930
"48","cif","cash-grant","2016",3032550
"49","gavi","cash-grant","2016",310183778
"50","gef","cash-grant","2016",26307839
"51","gggi","cash-grant","2016",4939666
"52","global-fund","cash-grant","2016",175561270
"53","iaea","cash-grant","2016",72034115
"54","ida","cash-grant","2016",938505069
"55","idb-special-fund","cash-grant","2016",115270207
"56","international-labour-organisation","cash-grant","2016",3179677
"57","islamic-dev-bank","cash-grant","2016",110861730
"58","nordic-dev-fund","cash-grant","2016",18976302
"59","ofid","cash-grant","2016",3587231
"60","osce","cash-grant","2016",9428544
"61","unaids","cash-grant","2016",145748
"62","undp","cash-grant","2016",22887282
"63","unece","cash-grant","2016",2341367
"64","unfpa","cash-grant","2016",996179
"65","unicef","cash-grant","2016",3383590
"66","unpbf","cash-grant","2016",533506
"67","AE","cash-loan-equity","2016",2010939783
"68","AT","cash-loan-equity","2016",5810196
"69","BE","cash-loan-equity","2016",15958633
"70","CH","cash-loan-equity","2016",80482700
"71","DE","cash-loan-equity","2016",4938295655
"72","DK","cash-loan-equity","2016",53827824
"73","ES","cash-loan-equity","2016",35303569
"74","EU","cash-loan-equity","2016",5125389974
"75","FI","cash-loan-equity","2016",22083017
"76","FR","cash-loan-equity","2016",3317903531
"77","GB","cash-loan-equity","2016",12200910
"78","IT","cash-loan-equity","2016",70934508
"79","JP","cash-loan-equity","2016",7037476767
"80","KR","cash-loan-equity","2016",642202816
"81","KW","cash-loan-equity","2016",500803699
"82","PL","cash-loan-equity","2016",80654360
"83","PT","cash-loan-equity","2016",46674450
"84","RO","cash-loan-equity","2016",66827500
"85","SE","cash-loan-equity","2016",46879600
"86","TH","cash-loan-equity","2016",23631826
"87","TW","cash-loan-equity","2016",13189370
"88","afdf","cash-loan-equity","2016",1242289732
"89","arab-fund-afesd","cash-loan-equity","2016",536210803
"90","asdb-special-funds","cash-loan-equity","2016",2104055598
"91","cardb","cash-loan-equity","2016",28446226
"92","ceb","cash-loan-equity","2016",97373703
"93","cif","cash-loan-equity","2016",29876292
"94","ida","cash-loan-equity","2016",11235521099
"95","idb-special-fund","cash-loan-equity","2016",698593798
"96","ifad","cash-loan-equity","2016",443541676
"97","imf-concessional-trust-funds","cash-loan-equity","2016",947096507
"98","islamic-dev-bank","cash-loan-equity","2016",229959438
"99","nordic-dev-fund","cash-loan-equity","2016",8257500
"100","ofid","cash-loan-equity","2016",446383879
"101","AE","commodities-food","2016",168858855
"102","AT","commodities-food","2016",9382685
"103","AU","commodities-food","2016",45799348
"104","BE","commodities-food","2016",56115445
"105","CA","commodities-food","2016",218816551
"106","CH","commodities-food","2016",73312380
"107","CZ","commodities-food","2016",285177
"108","DE","commodities-food","2016",934896753
"109","DK","commodities-food","2016",5205602
"110","ES","commodities-food","2016",14070791
"111","EU","commodities-food","2016",977991012
"112","FI","commodities-food","2016",31494518
"113","FR","commodities-food","2016",140675828
"114","GB","commodities-food","2016",539465262
"115","HU","commodities-food","2016",5361
"116","IE","commodities-food","2016",10889983
"117","IS","commodities-food","2016",66010
"118","IT","commodities-food","2016",27226545
"119","JP","commodities-food","2016",229629158
"120","KR","commodities-food","2016",22591066
"121","LU","commodities-food","2016",3374454
"122","MT","commodities-food","2016",95022
"123","NL","commodities-food","2016",77883842
"124","NO","commodities-food","2016",87779062
"125","NZ","commodities-food","2016",136812
"126","PL","commodities-food","2016",1781693
"127","SE","commodities-food","2016",21400761
"128","SI","commodities-food","2016",121065
"129","TR","commodities-food","2016",5110355
"130","US","commodities-food","2016",2584353042
"131","adaptation-fund","commodities-food","2016",5496688
"132","gavi","commodities-food","2016",989239400
"133","ofid","commodities-food","2016",100682
"134","unicef","commodities-food","2016",4035724
"135","wfp","commodities-food","2016",202313224
"136","who","commodities-food","2016",15738978
"137","AE","gpgs-nngos","2016",1355455
"138","AT","gpgs-nngos","2016",723780
"139","AU","gpgs-nngos","2016",23679292
"140","BE","gpgs-nngos","2016",924469
"141","CA","gpgs-nngos","2016",14227334
"142","CH","gpgs-nngos","2016",53878445
"143","CZ","gpgs-nngos","2016",487036
"144","DE","gpgs-nngos","2016",169132
"145","DK","gpgs-nngos","2016",13246101
"146","EE","gpgs-nngos","2016",843062
"147","ES","gpgs-nngos","2016",2150485
"148","EU","gpgs-nngos","2016",126920142
"149","FI","gpgs-nngos","2016",3189630
"150","FR","gpgs-nngos","2016",490780
"151","GB","gpgs-nngos","2016",229998459
"152","IE","gpgs-nngos","2016",1408847
