"from_di_id","to_di_id","year","rank","total_oda","bundle","bundle_value"
"AT","BA",2016,3,20086854,"cash-grant",9840
"AT","BA",2016,3,20086854,"technical-ooperation",1008625
"AT","BA",2016,3,20086854,"non-transfer",18989011
"AT","BA",2016,3,20086854,"mixed-project-aid",79378
"AT","IR",2016,9,10371125,"technical-ooperation",26155
"AT","IR",2016,9,10371125,"non-transfer",10344970
"AT","RS",2016,6,11727849,"cash-grant",248450
"AT","RS",2016,6,11727849,"non-transfer",10544112
"AT","RS",2016,6,11727849,"technical-ooperation",510584
"AT","RS",2016,6,11727849,"mixed-project-aid",424703
"AT","SY",2016,8,10516066,"commodities-food",6872716
"AT","SY",2016,8,10516066,"mixed-project-aid",683373
"AT","SY",2016,8,10516066,"technical-ooperation",276
"AT","SY",2016,8,10516066,"cash-grant",1326996
"AT","SY",2016,8,10516066,"non-transfer",1632705
"AT","TR",2016,2,37628285,"cash-grant",14499200
"AT","TR",2016,2,37628285,"technical-ooperation",5362190
"AT","TR",2016,2,37628285,"non-transfer",17766895
"AT","UA",2016,10,9929697,"non-transfer",8411948
"AT","UA",2016,10,9929697,"gpgs-nngos",8412
"AT","UA",2016,10,9929697,"cash-grant",16986
"AT","UA",2016,10,9929697,"mixed-project-aid",164258
"AT","UA",2016,10,9929697,"technical-ooperation",1328093
"AT","UG",2016,5,11812889,"mixed-project-aid",569004
"AT","UG",2016,5,11812889,"non-transfer",261086
"AT","UG",2016,5,11812889,"cash-grant",7243359
"AT","UG",2016,5,11812889,"technical-ooperation",3739440
"AT","bilateral-unspecified",2016,1,673134859,"cash-loan-equity",2794171
"AT","bilateral-unspecified",2016,1,673134859,"mixed-project-aid",353375
"AT","bilateral-unspecified",2016,1,673134859,"technical-ooperation",7197615
"AT","bilateral-unspecified",2016,1,673134859,"non-transfer",643108894
"AT","bilateral-unspecified",2016,1,673134859,"cash-grant",19680804
"AT","europe",2016,4,17002401,"cash-grant",13962196
"AT","europe",2016,4,17002401,"cash-loan-equity",541514
"AT","europe",2016,4,17002401,"mixed-project-aid",346058
"AT","europe",2016,4,17002401,"gpgs-nngos",1106
"AT","europe",2016,4,17002401,"technical-ooperation",2040809
"AT","europe",2016,4,17002401,"non-transfer",110718
"AT","middle-east",2016,7,11063256,"cash-grant",11058280
"AT","middle-east",2016,7,11063256,"non-transfer",3317
"AT","middle-east",2016,7,11063256,"technical-ooperation",1659
"AU","AF",2016,6,61262563,"non-transfer",61786
"AU","AF",2016,6,61262563,"cash-grant",47045060
"AU","AF",2016,6,61262563,"mixed-project-aid",2417429
"AU","AF",2016,6,61262563,"technical-ooperation",11738288
"AU","FJ",2016,8,57630381,"non-transfer",3389795
"AU","FJ",2016,8,57630381,"mixed-project-aid",7144032
"AU","FJ",2016,8,57630381,"commodities-food",320
"AU","FJ",2016,8,57630381,"cash-grant",15020850
"AU","FJ",2016,8,57630381,"technical-ooperation",32075384
"AU","ID",2016,3,252101147,"gpgs-nngos",10107857
"AU","ID",2016,3,252101147,"non-transfer",56657133
"AU","ID",2016,3,252101147,"technical-ooperation",111315631
"AU","ID",2016,3,252101147,"cash-grant",34799321
"AU","ID",2016,3,252101147,"mixed-project-aid",39221205
"AU","KH",2016,7,57748606,"cash-grant",24200774
"AU","KH",2016,7,57748606,"technical-ooperation",20659277
"AU","KH",2016,7,57748606,"commodities-food",99903
"AU","KH",2016,7,57748606,"non-transfer",4510154
"AU","KH",2016,7,57748606,"mixed-project-aid",8278498
"AU","PG",2016,2,338534694,"non-transfer",23341551
