"from_di_id","to_di_id","year","rank","total_oda","bundle","bundle_value"
"AT","BA",2016,3,19869491,"technical-ooperation",997711
"AT","BA",2016,3,19869491,"non-transfer",18783529
"AT","BA",2016,3,19869491,"mixed-project-aid",78518
"AT","BA",2016,3,19869491,"cash-grant",9733
"AT","IR",2016,9,10258922,"non-transfer",10233049
"AT","IR",2016,9,10258922,"technical-ooperation",25873
"AT","RS",2016,6,11600961,"technical-ooperation",505058
"AT","RS",2016,6,11600961,"cash-grant",245761
"AT","RS",2016,6,11600961,"non-transfer",10430034
"AT","RS",2016,6,11600961,"mixed-project-aid",420108
"AT","SY",2016,8,10402291,"non-transfer",1615040
"AT","SY",2016,8,10402291,"cash-grant",1312633
"AT","SY",2016,8,10402291,"commodities-food",6798364
"AT","SY",2016,8,10402291,"mixed-project-aid",675981
"AT","SY",2016,8,10402291,"technical-ooperation",273
"AT","TR",2016,2,37221239,"cash-grant",14342340
"AT","TR",2016,2,37221239,"technical-ooperation",5304180
"AT","TR",2016,2,37221239,"non-transfer",17574719
"AT","UA",2016,10,9822255,"gpgs-nngos",8321
"AT","UA",2016,10,9822255,"cash-grant",16802
"AT","UA",2016,10,9822255,"non-transfer",8320926
"AT","UA",2016,10,9822255,"mixed-project-aid",162481
"AT","UA",2016,10,9822255,"technical-ooperation",1313725
"AT","UG",2016,5,11685071,"cash-grant",7164978
"AT","UG",2016,5,11685071,"non-transfer",258261
"AT","UG",2016,5,11685071,"technical-ooperation",3698983
"AT","UG",2016,5,11685071,"mixed-project-aid",562849
"AT","bilateral-unspecified",2016,1,665851761,"technical-ooperation",7119749
"AT","bilateral-unspecified",2016,1,665851761,"mixed-project-aid",349551
"AT","bilateral-unspecified",2016,1,665851761,"cash-loan-equity",2763942
"AT","bilateral-unspecified",2016,1,665851761,"non-transfer",636150663
"AT","bilateral-unspecified",2016,1,665851761,"cash-grant",19467856
"AT","europe",2016,4,16818440,"cash-loan-equity",535655
"AT","europe",2016,4,16818440,"cash-grant",13811128
"AT","europe",2016,4,16818440,"technical-ooperation",2018729
"AT","europe",2016,4,16818440,"non-transfer",109520
"AT","europe",2016,4,16818440,"gpgs-nngos",1094
"AT","europe",2016,4,16818440,"mixed-project-aid",342314
"AT","middle-east",2016,7,10943563,"cash-grant",10938640
"AT","middle-east",2016,7,10943563,"non-transfer",3282
"AT","middle-east",2016,7,10943563,"technical-ooperation",1641
"AU","AF",2016,6,61768347,"technical-ooperation",11835212
"AU","AF",2016,6,61768347,"cash-grant",47433444
"AU","AF",2016,6,61768347,"non-transfer",62295
"AU","AF",2016,6,61768347,"mixed-project-aid",2437396
"AU","FJ",2016,8,58106253,"commodities-food",322
"AU","FJ",2016,8,58106253,"cash-grant",15144879
"AU","FJ",2016,8,58106253,"technical-ooperation",32340252
"AU","FJ",2016,8,58106253,"mixed-project-aid",7203017
"AU","FJ",2016,8,58106253,"non-transfer",3417783
"AU","ID",2016,3,254182800,"non-transfer",57125006
"AU","ID",2016,3,254182800,"gpgs-nngos",10191320
"AU","ID",2016,3,254182800,"technical-ooperation",112234729
"AU","ID",2016,3,254182800,"cash-grant",35086652
"AU","ID",2016,3,254182800,"mixed-project-aid",39545093
"AU","KH",2016,7,58225497,"non-transfer",4547391
"AU","KH",2016,7,58225497,"mixed-project-aid",8346856
"AU","KH",2016,7,58225497,"commodities-food",100728
"AU","KH",2016,7,58225497,"technical-ooperation",20829929
"AU","KH",2016,7,58225497,"cash-grant",24400593
"AU","PG",2016,2,341329787,"non-transfer",23534276
"AU","PG",2016,2,341329787,"technical-ooperation",239171004
"AU","PG",2016,2,341329787,"gpgs-nngos",2983
"AU","PG",2016,2,341329787,"cash-grant",47701674
"AU","PG",2016,2,341329787,"mixed-project-aid",30919850
"AU","SB",2016,4,109452775,"gpgs-nngos",694380
"AU","SB",2016,4,109452775,"cash-grant",44739451
"AU","SB",2016,4,109452775,"mixed-project-aid",16192169
"AU","SB",2016,4,109452775,"technical-ooperation",45145058
"AU","SB",2016,4,109452775,"non-transfer",2681717
"AU","TL",2016,9,57248923,"non-transfer",4690976
"AU","TL",2016,9,57248923,"mixed-project-aid",2591777
"AU","TL",2016,9,57248923,"cash-grant",25472631
"AU","TL",2016,9,57248923,"technical-ooperation",24493539
"AU","VN",2016,10,54626797,"non-transfer",21929503
"AU","VN",2016,10,54626797,"technical-ooperation",21219001
"AU","VN",2016,10,54626797,"mixed-project-aid",3690633
"AU","VN",2016,10,54626797,"cash-grant",7787660
