"di_id","year","value"
"AW",2016,
"AW",1975,
"AW",2015,
"AW",2014,
"AW",1976,
"AW",1967,
"AW",1974,
"AW",1969,
"AW",1968,
"AW",1977,
"AW",2017,
"AW",2003,
"AW",2002,
"AW",1960,
"AW",2013,
"AW",2012,
"AW",2011,
"AW",2010,
"AW",2009,
"AW",2008,
"AW",2007,
"AW",2006,
"AW",2005,
"AW",2004,
"AW",1962,
"AW",1961,
"AW",1973,
"AW",2000,
"AW",1999,
"AW",1998,
"AW",1997,
"AW",1996,
"AW",1995,
"AW",1966,
"AW",1965,
"AW",1964,
"AW",1963,
"AW",1993,
"AW",1992,
"AW",1991,
"AW",1972,
"AW",1971,
"AW",1970,
"AW",1983,
"AW",1982,
"AW",1981,
"AW",1980,
"AW",1979,
"AW",1978,
"AW",1994,
"AW",1989,
"AW",1988,
"AW",1987,
"AW",1990,
"AW",1985,
"AW",1984,
"AW",2001,
"AW",1986,
"AF",1983,
"AF",1982,
"AF",1981,
"AF",1980,
"AF",1967,
"AF",1966,
"AF",1984,
"AF",1969,
"AF",1968,
"AF",2007,69.3789978027344
"AF",1979,
"AF",1978,
"AF",1977,
"AF",1976,
"AF",1975,
"AF",1974,
"AF",1973,
"AF",1972,
"AF",1971,
"AF",1970,
"AF",1996,78.9280014038086
"AF",1995,78.6949996948242
"AF",1994,81.6589965820313
"AF",2006,70.6050033569336
"AF",2005,71.7590026855469
"AF",2004,71.6989974975586
"AF",2003,73.7360000610352
"AF",2002,74.5070037841797
"AF",2001,78.8980026245117
"AF",2000,79.1630020141602
"AF",1999,79.2910003662109
"AF",1998,79.3000030517578
"AF",1997,79.2040023803711
"AF",2013,61.5130004882813
"AF",2008,67.2460021972656
"AF",2011,62.7709999084473
"AF",1993,78.2330017089844
"AF",1992,73.693000793457
"AF",1965,
"AF",1964,
"AF",1963,
"AF",1962,
"AF",1961,
"AF",1960,
"AF",1986,
"AF",1985,
"AF",2009,67.0370025634766
"AF",2017,62.1949996948242
"AF",2016,61.3489990234375
"AF",2010,64.4990005493164
"AF",1990,
"AF",1989,
"AF",2012,61.6829986572266
"AF",1991,71.2689971923828
"AF",2014,61.6300010681152
"AF",2015,61.1319999694824
"AF",1987,
"AF",1988,
"AO",1968,
"AO",1967,
"AO",1969,
"AO",1997,39.6679992675781
"AO",2010,47.234001159668
"AO",2009,42.4710006713867
"AO",1970,
"AO",2007,38.6279983520508
"AO",2006,38.4809989929199
"AO",2005,37.4980010986328
"AO",2008,39.9949989318848
"AO",2003,37.2700004577637
"AO",2002,37.9309997558594
"AO",2014,48.8819999694824
"AO",2004,36.1660003662109
"AO",2015,48.8959999084473
"AO",1973,
"AO",1972,
"AO",1971,
"AO",1974,
"AO",1966,
"AO",1965,
"AO",1964,
"AO",1963,
"AO",1962,
"AO",1961,
"AO",1960,
"AO",2000,37.4780006408691
"AO",1999,38.8059997558594
"AO",1998,37.1940002441406
"AO",1976,
"AO",1975,
"AO",1984,
"AO",1996,40.4609985351563
"AO",1995,41.9690017700195
"AO",1994,41.867000579834
"AO",1993,42.4609985351563
"AO",1992,37.193000793457
"AO",1991,38.265998840332
"AO",1990,
"AO",1989,
"AO",2013,49.2840003967285
"AO",2012,50.75
"AO",2011,51.2179985046387
"AO",2001,36.2779998779297
"AO",1985,
"AO",1983,
"AO",1982,
"AO",1981,
"AO",1980,
"AO",1979,
"AO",1978,
"AO",1977,
"AO",2017,50.6040000915527
"AO",2016,49.1590003967285
"AO",1988,
"AO",1987,
"AO",1986,
"AL",1974,
"AL",1975,
"AL",2013,44.8030014038086
"AL",1973,
"AL",1972,
"AL",2014,42.8899993896484
"AL",1980,
"AL",1983,
"AL",1982,
"AL",1981,
"AL",1990,
"AL",1989,
"AL",1961,
"AL",1960,
"AL",2015,41.3660011291504
"AL",1971,
"AL",1970,
"AL",1969,
"AL",1968,
"AL",1967,
"AL",1966,
"AL",1965,
"AL",1964,
"AL",1963,
"AL",1962,
"AL",2017,40.2750015258789
"AL",2016,40.6590003967285
"AL",2011,45.3930015563965
"AL",2001,59.9930000305176
"AL",1998,65.2389984130859
"AL",1997,64.609001159668
"AL",2000,61.5060005187988
"AL",1999,63.4550018310547
"AL",2007,47.9129981994629
"AL",1979,
"AL",1978,
"AL",1977,
"AL",1976,
"AL",2003,57.5270004272461
"AL",2002,58.6310005187988
"AL",1988,
"AL",2010,43.9010009765625
"AL",2009,44.0499992370605
"AL",2012,47.435001373291
"AL",2008,47.2249984741211
"AL",1995,70.254997253418
"AL",1994,71.0090026855469
"AL",1993,72.0490036010742
"AL",1992,71.4410018920898
"AL",1991,67.8809967041016
"AL",2004,55.8849983215332
"AL",1986,
"AL",1985,
"AL",1984,
"AL",1987,
"AL",2006,52.3160018920898
"AL",1996,66.6500015258789
"AL",2005,53.9630012512207
"AD",1998,
"AD",1997,
"AD",2009,
"AD",1999,
"AD",2008,
"AD",2007,
"AD",2006,
"AD",1980,
"AD",1979,
"AD",1978,
"AD",1977,
"AD",2005,
"AD",1988,
"AD",1987,
"AD",1982,
"AD",1981,
"AD",1971,
"AD",1970,
"AD",1969,
"AD",1968,
"AD",1967,
"AD",1966,
"AD",1965,
"AD",1964,
"AD",1976,
"AD",1975,
"AD",1974,
"AD",1973,
"AD",1972,
"AD",1985,
"AD",1984,
"AD",1996,
"AD",1995,
"AD",1994,
"AD",1993,
"AD",1992,
"AD",1991,
"AD",1990,
"AD",1989,
"AD",2002,
"AD",2001,
"AD",2000,
"AD",1986,
"AD",2016,
"AD",1983,
"AD",2014,
"AD",2017,
"AD",2012,
"AD",2011,
"AD",2010,
"AD",2013,
"AD",1963,
"AD",1962,
"AD",1961,
"AD",1960,
"AD",2004,
"AD",2015,
"AD",2003,
"AE",1980,
"AE",2017,0.351999998092651
"AE",2016,0.165999993681908
"AE",1979,
"AE",2013,0.301999986171722
"AE",2012,0.405000001192093
"AE",2015,0.197999998927116
"AE",2014,0.24099999666214
"AE",2009,1.22099995613098
"AE",2008,4.25899982452393
"AE",2007,4.50799989700317
"AE",2006,4.64099979400635
"AE",2005,4.93800020217896
"AE",2004,4.81199979782104
"AE",2003,5.06599998474121
"AE",2002,5.41400003433228
"AE",2001,5.63100004196167
"AE",2000,5.96199989318848
"AE",1999,6.27299976348877
"AE",2011,0.541999995708466
