"di_id","year","value"
"US",1988,38618.4288592179
"US",1977,
"US",1978,
"US",1979,
"US",1980,
"US",1981,32132.8482058605
"US",1982,31219.6018462812
"US",1983,32368.8691928414
"US",1984,34419.0511426423
"US",1985,35561.1301121453
"US",1986,36471.7905986254
"US",1987,37398.3668441233
"US",1960,
"US",1961,
"US",1962,
"US",1963,
"US",1964,
"US",1965,
"US",1966,
"US",1967,
"US",1968,
"US",1969,
"US",1970,
"US",1971,
"US",1972,
"US",1973,
"US",1974,
"US",1975,
"US",1976,
"US",2015,57164.0550821644
"US",2016,57588.54
"US",2017,58479.1694519546
"US",1991,39410.4665632522
"US",1992,40249.4514100953
"US",1993,40813.0568347823
"US",1994,41943.3556677764
"US",1995,42573.9742583049
"US",1996,43679.0227664778
"US",1997,45092.5246334599
"US",1998,46553.43813824
"US",1999,48177.9282494339
"US",2000,49594.5659277112
"US",2001,49585.2563546906
"US",1989,39663.1620183632
"US",1990,39970.3537180277
"US",2004,52410.2983089882
"US",2005,53666.5773635184
"US",2006,54568.451999218
"US",2007,55013.6048429102
"US",2008,54336.5645906996
"US",2009,52367.1150290515
"US",2010,53247.3520907865
"US",2011,53700.1818153327
"US",2012,54483.8250019395
"US",2013,55004.9443089175
"US",2014,55995.1505914788
"US",2002,50004.7022661097
"US",2003,50968.4103297958
"GB",1960,
"GB",1961,
"GB",1962,
"GB",1963,
"GB",1964,
"GB",1965,
"GB",1966,
"GB",1967,
"GB",1968,
"GB",1969,
"GB",1970,
"GB",1997,31405.4776696345
"GB",1998,32300.4195473752
"GB",1999,33223.5175468717
"GB",2000,34261.5659244251
"GB",2001,35055.4663143924
"GB",2002,35718.2121116174
"GB",2003,36759.2677559043
"GB",2004,37431.9325981471
"GB",2005,38301.0476752625
"GB",2006,38943.2570346294
"GB",2007,39592.5007319599
"GB",2008,38702.0191570219
"GB",2009,37058.305732877
"GB",2010,37489.1871515976
"GB",1971,
"GB",1972,
"GB",1973,
"GB",1974,
"GB",1975,
"GB",1976,
"GB",1977,
"GB",1978,
"GB",1979,
"GB",1980,
"GB",1981,19253.0711507672
"GB",1982,19685.9983732611
"GB",1983,20454.9491225644
"GB",1984,20783.2588449909
"GB",1985,21470.803464831
"GB",1986,22264.0875702468
"GB",1987,23378.878751428
"GB",1988,24755.6874840062
"GB",1989,25366.6189579178
"GB",1990,25370.785333031
"GB",1991,25028.4486934176
"GB",1992,25065.1750929323
"GB",1993,25782.014086114
"GB",1994,26751.5285199393
"GB",1995,29590.6414025527
"GB",1996,30239.7908202691
"GB",2014,39450.111962801
"GB",2011,37761.8868718251
"GB",2012,38061.8759065199
"GB",2013,38565.4889248653
"GB",2015,40067.9115765842
"GB",2016,40412.03
"GB",2017,40987.2497322469
"AT",1981,26470.1185564606
"AT",1989,30410.0550632643
"AT",1990,31451.723200105
"AT",1991,32170.5558777425
"AT",1992,32533.1413227825
"AT",1993,32506.4297696028
"AT",1994,33089.4296324282
"AT",1982,27051.5540899135
"AT",1983,27819.7301809278
"AT",1984,27894.1602474299
"AT",1985,28408.5084103693
"AT",1986,29225.8752000375
"AT",1987,29775.1264370814
"AT",1988,29383.4718234262
"AT",1960,
"AT",1961,
"AT",1962,
"AT",1963,
"AT",1964,
"AT",1965,
"AT",1966,
"AT",1967,
"AT",1968,
"AT",1969,
"AT",1970,
"AT",1971,
"AT",1972,
"AT",1973,
"AT",1974,
"AT",1975,
"AT",1976,
"AT",1977,
"AT",1978,
"AT",1979,
"AT",1980,
"AT",1995,33965.0179193068
"AT",1996,34747.4392264443
"AT",1997,35406.2492119749
"AT",1998,36627.9146039223
"AT",1999,37859.3579528364
"AT",2000,38987.2376959469
"AT",2001,39410.9295927463
"AT",2002,39769.6411874343
"AT",2003,40003.5774032953
"AT",2004,40870.8601398072
"AT",2005,41480.6754745934
"AT",2006,42735.0774313042
"AT",2007,44160.052286603
"AT",2008,44515.6254164561
"AT",2009,42821.4955476409
"AT",2010,43532.6084209819
"AT",2011,44696.5852921959
"AT",2012,44812.0086886452
"AT",2013,44571.0119490577
"AT",2014,44533.8603543352
"AT",2015,44566.589698932
"AT",2016,44731.01
"AT",2017,45641.5437338865
"BE",1974,
"BE",1975,
"BE",1976,
"BE",1964,
"BE",1965,
"BE",1966,
"BE",1967,
"BE",1968,
"BE",1969,
"BE",1970,
"BE",1971,
"BE",1972,
"BE",1973,
"BE",1960,
"BE",1961,
"BE",1962,
"BE",1963,
"BE",2004,38410.136323607
"BE",2005,38977.7096031441
"BE",2006,39722.6759549692
"BE",2007,40769.7849779348
"BE",2008,40629.6251209366
"BE",2009,39482.6202624855
"BE",2010,40224.0311744222
"BE",2011,40421.8508026027
"BE",2012,40238.3590919948
"BE",2013,40131.6359376724
"BE",2014,40503.8039316292
"BE",2015,40888.8156684314
"BE",2016,41260.98
"BE",1977,
"BE",1978,
"BE",1979,
"BE",1980,
"BE",1981,25441.2881896494
"BE",1982,25585.9674020152
"BE",1983,25705.2543135385
"BE",1984,26358.7945018216
"BE",1985,26663.869448553
"BE",1986,27244.9721629956
"BE",1987,27907.9448473996
"BE",1988,29110.1381133878
"BE",1989,30039.3832140125
"BE",1990,30839.4357096705
"BE",1991,31261.9586916578
"BE",1992,31655.5979024133
"BE",1993,31259.0733337803
"BE",1994,32130.9490364731
"BE",1995,31958.5194574183
"BE",1996,32424.9613783161
"BE",1997,33515.3583837127
"BE",1998,34101.3212450051
"BE",1999,35237.2662313707
"BE",2000,36376.9191044718
"BE",2001,36620.9257762941
"BE",2002,37017.0923054889
"BE",2003,37198.7475751738
"BE",2017,41695.5568109746
"DK",1988,38625.0308264852
"DK",1989,38849.1418923725
"DK",1990,39357.4491860923
"DK",1991,39803.6990248389
"DK",1992,40449.9986340953
"DK",1993,40318.6930406351
"DK",1994,42323.4746744498
"DK",1995,43379.0927880122
"DK",1996,44387.4464975545
"DK",1997,45644.1823504819
"DK",1998,46485.7972164845
"DK",1999,47698.1738611902
"DK",1987,38646.7250887677
"DK",1960,
"DK",1961,
"DK",1962,
"DK",1963,
"DK",1964,
"DK",1965,
"DK",1966,
"DK",1967,
"DK",1968,
"DK",1969,
"DK",1970,
"DK",1971,
"DK",1972,
"DK",1973,
"DK",1974,
"DK",1975,
"DK",1976,
"DK",1977,
"DK",1978,
"DK",1979,
"DK",1980,
"DK",1981,31921.3133610906
"DK",1982,33119.7434598395
"DK",1983,34002.2057747805
"DK",1984,35439.5527182851
"DK",1985,36844.1871650188
"DK",1986,38597.4279167047
"DK",2000,49321.1593801969
"DK",2001,49549.0944031363
"DK",2002,49621.6139305353
"DK",2003,49678.5609753561
"DK",2004,50872.1768034223
"DK",2005,51920.8453578944
"DK",2006,53774.697236262
"DK",2007,54022.9754150551
"DK",2008,53432.4696375526
"DK",2009,50539.8986845311
"DK",2010,51256.1143111454
"DK",2011,51727.4516711839
"DK",2012,51651.1451771536
"DK",2013,51917.2601747303
"DK",2014,52489.3107212277
"DK",2015,52956.8249887567
"DK",2016,53578.76
"DK",2017,54378.8094554783
"FR",1974,
"FR",1975,
"FR",1976,
"FR",1977,
"FR",1978,
"FR",1979,
"FR",1980,
"FR",1981,23602.9644745855
"FR",1969,
"FR",1970,
"FR",1971,
"FR",1972,
"FR",1973,
"FR",1960,
"FR",1961,
"FR",1962,
"FR",1963,
"FR",1964,
"FR",1965,
"FR",1966,
"FR",1967,
"FR",1968,
"FR",2009,35069.2887494582
"FR",2010,35597.1277718647
"FR",2011,36237.9206110668
"FR",2012,36190.6070109039
"FR",2013,36221.4449744895
"FR",2014,36346.7187939427
"FR",2015,36654.39259988
"FR",2016,36870.22
"FR",2017,37410.9710778756
"FR",1991,28640.7615802537
"FR",1992,28986.1202580539
"FR",1993,28703.6818527874
"FR",1994,29243.412278718
"FR",1982,24079.881662316
"FR",1983,24264.6033942904
"FR",1984,24531.820740902
"FR",1985,24666.952364019
"FR",1986,25246.8752524685
"FR",1987,25746.8264719875
"FR",1988,26772.2759794037
"FR",1989,27794.4766306278
"FR",1990,28396.1581284142
"FR",2004,34910.0128960431
"FR",2005,35203.0603404601
"FR",2006,35840.7770547164
"FR",2007,36460.5390956527
"FR",1995,29783.0863181209
"FR",1996,30107.1601861076
"FR",1997,30672.1246448151
"FR",1998,31647.9790289736
"FR",1999,32560.5991017211
"FR",2000,33562.0065869026
"FR",2001,34051.6153014877
"FR",2002,34105.1293000977
"FR",2003,34185.2016447665
"FR",2008,36224.1140722982
"DE",2002,35440.5250389411
"DE",2003,35214.4132134717
"DE",2004,35492.3475273269
"DE",2001,35574.9841208585
"DE",1992,31356.9153268002
"DE",1993,30896.3123673701
"DE",1994,31517.0309804369
"DE",1995,32034.8796401947
"DE",1996,32234.268784608
"DE",1997,32773.574293861
"DE",1998,33342.6126940801
"DE",1999,33940.383332175
