"di_id","year","value"
"AW",2016,
"AW",1975,
"AW",2015,
"AW",2014,
"AW",1976,
"AW",1967,
"AW",1974,
"AW",1969,
"AW",1968,
"AW",1977,
"AW",2017,
"AW",2003,20834.5101990131
"AW",2002,20434.2994364477
"AW",1960,
"AW",2013,
"AW",2012,
"AW",2011,25324.7203624669
"AW",2010,24271.9404205267
"AW",2009,24631.4348604167
"AW",2008,27546.8993898034
"AW",2007,25921.026051998
"AW",2006,24014.9442670501
"AW",2005,23302.8319880055
"AW",2004,22567.8249248908
"AW",1962,
"AW",1961,
"AW",1973,
"AW",2000,20620.7006259175
"AW",1999,19356.2033894901
"AW",1998,19081.351656125
"AW",1997,17926.5728361165
"AW",1996,16585.1955307263
"AW",1995,16441.7906361916
"AW",1966,
"AW",1965,
"AW",1964,
"AW",1963,
"AW",1993,
"AW",1992,
"AW",1991,
"AW",1972,
"AW",1971,
"AW",1970,
"AW",1983,
"AW",1982,
"AW",1981,
"AW",1980,
"AW",1979,
"AW",1978,
"AW",1994,17342.4719395745
"AW",1989,
"AW",1988,
"AW",1987,
"AW",1990,
"AW",1985,
"AW",1984,
"AW",2001,20670.6556635493
"AW",1986,
"AF",1983,
"AF",1982,
"AF",1981,266.493041808705
"AF",1980,274.880858701521
"AF",1967,161.322000088481
"AF",1966,137.899361896954
"AF",1984,
"AF",1969,129.798541408375
"AF",1968,129.506653844251
"AF",2007,369.835795969823
"AF",1979,277.900741665078
"AF",1978,249.287386261794
"AF",1977,226.005343759305
"AF",1976,199.026172729051
"AF",1975,187.975604013726
"AF",1974,174.94203831954
"AF",1973,144.110318929266
"AF",1972,136.117014381199
"AF",1971,160.372835554154
"AF",1970,157.187422389233
"AF",1996,
"AF",1995,
"AF",1994,
"AF",2006,272.563077018147
"AF",2005,250.29412990949
"AF",2004,219.141352785465
"AF",2003,198.728543552291
"AF",2002,187.845094955388
"AF",2001,117.409690794955
"AF",2000,
"AF",1999,
"AF",1998,
"AF",1997,
"AF",2013,638.612543202424
"AF",2008,373.361116300036
"AF",2011,603.53702306241
"AF",1993,
"AF",1992,
"AF",1965,101.290471274167
"AF",1964,82.2084438594401
"AF",1963,78.7827580362892
"AF",1962,58.4928738323479
"AF",1961,59.8781528089471
"AF",1960,59.7773265083934
"AF",1986,
"AF",1985,
"AF",2009,445.893297923744
"AF",2017,585.85006378237
"AF",2016,561.77874627093
"AF",2010,553.300289383064
"AF",1990,
"AF",1989,
"AF",2012,669.009050888028
"AF",1991,
"AF",2014,629.345250369145
"AF",2015,569.5779229167
"AF",1987,
"AF",1988,
"AO",1968,
"AO",1967,
"AO",1969,
"AO",1997,506.884952193443
"AO",2010,3531.41687831962
"AO",2009,3347.84490031366
"AO",1970,
"AO",2007,2878.83730535623
"AO",2006,2062.41521212341
"AO",2005,1443.99192381072
"AO",2008,3868.57901446005
"AO",2003,779.468317011824
"AO",2002,711.181789161759
"AO",2014,4707.57809784664
"AO",2004,1041.087109209
"AO",2015,3683.5526074127
"AO",1973,
"AO",1972,
"AO",1971,
"AO",1974,
"AO",1966,
"AO",1965,
"AO",1964,
"AO",1963,
"AO",1962,
"AO",1961,
"AO",1960,
"AO",2000,555.296941863334
"AO",1999,385.768853472854
"AO",1998,419.639845318854
"AO",1976,
"AO",1975,
"AO",1984,596.602467242029
"AO",1996,512.620965887672
"AO",1995,388.166766342963
"AO",1994,320.657792023357
"AO",1993,430.381595278873
"AO",1992,640.622297879065
"AO",1991,844.691134306625
"AO",1990,922.550169956192
"AO",1989,862.509057657804
"AO",2013,4804.63382589612
"AO",2012,4539.4676892715
"AO",2011,4299.00813636005
"AO",2001,526.168742996854
"AO",1985,711.99270010471
"AO",1983,582.420126498067
"AO",1982,579.2520008971
"AO",1981,600.408765541326
"AO",1980,664.117560200257
"AO",1979,
"AO",1978,
"AO",1977,
"AO",2017,4170.31228024945
"AO",2016,3308.77282845577
"AO",1988,761.618457662551
"AO",1987,720.598938487943
"AO",1986,647.563353685906
"AL",1974,
"AL",1975,
"AL",2013,4413.08169670601
"AL",1973,
"AL",1972,
"AL",2014,4578.66672753259
"AL",1980,
"AL",1983,
"AL",1982,
"AL",1981,
"AL",1990,639.463899289892
"AL",1989,723.409610237851
"AL",1961,
"AL",1960,
"AL",2015,3952.83078116586
"AL",1971,
"AL",1970,
"AL",1969,
"AL",1968,
"AL",1967,
"AL",1966,
"AL",1965,
"AL",1964,
"AL",1963,
"AL",1962,
"AL",2017,4537.8624924478
"AL",2016,4131.87234065272
"AL",2011,4437.17806843608
"AL",2001,1326.97033929809
"AL",1998,865.302161769888
"AL",1997,749.58464901464
"AL",2000,1175.78898079471
"AL",1999,1098.42546340677
"AL",2007,3603.01368536638
"AL",1979,
"AL",1978,
"AL",1977,
"AL",1976,
"AL",2003,1890.68155733514
"AL",2002,1453.64277657175
"AL",1988,676.566732520011
"AL",2010,4094.35883191918
"AL",2009,4114.13654490945
"AL",2012,4247.61430826246
"AL",2008,4370.53964653148
"AL",1995,760.559375774093
"AL",1994,619.065163447139
"AL",1993,380.527371084275
"AL",1992,218.492165902633
"AL",1991,348.711317786982
"AL",2004,2416.58823505194
"AL",1986,719.157295703914
"AL",1985,662.914792567596
"AL",1984,662.520052309521
"AL",1987,699.384292086697
"AL",2006,3005.01290331851
"AL",1996,1046.35851070754
"AL",2005,2709.14293061386
"AD",1998,18894.5214963227
"AD",1997,18353.0597218473
"AD",2009,43339.3798746543
"AD",1999,19261.7105038886
"AD",2008,47785.6590856793
"AD",2007,48582.8084550866
"AD",2006,43748.7721588999
"AD",1980,12377.4116456877
"AD",1979,11820.8493928325
"AD",1978,9129.7061851808
"AD",1977,7751.37021575891
"AD",2005,41282.0201219785
"AD",1988,14304.3569645785
"AD",1987,12616.167565929
"AD",1982,9610.26630831575
"AD",1981,10372.232834745
"AD",1971,3498.1736515232
"AD",1970,3238.55684977329
"AD",1969,
"AD",1968,
"AD",1967,
"AD",1966,
"AD",1965,
"AD",1964,
"AD",1976,7152.37513361051
"AD",1975,7169.10100559556
"AD",1974,6319.73903384837
"AD",1973,5342.16856044208
"AD",1972,4217.17358114253
"AD",1985,7774.39382903478
"AD",1984,7728.90669456943
"AD",1996,19017.1745902241
"AD",1995,18461.0648581512
"AD",1994,16234.8090102012
"AD",1993,16516.4710272204
