"di_id","year","value"
"AW",2016,
"AW",1975,
"AW",2015,
"AW",2014,
"AW",1976,
"AW",1967,
"AW",1974,
"AW",1969,
"AW",1968,
"AW",1977,
"AW",2017,
"AW",2003,2021301675.97765
"AW",2002,1941094972.06704
"AW",1960,
"AW",2013,
"AW",2012,
"AW",2011,2584463687.15084
"AW",2010,2467703910.61453
"AW",2009,2498932960.89385
"AW",2008,2791960893.85475
"AW",2007,2623726256.98324
"AW",2006,2421474860.3352
"AW",2005,2331005586.59218
"AW",2004,2228279329.60894
"AW",1962,
"AW",1961,
"AW",1973,
"AW",2000,1873452513.96648
"AW",1999,1722798882.68156
"AW",1998,1665363128.49162
"AW",1997,1531843575.41899
"AW",1996,1379888268.15642
"AW",1995,1320670391.06145
"AW",1966,
"AW",1965,
"AW",1964,
"AW",1963,
"AW",1993,
"AW",1992,
"AW",1991,
"AW",1972,
"AW",1971,
"AW",1970,
"AW",1983,
"AW",1982,
"AW",1981,
"AW",1980,
"AW",1979,
"AW",1978,
"AW",1994,1330167597.76536
"AW",1989,
"AW",1988,
"AW",1987,
"AW",1990,
"AW",1985,
"AW",1984,
"AW",2001,1920262569.8324
"AW",1986,
"AF",1983,
"AF",1982,
"AF",1981,3478787909.09091
"AF",1980,3641723321.99546
"AF",1967,1673333417.77778
"AF",1966,1399999966.66667
"AF",1984,
"AF",1969,1408888922.22222
"AF",1968,1373333366.66667
"AF",2007,9843842455.48323
"AF",1979,3697940409.61098
"AF",1978,3300000108.88889
"AF",1977,2953333417.77778
"AF",1976,2555555566.66667
"AF",1975,2366666615.55556
"AF",1974,2155555497.77778
"AF",1973,1733333264.44444
"AF",1972,1595555475.55556
"AF",1971,1831108971.11111
"AF",1970,1748886595.55556
"AF",1996,
"AF",1995,
"AF",1994,
"AF",2006,7057598406.61553
"AF",2005,6275073571.54659
"AF",2004,5285465685.86423
"AF",2003,4583644246.48061
"AF",2002,4128820723.04713
"AF",2001,2461665937.89386
"AF",2000,
"AF",1999,
"AF",1998,
"AF",1997,
"AF",2013,20264253973.7858
"AF",2008,10190529882.4878
"AF",2011,17930239399.8149
"AF",1993,
"AF",1992,
"AF",1965,1006666637.77778
"AF",1964,800000044.444444
"AF",1963,751111191.111111
"AF",1962,546666677.777778
"AF",1961,548888895.555556
"AF",1960,537777811.111111
"AF",1986,
"AF",1985,
"AF",2009,12486943505.7381
"AF",2017,20815300220.0428
"AF",2016,19469022207.6852
"AF",2010,15936800636.2487
"AF",1990,
"AF",1989,
"AF",2012,20536542736.7297
"AF",1991,
"AF",2014,20616104298.4975
"AF",2015,19215562179.0117
"AF",1987,
"AF",1988,
"AO",1968,
"AO",1967,
"AO",1969,
"AO",1997,7648377412.83277
"AO",2010,82526143645.0623
"AO",2009,75492385928.3332
"AO",1970,
"AO",2007,60448924661.7935
"AO",2006,41789479931.7142
"AO",2005,28233712737.97
"AO",2008,84178035578.8223
"AO",2003,14188949398.3752
"AO",2002,12497347956.1316
"AO",2014,126730196125.425
"AO",2004,19640853733.598
"AO",2015,102621215573.456
"AO",1973,
"AO",1972,
"AO",1971,
"AO",1974,
"AO",1966,
"AO",1965,
"AO",1964,
"AO",1963,
"AO",1962,
"AO",1961,
"AO",1960,
"AO",2000,9129594818.60749
"AO",1999,6152922942.98032
"AO",1998,6506229607.29432
"AO",1976,
"AO",1975,
"AO",1984,6131475065.23832
"AO",1996,7526446605.51712
"AO",1995,5538749259.94714
"AO",1994,4438321017.39068
"AO",1993,5768720421.61367
"AO",1992,8307810973.58848
"AO",1991,10603784541.197
"AO",1990,11228764963.1618
"AO",1989,10201099039.5655
"AO",2013,124912503781.148
"AO",2012,113923162050.111
"AO",2011,104115807985.965
"AO",2001,8936063723.20121
"AO",1985,7553560459.10428
"AO",1983,5784341596.36339
"AO",1982,5550483035.90815
"AO",1981,5550483035.90815
"AO",1980,5930503400.83228
"AO",1979,
"AO",1978,
"AO",1977,
"AO",2017,124209385825.22
"AO",2016,95337203468.1156
"AO",1988,8769250549.73596
"AO",1987,8083872012.47326
"AO",1986,7072063345.44786
"AL",1974,
"AL",1975,
"AL",2013,12776277515.48
"AL",1973,
"AL",1972,
"AL",2014,13228244357.1813
"AL",1980,
"AL",1983,
"AL",1982,
"AL",1981,
"AL",1990,2101624962.5
"AL",1989,2335124987.5
"AL",1961,
"AL",1960,
"AL",2015,11386931489.7968
"AL",1971,
"AL",1970,
"AL",1969,
"AL",1968,
"AL",1967,
"AL",1966,
"AL",1965,
"AL",1964,
"AL",1963,
"AL",1962,
"AL",2017,13039352743.9616
"AL",2016,11883682170.8236
"AL",2011,12890867538.5302
"AL",2001,4060758804.12084
"AL",1998,2707123772.16195
"AL",1997,2359903108.38446
"AL",2000,3632043907.97733
"AL",1999,3414760915.27878
"AL",2007,10701011896.7708
"AL",1979,
"AL",1978,
"AL",1977,
"AL",1976,
"AL",2003,5746945912.58082
"AL",2002,4435078647.74817
"AL",1988,2.126e+09
"AL",2010,11926953258.916
"AL",2009,12044212903.8168
"AL",2012,12319784787.2987
"AL",2008,12881352687.7773
"AL",1995,2424499009.14264
"AL",1994,1985673798.10258
"AL",1993,1228071037.84446
"AL",1992,709452583.880319
"AL",1991,1139166645.83333
"AL",2004,7314865175.6199
"AL",1986,2173750012.5
"AL",1985,1965384586.24229
"AL",1984,1924242453.00929
"AL",1987,2156624900
"AL",2006,8992642348.7871
"AL",1996,3314898291.75235
"AL",2005,8158548716.68554
"AD",1998,1211932397.81713
"AD",1997,1180597272.72727
"AD",2009,3660530702.97305
"AD",1999,1239876305.13531
"AD",2008,4007353156.58415
"AD",2007,4016972351.49192
"AD",2006,3543256805.92147
"AD",1980,446416105.825017
"AD",1979,411578334.159643
"AD",1978,308008897.569444
"AD",1977,254020153.340635
"AD",2005,3255789080.96008
"AD",1988,721425939.15155
"AD",1987,611316399.407088
"AD",1982,375895956.383462
"AD",1981,388958731.302938
"AD",1971,89409820.3592814
"AD",1970,78619206.0850963
"AD",1969,
"AD",1968,
"AD",1967,
"AD",1966,
"AD",1965,
"AD",1964,
"AD",1976,227281024.620741
"AD",1975,220127246.376812
"AD",1974,186558696.279204
"AD",1973,150820102.798401
"AD",1972,113408231.944085
"AD",1985,346737964.774951
"AD",1984,330070689.298282
"AD",1996,1223945356.62682
