"di_id","year","value"
"US",1988,42387.5996533277
"US",1977,
"US",1978,
"US",1979,
"US",1980,
"US",1981,33067.0615853585
"US",1982,30767.750510949
"US",1983,30348.2264498543
"US",1984,32602.529783556
"US",1985,34082.931382806
"US",1986,36557.5558457688
"US",1987,39927.095282236
"US",1960,
"US",1961,
"US",1962,
"US",1963,
"US",1964,
"US",1965,
"US",1966,
"US",1967,
"US",1968,
"US",1969,
"US",1970,
"US",1971,
"US",1972,
"US",1973,
"US",1974,
"US",1975,
"US",1976,
"US",2015,57018.3999085437
"US",2016,56800
"US",2017,57239.8149819003
"US",1991,39353.6887341225
"US",1992,40702.6592588248
"US",1993,40836.4205723832
"US",1994,41903.1286642587
"US",1995,43118.0455972962
"US",1996,44131.9196921666
"US",1997,44831.6044101502
"US",1998,45424.2602595637
"US",1999,47007.7036135621
"US",2000,49077.7191740254
"US",2001,49008.4098111963
"US",1989,41285.4410681475
"US",1990,40296.5976422936
"US",2004,54608.372828764
"US",2005,56127.8704806148
"US",2006,56499.0679240185
"US",2007,55675.7386375707
"US",2008,55378.998745682
"US",2009,53535.2417482723
"US",2010,53879.8096976129
"US",2011,54429.5288746278
"US",2012,55637.060330884
"US",2013,55909.4052958764
"US",2014,56653.6908830278
"US",2002,49092.7587434046
"US",2003,51318.8428789164
"GB",1960,
"GB",1961,
"GB",1962,
"GB",1963,
"GB",1964,
"GB",1965,
"GB",1966,
"GB",1967,
"GB",1968,
"GB",1969,
"GB",1970,
"GB",1997,29410.0312343262
"GB",1998,30438.4945309693
"GB",1999,32446.6817152004
"GB",2000,35360.6351965094
"GB",2001,36592.2780886346
"GB",2002,34655.7670242198
"GB",2003,34410.0679965102
"GB",2004,35284.3698807414
"GB",2005,39253.1076172266
"GB",2006,39601.2359704151
"GB",2007,37717.4325882629
"GB",2008,40069.4533881905
"GB",2009,42557.4798378612
"GB",2010,39886.4002932431
"GB",1971,
"GB",1972,
"GB",1973,
"GB",1974,
"GB",1975,
"GB",1976,
"GB",1977,
"GB",1978,
"GB",1979,
"GB",1980,
"GB",1981,21019.4467789914
"GB",1982,22535.6002755327
"GB",1983,22804.8094001566
"GB",1984,23148.439891709
"GB",1985,22333.8323786819
"GB",1986,21128.737882501
"GB",1987,22240.8358533822
"GB",1988,24589.7377238135
"GB",1989,26679.8683070454
"GB",1990,24247.4698097411
"GB",1991,23971.0921205674
"GB",1992,25827.1809240515
"GB",1993,29442.6943800374
"GB",1994,29209.2893358188
"GB",1995,26770.2967741985
"GB",1996,28080.2463270626
"GB",2014,36883.7090804277
"GB",2011,37039.3818446318
"GB",2012,37523.8099731238
"GB",2013,38218.8026814579
"GB",2015,39538.3669569222
"GB",2016,42370
"GB",2017,41822.6291463027
"AT",1981,31532.0237032822
"AT",1989,33597.558108587
"AT",1990,29927.0951012
"AT",1991,31307.957762249
"AT",1992,32062.1983634601
"AT",1993,33570.7452296437
"AT",1994,33725.8863944162
"AT",1982,29838.9678867738
"AT",1983,28002.2993388045
"AT",1984,28759.5208905809
"AT",1985,28990.4862268244
"AT",1986,24170.4714309719
"AT",1987,25083.8934540102
"AT",1988,30204.8360934653
"AT",1960,
"AT",1961,
"AT",1962,
"AT",1963,
"AT",1964,
"AT",1965,
"AT",1966,
"AT",1967,
"AT",1968,
"AT",1969,
"AT",1970,
"AT",1971,
"AT",1972,
"AT",1973,
"AT",1974,
"AT",1975,
"AT",1976,
"AT",1977,
"AT",1978,
"AT",1979,
"AT",1980,
"AT",1995,31572.8612766092
"AT",1996,35074.8981962445
"AT",1997,39190.7850638138
"AT",1998,37441.9729737762
"AT",1999,37727.9787653338
"AT",2000,42519.4813105771
"AT",2001,40619.5416487066
"AT",2002,37612.9590065142
"AT",2003,34785.8274345368
"AT",2004,37461.558613509
"AT",2005,41822.9387650501
"AT",2006,43602.4142149844
"AT",2007,41949.239704666
"AT",2008,42278.3671745075
"AT",2009,43747.1677614872
"AT",2010,46089.2667248761
"AT",2011,44013.6644375429
"AT",2012,46188.9106330664
"AT",2013,44556.3268164916
"AT",2014,43427.4676665837
"AT",2015,48017.6721163616
"AT",2016,45850
"AT",2017,43855.1879688465
"BE",1974,
"BE",1975,
"BE",1976,
"BE",1964,
"BE",1965,
"BE",1966,
"BE",1967,
"BE",1968,
"BE",1969,
"BE",1970,
"BE",1971,
"BE",1972,
"BE",1973,
"BE",1960,
"BE",1961,
"BE",1962,
"BE",1963,
"BE",2004,35582.8385858186
"BE",2005,39908.4570638723
"BE",2006,40926.6852569719
"BE",2007,39278.9036011143
"BE",2008,39199.4331318962
"BE",2009,40704.9384521009
"BE",2010,43432.3514207989
"BE",2011,39894.1013283397
"BE",2012,42441.2952525701
"BE",2013,40835.7774134817
"BE",2014,40177.0754346361
"BE",2015,44808.2454789995
"BE",2016,42640
"BE",1977,
"BE",1978,
"BE",1979,
"BE",1980,
"BE",1981,31588.2229766445
"BE",1982,30614.2162342558
"BE",1983,27371.2593395029
"BE",1984,27621.9646142483
"BE",1985,26883.1168752447
"BE",1986,22735.3554082723
"BE",1987,24135.6175213286
"BE",1988,30189.7804854955
"BE",1989,32763.2930190536
"BE",1990,28887.8109400582
"BE",1991,30561.0495905787
"BE",1992,31362.277086688
"BE",1993,32817.3095122269
"BE",1994,33281.9691730546
"BE",1995,30430.3775002443
"BE",1996,33663.4631285353
"BE",1997,38366.0297611118
"BE",1998,35674.5390441007
"BE",1999,36256.3493966503
"BE",2000,40816.9189702963
"BE",2001,38851.6066921188
"BE",2002,35654.2517517903
"BE",2003,32813.9902302152
"BE",2017,40219.3925033516
"DK",1988,38235.7293756004
"DK",1989,41224.2173474132
"DK",1990,35959.8640497604
"DK",1991,37944.9280429331
"DK",1992,39574.985178532
"DK",1993,42074.7743247163
"DK",1994,43176.3198711732
