"di_id","year","value"
"AW",2016,
"AW",1975,
"AW",2015,
"AW",2014,
"AW",1976,
"AW",1967,
"AW",1974,
"AW",1969,
"AW",1968,
"AW",1977,
"AW",2017,
"AW",2003,
"AW",2002,
"AW",1960,
"AW",2013,
"AW",2012,
"AW",2011,
"AW",2010,
"AW",2009,
"AW",2008,
"AW",2007,
"AW",2006,
"AW",2005,
"AW",2004,
"AW",1962,
"AW",1961,
"AW",1973,
"AW",2000,
"AW",1999,
"AW",1998,
"AW",1997,
"AW",1996,
"AW",1995,
"AW",1966,
"AW",1965,
"AW",1964,
"AW",1963,
"AW",1993,
"AW",1992,
"AW",1991,
"AW",1972,
"AW",1971,
"AW",1970,
"AW",1983,
"AW",1982,
"AW",1981,
"AW",1980,
"AW",1979,
"AW",1978,
"AW",1994,
"AW",1989,
"AW",1988,
"AW",1987,
"AW",1990,
"AW",1985,
"AW",1984,
"AW",2001,
"AW",1986,
"AF",1983,
"AF",1982,
"AF",1981,
"AF",1980,
"AF",1967,
"AF",1966,
"AF",1984,
"AF",1969,
"AF",1968,
"AF",2007,11756603017.8679
"AF",1979,
"AF",1978,
"AF",1977,
"AF",1976,
"AF",1975,
"AF",1974,
"AF",1973,
"AF",1972,
"AF",1971,
"AF",1970,
"AF",1996,
"AF",1995,
"AF",1994,
"AF",2006,10366329502.4982
"AF",2005,9780992357.35352
"AF",2004,8795550088.4395
"AF",2003,8678235117.46642
"AF",2002,7997010458.78392
"AF",2001,
"AF",2000,
"AF",1999,
"AF",1998,
"AF",1997,
"AF",2013,20400059894.095
"AF",2008,12196476150.97
"AF",2011,17101701353.6165
"AF",1993,
"AF",1992,
"AF",1965,
"AF",1964,
"AF",1963,
"AF",1962,
"AF",1961,
"AF",1960,
"AF",1986,
"AF",1985,
"AF",2009,14760201938.4375
"AF",2017,
"AF",2016,21647938546.4163
"AF",2010,15998801042.3649
"AF",1990,
"AF",1989,
"AF",2012,19653353447.351
"AF",1991,
"AF",2014,20824287622.0756
"AF",2015,21104716057.7671
"AF",1987,
"AF",1988,
"AO",1968,
"AO",1967,
"AO",1969,
"AO",1997,
"AO",2010,74439279985.8986
"AO",2009,76451742894.5712
"AO",1970,
"AO",2007,60132341491.6713
"AO",2006,46491912790.9336
"AO",2005,40264447254.309
"AO",2008,60809866501.9622
"AO",2003,33402851529.7925
"AO",2002,31889681995.6791
"AO",2014,96096415941.6746
"AO",2004,36028235894.4291
"AO",2015,102327939591.249
"AO",1973,
"AO",1972,
"AO",1971,
"AO",1974,
"AO",1966,
"AO",1965,
"AO",1964,
"AO",1963,
"AO",1962,
"AO",1961,
"AO",1960,
"AO",2000,23598700104.7701
"AO",1999,
"AO",1998,
"AO",1976,
"AO",1975,
"AO",1984,
"AO",1996,
"AO",1995,
"AO",1994,
"AO",1993,
"AO",1992,
"AO",1991,
"AO",1990,
"AO",1989,
"AO",2013,88563041820.7668
"AO",2012,79527096136.9962
"AO",2011,76291544537.9985
"AO",2001,26624493112.0396
"AO",1985,
"AO",1983,
"AO",1982,
"AO",1981,
"AO",1980,
"AO",1979,
"AO",1978,
"AO",1977,
"AO",2017,101335595898.09
"AO",2016,100846717648.231
"AO",1988,
"AO",1987,
"AO",1986,
"AL",1974,
"AL",1975,
"AL",2013,12700752242.854
"AL",1973,
"AL",1972,
"AL",2014,12839615285.6025
"AL",1980,
"AL",1983,
"AL",1982,
"AL",1981,
"AL",1990,
"AL",1989,
"AL",1961,
"AL",1960,
"AL",2015,13153994463.8345
"AL",1971,
"AL",1970,
"AL",1969,
"AL",1968,
"AL",1967,
"AL",1966,
"AL",1965,
"AL",1964,
"AL",1963,
"AL",1962,
"AL",2017,14070369575.3671
"AL",2016,13641105682.1239
"AL",2011,12220851709.5283
"AL",2001,7987719041.19595
"AL",1998,6093602610.4739
"AL",1997,5563996525.30054
"AL",2000,7393280244.07777
"AL",1999,6886040989.09622
"AL",2007,10966752063.5151
"AL",1979,
"AL",1978,
"AL",1977,
"AL",1976,
"AL",2003,8776952264.94573
"AL",2002,8277159246.08885
"AL",1988,
"AL",2010,11807797845.6056
"AL",2009,11333402538.911
"AL",2012,12309169285.3645
"AL",2008,11162400494.5396
"AL",1995,
"AL",1994,
"AL",1993,
"AL",1992,
"AL",1991,
"AL",2004,9250601509.98209
"AL",1986,
"AL",1985,
"AL",1984,
"AL",1987,
"AL",2006,10366842572.1696
"AL",1996,6255296390.77086
"AL",2005,9754749835.14791
"AD",1998,
"AD",1997,
"AD",2009,
"AD",1999,
"AD",2008,
"AD",2007,
"AD",2006,
"AD",1980,
"AD",1979,
"AD",1978,
"AD",1977,
"AD",2005,
"AD",1988,
"AD",1987,
"AD",1982,
"AD",1981,
"AD",1971,
"AD",1970,
"AD",1969,
"AD",1968,
"AD",1967,
"AD",1966,
"AD",1965,
"AD",1964,
"AD",1976,
"AD",1975,
"AD",1974,
"AD",1973,
"AD",1972,
"AD",1985,
"AD",1984,
"AD",1996,
"AD",1995,
"AD",1994,
"AD",1993,
"AD",1992,
"AD",1991,
"AD",1990,
"AD",1989,
"AD",2002,
"AD",2001,
"AD",2000,
"AD",1986,
"AD",2016,
"AD",1983,
"AD",2014,
"AD",2017,
"AD",2012,
"AD",2011,
"AD",2010,
"AD",2013,
"AD",1963,
"AD",1962,
"AD",1961,
"AD",1960,
"AD",2004,
"AD",2015,
"AD",2003,
"AE",1980,
"AE",2017,390068394645.658
"AE",2016,386448976489.473
"AE",1979,
"AE",2013,341779057509.527
"AE",2012,324153660219.315
"AE",2015,374929873812.142
"AE",2014,355854455955.416
"AE",2009,288420419614.127
"AE",2008,305511322552.941
"AE",2007,302562134525.046
"AE",2006,289542066007.405
"AE",2005,261810575182.571
"AE",2004,246705973543.014
"AE",2003,223992785869.975
"AE",2002,207722711108.858
"AE",2001,211036941314.245
"AE",2000,
"AE",1999,
"AE",2011,310076753818.193
"AE",2010,289780770565.01
"AE",1983,
"AE",1982,
"AE",1981,
"AE",1969,
"AE",1968,
"AE",1967,
"AE",1966,
"AE",1978,
"AE",1977,
"AE",1976,
"AE",1975,
"AE",1974,
"AE",1973,
"AE",1972,
"AE",1971,
"AE",1970,
"AE",1995,
"AE",1994,
"AE",1993,
"AE",1992,
"AE",1965,
"AE",1964,
"AE",1963,
"AE",1962,
"AE",1961,
