"di_id","wb_wdi_country_code","year","value"
"AW","ABW",2016,
"AW","ABW",1975,
"AW","ABW",2015,
"AW","ABW",2014,
"AW","ABW",1976,
"AW","ABW",1967,
"AW","ABW",1974,
"AW","ABW",1969,
"AW","ABW",1968,
"AW","ABW",1977,
"AW","ABW",2017,
"AW","ABW",2003,
"AW","ABW",2002,
"AW","ABW",1960,
"AW","ABW",2013,
"AW","ABW",2012,
"AW","ABW",2011,
"AW","ABW",2010,
"AW","ABW",2009,
"AW","ABW",2008,
"AW","ABW",2007,
"AW","ABW",2006,
"AW","ABW",2005,
"AW","ABW",2004,
"AW","ABW",1962,
"AW","ABW",1961,
"AW","ABW",1973,
"AW","ABW",2000,
"AW","ABW",1999,
"AW","ABW",1998,
"AW","ABW",1997,
"AW","ABW",1996,
"AW","ABW",1995,
"AW","ABW",1966,
"AW","ABW",1965,
"AW","ABW",1964,
"AW","ABW",1963,
"AW","ABW",1993,
"AW","ABW",1992,
"AW","ABW",1991,
"AW","ABW",1972,
"AW","ABW",1971,
"AW","ABW",1970,
"AW","ABW",1983,
"AW","ABW",1982,
"AW","ABW",1981,
"AW","ABW",1980,
"AW","ABW",1979,
"AW","ABW",1978,
"AW","ABW",1994,
"AW","ABW",1989,
"AW","ABW",1988,
"AW","ABW",1987,
"AW","ABW",1990,
"AW","ABW",1985,
"AW","ABW",1984,
"AW","ABW",2001,
"AW","ABW",1986,
"AF","AFG",1983,
"AF","AFG",1982,
"AF","AFG",1981,3551514995.9596
"AF","AFG",1980,3716553247.16553
"AF","AFG",1967,1708888882.22222
"AF","AFG",1966,1428888871.11111
"AF","AFG",1984,
"AF","AFG",1969,1437777737.77778
"AF","AFG",1968,1402222182.22222
"AF","AFG",2007,9873622504.18019
"AF","AFG",1979,3775743789.47368
"AF","AFG",1978,3371111037.77778
"AF","AFG",1977,3017777697.77778
"AF","AFG",1976,2611111162.22222
"AF","AFG",1975,2417777777.77778
"AF","AFG",1974,2202222228.88889
"AF","AFG",1973,1771108944.44444
"AF","AFG",1972,1631108937.77778
"AF","AFG",1971,1868886653.33333
"AF","AFG",1970,1784444426.66667
"AF","AFG",1996,
"AF","AFG",1995,
"AF","AFG",1994,
"AF","AFG",2006,7100902255.45835
"AF","AFG",2005,6286218431.77394
