"di_id","year","value"
"AW",2016,75.867
"AW",1975,70.833
"AW",2015,75.725
"AW",2014,75.582
"AW",1976,71.14
"AW",1967,68.095
"AW",1974,70.519
"AW",1969,68.784
"AW",1968,68.436
"AW",1977,71.441
"AW",2017,
"AW",2003,74.038
"AW",2002,73.937
"AW",1960,65.662
"AW",2013,75.44
"AW",2012,75.299
"AW",2011,75.158
"AW",2010,75.016
"AW",2009,74.872
"AW",2008,74.725
"AW",2007,74.576
"AW",2006,74.429
"AW",2005,74.287
"AW",2004,74.156
"AW",1962,66.444
"AW",1961,66.074
"AW",1973,70.191
"AW",2000,73.787
"AW",1999,73.738
"AW",1998,73.7
"AW",1997,73.671
"AW",1996,73.646
"AW",1995,73.622
"AW",1966,67.762
"AW",1965,67.435
"AW",1964,67.113
"AW",1963,66.787
"AW",1993,73.573
"AW",1992,73.544
"AW",1991,73.509
"AW",1972,69.851
"AW",1971,69.498
"AW",1970,69.14
"AW",1983,72.929
"AW",1982,72.751
"AW",1981,72.538
"AW",1980,72.293
"AW",1979,72.023
"AW",1978,71.736
"AW",1994,73.598
"AW",1989,73.425
"AW",1988,73.378
"AW",1987,73.325
"AW",1990,73.468
"AW",1985,73.181
"AW",1984,73.071
"AW",2001,73.853
"AW",1986,73.262
"AF",1983,43.963
"AF",1982,43.217
"AF",1981,42.513
"AF",1980,41.853
"AF",1967,35.361
"AF",1966,34.928
"AF",1984,44.747
"AF",1969,36.234
"AF",1968,35.796
"AF",2007,59.694
"AF",1979,41.234
"AF",1978,40.65
"AF",1977,40.092
"AF",1976,39.556
"AF",1975,39.039
"AF",1974,38.54
"AF",1973,38.056
"AF",1972,37.587
"AF",1971,37.128
"AF",1970,36.678
"AF",1996,53.533
"AF",1995,53.055
"AF",1994,52.539
"AF",2006,59.11
"AF",2005,58.5
"AF",2004,57.875
"AF",2003,57.25
"AF",2002,56.637
"AF",2001,56.044
"AF",2000,55.482
"AF",1999,54.959
"AF",1998,54.468
"AF",1997,53.997
"AF",2013,62.494
"AF",2008,60.243
"AF",2011,61.666
"AF",1993,51.968
"AF",1992,51.331
"AF",1965,34.495
"AF",1964,34.06
"AF",1963,33.624
"AF",1962,33.185
"AF",1961,32.742
"AF",1960,32.292
"AF",1986,46.417
"AF",1985,45.566
"AF",2009,60.754
"AF",2017,
"AF",2016,63.673
"AF",2010,61.226
"AF",1990,49.856
"AF",1989,49.028
"AF",2012,62.086
"AF",1991,50.627
"AF",2014,62.895
"AF",2015,63.288
"AF",1987,47.288
"AF",1988,48.164
"AO",1968,36.234
"AO",1967,35.828
"AO",1969,36.64
"AO",1997,44.385
"AO",2010,58.192
"AO",2009,57.231
"AO",1970,37.047
"AO",2007,55.096
"AO",2006,53.974
"AO",2005,52.833
"AO",2008,56.189
"AO",2003,50.508
"AO",2002,49.341
"AO",2014,60.858
"AO",2004,51.676
"AO",2015,61.241
"AO",1973,38.297
"AO",1972,37.878
"AO",1971,37.46
"AO",1974,38.712
"AO",1966,35.426
"AO",1965,35.031
"AO",1964,34.645
"AO",1963,34.272
"AO",1962,33.914
"AO",1961,33.573
"AO",1960,33.251
"AO",2000,47.113
"AO",1999,46.105
"AO",1998,45.192
"AO",1976,39.478
"AO",1975,39.11
"AO",1984,41.085
"AO",1996,43.695
"AO",1995,43.125
"AO",1994,42.677
"AO",1993,42.329
"AO",1992,42.06
"AO",1991,41.855
"AO",1990,41.696
"AO",1989,41.572
"AO",2013,60.373
"AO",2012,59.77
"AO",2011,59.042
"AO",2001,48.2
"AO",1985,41.193
"AO",1983,40.97
"AO",1982,40.848
"AO",1981,40.71
"AO",1980,40.546
"AO",1979,40.344
"AO",1978,40.099
"AO",1977,39.81
"AO",2017,
"AO",2016,61.547
"AO",1988,41.471
"AO",1987,41.382
"AO",1986,41.292
"AL",1974,68.341
"AL",1975,68.734
"AL",2013,77.702
"AL",1973,67.951
"AL",1972,67.58
"AL",2014,77.963
"AL",1980,70.207
"AL",1983,70.876
"AL",1982,70.635
"AL",1981,70.416
"AL",1990,71.836
"AL",1989,71.86
"AL",1961,63.298
"AL",1960,62.279
"AL",2015,78.174
"AL",1971,67.235
"AL",1970,66.933
"AL",1969,66.687
"AL",1968,66.485
"AL",1967,66.302
"AL",1966,66.108
"AL",1965,65.848
"AL",1964,65.461
"AL",1963,64.911
"AL",1962,64.187
"AL",2017,
"AL",2016,78.345
"AL",2011,77.031
"AL",2001,74.286
"AL",1998,73.208
"AL",1997,72.838
"AL",2000,73.955
"AL",1999,73.588
"AL",2007,75.656
"AL",1979,69.99
"AL",1978,69.741
"AL",1977,69.447
"AL",1976,69.108
"AL",2003,74.82
"AL",2002,74.575
"AL",1988,71.843
"AL",2010,76.652
"AL",2009,76.281
"AL",2012,77.389
"AL",2008,75.943
"AL",1995,72.205
"AL",1994,71.992
"AL",1993,71.86
"AL",1992,71.802
"AL",1991,71.803
"AL",2004,75.028
"AL",1986,71.605
"AL",1985,71.388
"AL",1984,71.134
"AL",1987,71.76
"AL",2006,75.418
"AL",1996,72.495
"AL",2005,75.217
"AD",1998,
"AD",1997,
"AD",2009,
"AD",1999,
"AD",2008,
"AD",2007,
"AD",2006,
"AD",1980,
"AD",1979,
"AD",1978,
"AD",1977,
"AD",2005,
"AD",1988,
"AD",1987,
"AD",1982,
"AD",1981,
"AD",1971,
"AD",1970,
"AD",1969,
"AD",1968,
"AD",1967,
"AD",1966,
"AD",1965,
"AD",1964,
"AD",1976,
"AD",1975,
"AD",1974,
"AD",1973,
"AD",1972,
"AD",1985,
"AD",1984,
"AD",1996,
"AD",1995,
"AD",1994,
"AD",1993,
"AD",1992,
"AD",1991,
"AD",1990,
"AD",1989,
"AD",2002,
"AD",2001,
"AD",2000,
"AD",1986,
"AD",2016,
"AD",1983,
"AD",2014,
"AD",2017,
"AD",2012,
"AD",2011,
"AD",2010,
"AD",2013,
"AD",1963,
"AD",1962,
"AD",1961,
"AD",1960,
"AD",2004,
"AD",2015,
"AD",2003,
"AE",1980,67.696
"AE",2017,
"AE",2016,77.256
"AE",1979,67.209
"AE",2013,76.798
"AE",2012,76.648
"AE",2015,77.101
"AE",2014,76.948
"AE",2009,76.183
"AE",2008,76.012
"AE",2007,75.828
"AE",2006,75.632
"AE",2005,75.422
"AE",2004,75.2
"AE",2003,74.968
"AE",2002,74.73
"AE",2001,74.487
"AE",2000,74.239
"AE",1999,73.987
"AE",2011,76.498
"AE",2010,76.344
"AE",1983,69.04
"AE",1982,68.611
"AE",1981,68.163
"AE",1969,60.945
"AE",1968,60.12
"AE",1967,59.248
"AE",1966,58.33
"AE",1978,66.701
"AE",1977,66.171
"AE",1976,65.617
"AE",1975,65.037
"AE",1974,64.433
"AE",1973,63.802
"AE",1972,63.143
"AE",1971,62.451
"AE",1970,61.721
"AE",1995,72.943
"AE",1994,72.674
"AE",1993,72.401
"AE",1992,72.122
"AE",1965,57.374
"AE",1964,56.385
"AE",1963,55.375
"AE",1962,54.349
"AE",1961,53.312
"AE",1960,52.265
"AE",1998,73.732
"AE",1997,73.473
"AE",1996,73.21
"AE",1991,71.837
"AE",1990,71.541
"AE",1989,71.234
"AE",1988,70.913
"AE",1987,70.575
"AE",1986,70.219
"AE",1985,69.845
"AE",1984,69.452
"AR",1985,70.623
"AR",2008,75.268
"AR",1984,70.438
"AR",1983,70.234
"AR",1982,70.003
"AR",1981,69.746
"AR",1980,69.464
"AR",1979,69.164
"AR",1978,68.856
"AR",1977,68.549
"AR",1989,71.352
"AR",1988,71.155
"AR",1987,70.971
"AR",1986,70.797
"AR",2016,76.577
"AR",2015,76.415
"AR",2014,76.252
"AR",2013,76.089
"AR",2012,75.926
"AR",2011,75.761
"AR",2010,75.595
"AR",1965,65.481
"AR",1964,65.388
"AR",1976,68.248
"AR",1975,67.95
"AR",1974,67.652
"AR",2017,
"AR",1972,67.044
"AR",1971,66.74
"AR",1970,66.449
"AR",1973,67.349
"AR",1968,65.953
"AR",1967,65.76
"AR",1966,65.603
"AR",1969,66.184
"AR",1991,71.79
"AR",1990,71.565
"AR",1993,72.256
"AR",1992,72.023
"AR",2005,74.775
"AR",2004,74.603
"AR",1960,65.022
"AR",2003,74.424
"AR",2002,74.236
"AR",2001,74.039
"AR",2007,75.105
"AR",2006,74.941
"AR",2009,75.431
"AR",1997,73.173
"AR",1996,72.947
"AR",1995,72.719
"AR",1963,65.311
"AR",1962,65.233
"AR",1961,65.141
"AR",2000,73.832
"AR",1999,73.618
"AR",1998,73.397
"AR",1994,72.489
"AM",2005,72.625
"AM",2004,72.512
"AM",1985,69.698
"AM",1984,70.15
"AM",1990,67.879
"AM",1998,70.434
"AM",1997,69.912
"AM",1982,70.776
"AM",1981,70.91
"AM",1980,70.938
"AM",1989,68.038
"AM",1988,68.332
"AM",1987,68.732
"AM",1986,69.205
"AM",2012,73.814
"AM",2011,73.571
"AM",1996,69.404
"AM",1995,68.938
"AM",1994,68.538
"AM",1993,68.218
"AM",1992,67.99
"AM",1991,67.87
"AM",2017,
"AM",2016,74.618
"AM",2015,74.445
"AM",2014,74.255
