"di_id","year","value"
"AW",2016,12.6061323004713
"AW",1975,5.85587813442801
"AW",2015,12.1371273037445
"AW",2014,11.7038392986175
"AW",1976,6.04265011718879
"AW",1967,3.39677891654466
"AW",1974,5.49167327517843
"AW",1969,3.77856486053877
"AW",1968,3.57448703456308
"AW",1977,6.24192426200179
"AW",2017,13.0851953184375
"AW",2003,8.16764072275993
"AW",2002,7.95540677109651
"AW",1960,2.48289092619579
"AW",2013,11.2950274743912
"AW",2012,10.9186269826569
"AW",2011,10.5837163042733
"AW",2010,10.2882884655106
"AW",2009,9.89127970587366
"AW",2008,9.54880467277732
"AW",2007,9.2294013040901
"AW",2006,8.91879562043796
"AW",2005,8.59133668562746
"AW",2004,8.38287572034799
"AW",1962,2.69097376611827
"AW",1961,2.58486958403983
"AW",1973,5.12092691267035
"AW",2000,7.58037709266618
"AW",1999,7.39059603393068
"AW",1998,7.22985437171305
"AW",1997,7.09061333395747
"AW",1996,6.98677884615385
"AW",1995,6.91200637418455
"AW",1966,3.23486095469116
"AW",1965,3.07880055788006
"AW",1964,2.92993407209987
"AW",1963,2.800952464944
"AW",1993,7.01616462539998
"AW",1992,7.17373781783542
"AW",1991,7.39221936801708
"AW",1972,4.73596256684492
"AW",1971,4.3606998654105
"AW",1970,4.00419890625265
"AW",1983,7.19441809617209
"AW",1982,7.10734371179395
"AW",1981,6.98565225287698
"AW",1980,6.85070553780618
"AW",1979,6.64721573857953
"AW",1978,6.44061028567626
"AW",1994,6.92959582790091
"AW",1989,7.60912308297287
"AW",1988,7.53286727025655
"AW",1987,7.45556579819837
"AW",1990,7.65579494440779
"AW",1985,7.31761495255926
"AW",1984,7.26971799605322
"AW",2001,7.75797110809705
"AW",1986,7.38139326990613
"AF",1983,2.39125488356093
"AF",1982,2.42585577872953
"AF",1981,2.43231284559452
"AF",1980,2.41456118752722
"AF",1967,2.709968445804
"AF",1966,2.71312076014858
"AF",1984,2.32254776351019
"AF",1969,2.66420303308475
"AF",1968,2.69382949217236
"AF",2007,2.23410093898619
"AF",1979,2.46645767412569
"AF",1978,2.50609356556039
"AF",1977,2.53150976105828
"AF",1976,2.54122587020754
"AF",1975,2.53484313223703
"AF",1974,2.56898061695368
"AF",1973,2.59654657343615
"AF",1972,2.61558240359531
"AF",1971,2.62425637106892
"AF",1970,2.62129045310752
"AF",1996,2.32556077905237
"AF",1995,2.32948358087507
"AF",1994,2.29119172849043
"AF",2006,2.21422019854442
"AF",2005,2.18961119626108
"AF",2004,2.192472575228
"AF",2003,2.20008358172355
"AF",2002,2.21176843977115
"AF",2001,2.22779588526687
"AF",2000,2.24839995071106
"AF",1999,2.27224985616128
"AF",1998,2.29355928188927
"AF",1997,2.31213215603316
"AF",2013,2.42028410212529
"AF",2008,2.25280758272752
"AF",2011,2.33738723256523
"AF",1993,2.26390698066969
"AF",1992,2.24293554694862
"AF",1965,2.70416386357018
"AF",1964,2.75083824348927
"AF",1963,2.78386071508212
"AF",1962,2.8027145258204
"AF",1961,2.80754473443409
"AF",1960,2.79850130347293
"AF",1986,2.24485888809461
"AF",1985,2.21148174708586
"AF",2009,2.27504809881015
"AF",2017,2.58052606184602
"AF",2016,2.54155755627188
"AF",2010,2.30328491307918
"AF",1990,2.21183344362703
"AF",1989,2.26110410016159
"AF",2012,2.37771768785689
"AF",1991,2.2255397383508
"AF",2014,2.45951067860634
"AF",2015,2.49313992141566
"AF",1987,2.26890743883143
"AF",1988,2.27732042802945
"AO",1968,2.58343653253147
"AO",1967,2.57739873530689
"AO",1969,2.57894762196671
"AO",1997,2.4815393431803
"AO",2010,2.32345824070223
"AO",2009,2.34323110792425
"AO",1970,2.56214932424844
"AO",2007,2.36730836115425
"AO",2006,2.37415125425178
"AO",2005,2.38010996217269
"AO",2008,2.35787994349114
"AO",2003,2.41208097248372
"AO",2002,2.42218461200699
"AO",2014,2.28338172154969
"AO",2004,2.3978628746452
"AO",2015,2.30631381507902
"AO",1973,2.59861279809177
"AO",1972,2.59539546661698
"AO",1971,2.58347120632965
"AO",1974,2.59458429629487
"AO",1966,2.56419806110207
"AO",1965,2.54492004979931
"AO",1964,2.56523495151495
"AO",1963,2.57970305415158
"AO",1962,2.58526121702451
"AO",1961,2.57438522766462
"AO",1960,2.54243084841141
"AO",2000,2.42969920668692
"AO",1999,2.4524435029329
"AO",1998,2.4695958893516
"AO",1976,2.59927955927587
"AO",1975,2.58437413236014
"AO",1984,2.60698288980173
"AO",1996,2.48812786893374
"AO",1995,2.4886477631149
"AO",1994,2.50858643995965
"AO",1993,2.52476660608156
