"di_id","year","value"
"AW",2016,56.808
"AW",1975,49.452
"AW",2015,56.892
"AW",2014,56.959
"AW",1976,49.468
"AW",1967,49.33
"AW",1974,49.437
"AW",1969,49.361
"AW",1968,49.346
"AW",1977,49.483
"AW",2017,56.707
"AW",2003,54.394
"AW",2002,54.028
"AW",1960,49.224
"AW",2013,57.01
"AW",2012,57.043
"AW",2011,57.06
"AW",2010,56.941
"AW",2009,56.579
"AW",2008,56.217
"AW",2007,55.853
"AW",2006,55.489
"AW",2005,55.125
"AW",2004,54.76
"AW",1962,49.254
"AW",1961,49.239
"AW",1973,49.422
"AW",2000,53.283
"AW",1999,52.873
"AW",1998,52.464
"AW",1997,52.054
"AW",1996,51.644
"AW",1995,51.233
"AW",1966,49.315
"AW",1965,49.3
"AW",1964,49.285
"AW",1963,49.27
"AW",1993,50.412
"AW",1992,50.002
"AW",1991,49.696
"AW",1972,49.407
"AW",1971,49.391
"AW",1970,49.376
"AW",1983,49.574
"AW",1982,49.559
"AW",1981,49.544
"AW",1980,49.528
"AW",1979,49.513
"AW",1978,49.498
"AW",1994,50.823
"AW",1989,49.665
"AW",1988,49.65
"AW",1987,49.635
"AW",1990,49.681
"AW",1985,49.605
"AW",1984,49.589
"AW",2001,53.661
"AW",1986,49.62
"AF",1983,82.253
"AF",1982,82.853
"AF",1981,83.438
"AF",1980,84.005
"AF",1967,89.43
"AF",1966,89.767
"AF",1984,81.635
"AF",1969,88.725
"AF",1968,89.082
"AF",2007,76.887
"AF",1979,84.558
"AF",1978,85.027
"AF",1977,85.483
"AF",1976,85.926
"AF",1975,86.359
"AF",1974,86.781
"AF",1973,87.191
"AF",1972,87.59
"AF",1971,87.979
"AF",1970,88.357
"AF",1996,78.286
"AF",1995,78.376
"AF",1994,78.466
"AF",2006,77.093
"AF",2005,77.297
"AF",2004,77.5
"AF",2003,77.647
"AF",2002,77.739
"AF",2001,77.831
"AF",2000,77.922
"AF",1999,78.014
"AF",1998,78.105
"AF",1997,78.195
"AF",2013,75.627
"AF",2008,76.68
"AF",2011,76.052
"AF",1993,78.556
"AF",1992,78.645
"AF",1965,90.096
"AF",1964,90.414
"AF",1963,90.724
"AF",1962,91.024
"AF",1961,91.316
"AF",1960,91.599
"AF",1986,80.353
"AF",1985,81.003
"AF",2009,76.472
"AF",2017,74.75
"AF",2016,74.98
"AF",2010,76.263
"AF",1990,78.823
"AF",1989,78.912
"AF",2012,75.84
"AF",1991,78.734
"AF",2014,75.413
"AF",2015,75.197
"AF",1987,79.686
"AF",1988,79.002
"AO",1968,86.068
"AO",1967,86.559
"AO",1969,85.564
"AO",1997,53.475
"AO",2010,40.217
"AO",2009,40.966
"AO",1970,85.043
"AO",2007,42.476
"AO",2006,43.236
"AO",2005,44
"AO",2008,41.718
"AO",2003,46.355
"AO",2002,47.539
"AO",2014,37.269
"AO",2004,45.173
"AO",2015,36.554
"AO",1973,82.69
"AO",1972,83.545
"AO",1971,84.368
"AO",1974,81.798
"AO",1966,87.035
"AO",1965,87.496
"AO",1964,87.942
"AO",1963,88.376
"AO",1962,88.796
"AO",1961,89.202
"AO",1960,89.565
"AO",2000,49.913
"AO",1999,51.103
"AO",1998,52.29
"AO",1976,79.908
"AO",1975,80.872
"AO",1984,70.935
"AO",1996,54.654
"AO",1995,55.831
"AO",1994,57
"AO",1993,58.489
"AO",1992,59.961
"AO",1991,61.42
"AO",1990,62.856
"AO",1989,64.269
"AO",2013,37.998
"AO",2012,38.732
"AO",2011,39.472
"AO",2001,48.726
"AO",1985,69.662
"AO",1983,72.179
"AO",1982,73.388
"AO",1981,74.563
"AO",1980,75.702
"AO",1979,76.808
"AO",1978,77.878
"AO",1977,78.912
"AO",2017,35.161
"AO",2016,35.851
"AO",1988,65.657
"AO",1987,67.022
"AO",1986,68.357
"AL",1974,67.484
"AL",1975,67.288
"AL",2013,44.613
"AL",1973,67.679
"AL",1972,67.873
"AL",2014,43.577
"AL",1980,66.238
"AL",1983,65.448
"AL",1982,65.713
"AL",1981,65.976
"AL",1990,63.572
"AL",1989,63.842
"AL",1961,69.057
"AL",1960,69.295
"AL",2015,42.566
"AL",1971,68.067
"AL",1970,68.26
"AL",1969,68.452
"AL",1968,68.554
"AL",1967,68.626
"AL",1966,68.698
"AL",1965,68.77
"AL",1964,68.842
"AL",1963,68.914
"AL",1962,68.985
"AL",2017,40.617
"AL",2016,41.579
"AL",2011,46.753
"AL",2001,57.565
"AL",1998,59.399
"AL",1997,59.965
"AL",2000,58.259
"AL",1999,58.831
"AL",2007,51.098
"AL",1979,66.5
"AL",1978,66.698
"AL",1977,66.895
"AL",1976,67.092
"AL",2003,55.427
"AL",2002,56.499
"AL",1988,64.112
"AL",2010,47.837
"AL",2009,48.924
"AL",2012,45.67
"AL",2008,50.009
"AL",1995,61.089
"AL",1994,61.646
"AL",1993,62.201
"AL",1992,62.751
"AL",1991,63.3
"AL",2004,54.349
"AL",1986,64.65
"AL",1985,64.917
"AL",1984,65.183
"AL",1987,64.381
"AL",2006,52.185
"AL",1996,60.527
"AL",2005,53.269
"AD",1998,7.07299999999999
"AD",1997,6.81999999999999
"AD",2009,11.088
"AD",1999,7.334
"AD",2008,10.996
"AD",2007,10.692
"AD",2006,10.193
"AD",1980,7.93600000000001
"AD",1979,8.743
"AD",1978,9.622
"AD",1977,10.58
"AD",2005,9.715
"AD",1988,4.973
"AD",1987,4.822
"AD",1982,6.526
"AD",1981,7.2
"AD",1971,18.22
"AD",1970,19.845
"AD",1969,21.576
"AD",1968,23.412
"AD",1967,25.359
"AD",1966,27.407
"AD",1965,29.555
"AD",1964,31.795
"AD",1976,11.618
"AD",1975,12.748
"AD",1974,13.968
"AD",1973,15.284
"AD",1972,16.699
"AD",1985,4.84099999999999
"AD",1984,5.351
"AD",1996,6.575
"AD",1995,6.339
"AD",1994,6.11
"AD",1993,5.889
"AD",1992,5.676
"AD",1991,5.47
"AD",1990,5.288
"AD",1989,5.128
"AD",2002,8.35899999999999
"AD",2001,7.944
"AD",2000,7.605
"AD",1986,4.675
"AD",2016,11.752
"AD",1983,5.911
"AD",2014,11.559
"AD",2017,11.85
"AD",2012,11.369
"AD",2011,11.274
"AD",2010,11.181
"AD",2013,11.463
"AD",1963,34.128
"AD",1962,36.538
"AD",1961,39.017
"AD",1960,41.55
"AD",2004,9.249
"AD",2015,11.655
"AD",2003,8.79300000000001
"AE",1980,19.29
"AE",2017,13.752
"AE",2016,14.035
"AE",1979,19.49
"AE",2013,14.934
"AE",2012,15.251
"AE",2015,14.326
"AE",2014,14.625
"AE",2009,16.258
"AE",2008,16.613
"AE",2007,16.977
"AE",2006,17.352
"AE",2005,17.738
"AE",2004,18.129
"AE",2003,18.528
"AE",2002,18.933
"AE",2001,19.345
"AE",2000,19.764
"AE",1999,20.19
"AE",2011,15.577
"AE",2010,15.913
"AE",1983,19.753
"AE",1982,19.534
"AE",1981,19.317
"AE",1969,20.2
"AE",1968,20.2
"AE",1967,20.728
"AE",1966,21.492
"AE",1978,19.691
"AE",1977,19.894
"AE",1976,20.097
"AE",1975,20.2
"AE",1974,20.2
"AE",1973,20.2
"AE",1972,20.2
"AE",1971,20.2
"AE",1970,20.2
"AE",1995,21.681
"AE",1994,21.533
"AE",1993,21.386
"AE",1992,21.24
"AE",1965,22.277
"AE",1964,23.081
"AE",1963,23.907
"AE",1962,24.752
"AE",1961,25.617
"AE",1960,26.5
"AE",1998,20.622
"AE",1997,21.062
"AE",1996,21.507
"AE",1991,21.094
"AE",1990,20.949
"AE",1989,20.804
"AE",1988,20.661
"AE",1987,20.518
"AE",1986,20.376
"AE",1985,20.196
"AE",1984,19.974
"AR",1985,14.962
"AR",2008,9.47
"AR",1984,15.379
"AR",1983,15.806
"AR",1982,16.241
"AR",1981,16.687
"AR",1980,17.113
"AR",1979,17.484
"AR",1978,17.861
"AR",1977,18.245
"AR",1989,13.387
"AR",1988,13.767
"AR",1987,14.157
"AR",1986,14.555
"AR",2016,8.373
"AR",2015,8.497
"AR",2014,8.623
"AR",2013,8.751
"AR",2012,8.879
"AR",2011,9.01000000000001
"AR",2010,9.151
"AR",1965,23.631
"AR",1964,24.156
"AR",1976,18.634
"AR",1975,19.031
"AR",1974,19.433
"AR",2017,8.251
"AR",1972,20.257
"AR",1971,20.679
"AR",1970,21.12
"AR",1973,19.842
"AR",1968,22.099
"AR",1967,22.602
"AR",1966,23.112
"AR",1969,21.606
"AR",1991,12.672
"AR",1990,13.016
"AR",1993,12.248
"AR",1992,12.458
"AR",2005,9.96899999999999
"AR",2004,10.14
"AR",1960,26.389
"AR",2003,10.314
"AR",2002,10.49
"AR",2001,10.671
"AR",2007,9.634
"AR",2006,9.8
"AR",2009,9.309
"AR",1997,11.436
"AR",1996,11.634
"AR",1995,11.836
"AR",1963,24.691
"AR",1962,25.233
"AR",1961,25.783
"AR",2000,10.858
"AR",1999,11.048
"AR",1998,11.241
"AR",1994,12.04
"AM",2005,36.062
"AM",2004,35.962
"AM",1985,32.91
"AM",1984,33.117
"AM",1990,32.579
"AM",1998,34.774
"AM",1997,34.496
"AM",1982,33.533
"AM",1981,33.741
"AM",1980,33.95
"AM",1989,32.31
"AM",1988,32.294
"AM",1987,32.499
"AM",1986,32.704
"AM",2012,36.76
"AM",2011,36.66
"AM",1996,34.219
"AM",1995,33.943
"AM",1994,33.668
"AM",1993,33.394
"AM",1992,33.122
"AM",1991,32.85
"AM",2017,36.897
"AM",2016,36.918
"AM",2015,36.915
"AM",2014,36.888
"AM",2013,36.836
"AM",2003,35.863
"AM",2002,35.764
"AM",2001,35.615
"AM",2000,35.334
"AM",1999,35.053
"AM",1971,39.343
"AM",1983,33.325
"AM",1970,40.136
"AM",2008,36.36
"AM",2007,36.261
"AM",2006,36.161
"AM",1979,34.161
"AM",1978,34.581
"AM",1977,35.179
"AM",1976,35.781
"AM",1975,36.389
"AM",1974,37
"AM",1969,40.958
"AM",1968,41.805
"AM",1967,42.659
"AM",2009,36.46
"AM",1965,44.378
"AM",1964,45.242
"AM",1963,46.111
"AM",1966,43.517
