"di_id","year","value"
"AW",2016,43.192
"AW",1975,50.548
"AW",2015,43.108
"AW",2014,43.041
"AW",1976,50.532
"AW",1967,50.67
"AW",1974,50.563
"AW",1969,50.639
"AW",1968,50.654
"AW",1977,50.517
"AW",2017,43.293
"AW",2003,45.606
"AW",2002,45.972
"AW",1960,50.776
"AW",2013,42.99
"AW",2012,42.957
"AW",2011,42.94
"AW",2010,43.059
"AW",2009,43.421
"AW",2008,43.783
"AW",2007,44.147
"AW",2006,44.511
"AW",2005,44.875
"AW",2004,45.24
"AW",1962,50.746
"AW",1961,50.761
"AW",1973,50.578
"AW",2000,46.717
"AW",1999,47.127
"AW",1998,47.536
"AW",1997,47.946
"AW",1996,48.356
"AW",1995,48.767
"AW",1966,50.685
"AW",1965,50.7
"AW",1964,50.715
"AW",1963,50.73
"AW",1993,49.588
"AW",1992,49.998
"AW",1991,50.304
"AW",1972,50.593
"AW",1971,50.609
"AW",1970,50.624
"AW",1983,50.426
"AW",1982,50.441
"AW",1981,50.456
"AW",1980,50.472
"AW",1979,50.487
"AW",1978,50.502
"AW",1994,49.177
"AW",1989,50.335
"AW",1988,50.35
"AW",1987,50.365
"AW",1990,50.319
"AW",1985,50.395
"AW",1984,50.411
"AW",2001,46.339
"AW",1986,50.38
"AF",1983,17.747
"AF",1982,17.147
"AF",1981,16.562
"AF",1980,15.995
"AF",1967,10.57
"AF",1966,10.233
"AF",1984,18.365
"AF",1969,11.275
"AF",1968,10.918
"AF",2007,23.113
"AF",1979,15.442
"AF",1978,14.973
"AF",1977,14.517
"AF",1976,14.074
"AF",1975,13.641
"AF",1974,13.219
"AF",1973,12.809
"AF",1972,12.41
"AF",1971,12.021
"AF",1970,11.643
"AF",1996,21.714
"AF",1995,21.624
"AF",1994,21.534
"AF",2006,22.907
"AF",2005,22.703
"AF",2004,22.5
"AF",2003,22.353
"AF",2002,22.261
"AF",2001,22.169
"AF",2000,22.078
"AF",1999,21.986
"AF",1998,21.895
"AF",1997,21.805
"AF",2013,24.373
"AF",2008,23.32
"AF",2011,23.948
"AF",1993,21.444
"AF",1992,21.355
"AF",1965,9.904
"AF",1964,9.586
"AF",1963,9.276
"AF",1962,8.976
"AF",1961,8.684
"AF",1960,8.401
"AF",1986,19.647
"AF",1985,18.997
"AF",2009,23.528
"AF",2017,25.25
"AF",2016,25.02
"AF",2010,23.737
"AF",1990,21.177
"AF",1989,21.088
"AF",2012,24.16
"AF",1991,21.266
"AF",2014,24.587
"AF",2015,24.803
"AF",1987,20.314
"AF",1988,20.998
"AO",1968,13.932
"AO",1967,13.441
"AO",1969,14.436
"AO",1997,46.525
"AO",2010,59.783
"AO",2009,59.034
"AO",1970,14.957
"AO",2007,57.524
"AO",2006,56.764
"AO",2005,56
"AO",2008,58.282
"AO",2003,53.645
"AO",2002,52.461
"AO",2014,62.731
"AO",2004,54.827
"AO",2015,63.446
"AO",1973,17.31
"AO",1972,16.455
"AO",1971,15.632
"AO",1974,18.202
"AO",1966,12.965
"AO",1965,12.504
"AO",1964,12.058
"AO",1963,11.624
"AO",1962,11.204
"AO",1961,10.798
"AO",1960,10.435
"AO",2000,50.087
"AO",1999,48.897
"AO",1998,47.71
"AO",1976,20.092
"AO",1975,19.128
"AO",1984,29.065
"AO",1996,45.346
"AO",1995,44.169
"AO",1994,43
"AO",1993,41.511
"AO",1992,40.039
"AO",1991,38.58
"AO",1990,37.144
"AO",1989,35.731
"AO",2013,62.002
"AO",2012,61.268
"AO",2011,60.528
"AO",2001,51.274
"AO",1985,30.338
"AO",1983,27.821
"AO",1982,26.612
"AO",1981,25.437
"AO",1980,24.298
"AO",1979,23.192
"AO",1978,22.122
"AO",1977,21.088
"AO",2017,64.839
"AO",2016,64.149
"AO",1988,34.343
"AO",1987,32.978
"AO",1986,31.643
"AL",1974,32.516
"AL",1975,32.712
"AL",2013,55.387
"AL",1973,32.321
"AL",1972,32.127
"AL",2014,56.423
"AL",1980,33.762
"AL",1983,34.552
"AL",1982,34.287
"AL",1981,34.024
"AL",1990,36.428
"AL",1989,36.158
"AL",1961,30.943
"AL",1960,30.705
"AL",2015,57.434
"AL",1971,31.933
"AL",1970,31.74
"AL",1969,31.548
"AL",1968,31.446
"AL",1967,31.374
"AL",1966,31.302
"AL",1965,31.23
"AL",1964,31.158
"AL",1963,31.086
"AL",1962,31.015
"AL",2017,59.383
"AL",2016,58.421
"AL",2011,53.247
"AL",2001,42.435
"AL",1998,40.601
"AL",1997,40.035
"AL",2000,41.741
"AL",1999,41.169
"AL",2007,48.902
"AL",1979,33.5
"AL",1978,33.302
"AL",1977,33.105
"AL",1976,32.908
"AL",2003,44.573
"AL",2002,43.501
"AL",1988,35.888
"AL",2010,52.163
"AL",2009,51.076
"AL",2012,54.33
"AL",2008,49.991
"AL",1995,38.911
"AL",1994,38.354
"AL",1993,37.799
"AL",1992,37.249
"AL",1991,36.7
"AL",2004,45.651
"AL",1986,35.35
"AL",1985,35.083
"AL",1984,34.817
"AL",1987,35.619
