"di_id","year","value"
"AW",2016,
"AW",1975,
"AW",2015,
"AW",2014,99.2347106933594
"AW",1976,
"AW",1967,
"AW",1974,
"AW",1969,
"AW",1968,
"AW",1977,
"AW",2017,
"AW",2003,93.9307022094727
"AW",2002,95.3181381225586
"AW",1960,
"AW",2013,
"AW",2012,
"AW",2011,
"AW",2010,98.9197463989258
"AW",2009,95.8915100097656
"AW",2008,99.0583190917969
"AW",2007,98.861442565918
"AW",2006,98.6383972167969
"AW",2005,97.805061340332
"AW",2004,94.6348876953125
"AW",1962,
"AW",1961,
"AW",1973,
"AW",2000,98.0863494873047
"AW",1999,97.8287734985352
"AW",1998,
"AW",1997,
"AW",1996,
"AW",1995,
"AW",1966,
"AW",1965,
"AW",1964,
"AW",1963,
"AW",1993,
"AW",1992,
"AW",1991,
"AW",1972,
"AW",1971,
"AW",1970,
"AW",1983,
"AW",1982,
"AW",1981,
"AW",1980,
"AW",1979,
"AW",1978,
"AW",1994,
"AW",1989,
"AW",1988,
"AW",1987,
"AW",1990,
"AW",1985,
"AW",1984,
"AW",2001,94.5392913818359
"AW",1986,
"AF",1983,
"AF",1982,
"AF",1981,
"AF",1980,
"AF",1967,
"AF",1966,
"AF",1984,
"AF",1969,
"AF",1968,
"AF",2007,
"AF",1979,
"AF",1978,
"AF",1977,
"AF",1976,
"AF",1975,
"AF",1974,27.0934104919434
"AF",1973,
"AF",1972,
"AF",1971,
"AF",1970,
"AF",1996,
"AF",1995,
"AF",1994,
"AF",2006,
"AF",2005,
"AF",2004,
"AF",2003,
"AF",2002,
"AF",2001,
"AF",2000,
"AF",1999,
"AF",1998,
"AF",1997,
"AF",2013,
"AF",2008,
"AF",2011,
"AF",1993,28.1712093353271
"AF",1992,
"AF",1965,
"AF",1964,
"AF",1963,
"AF",1962,
"AF",1961,
"AF",1960,
"AF",1986,
"AF",1985,
"AF",2009,
"AF",2017,
"AF",2016,
"AF",2010,
"AF",1990,
"AF",1989,
"AF",2012,
"AF",1991,
"AF",2014,
"AF",2015,
"AF",1987,
"AF",1988,
"AO",1968,
"AO",1967,
"AO",1969,
"AO",1997,
"AO",2010,75.2818374633789
"AO",2009,74.148811340332
"AO",1970,
"AO",2007,
"AO",2006,
"AO",2005,
"AO",2008,74.8936614990234
"AO",2003,
"AO",2002,
"AO",2014,
"AO",2004,
"AO",2015,
"AO",1973,
"AO",1972,
"AO",1971,
"AO",1974,
"AO",1966,
"AO",1965,
"AO",1964,
"AO",1963,
"AO",1962,
"AO",1961,
"AO",1960,
"AO",2000,
"AO",1999,
"AO",1998,45.0485382080078
"AO",1976,
"AO",1975,
"AO",1984,
"AO",1996,
"AO",1995,
"AO",1994,
"AO",1993,
"AO",1992,
"AO",1991,
"AO",1990,
"AO",1989,
"AO",2013,
"AO",2012,
"AO",2011,77.4505767822266
"AO",2001,
"AO",1985,
"AO",1983,40.1814002990723
"AO",1982,43.3098297119141
"AO",1981,
"AO",1980,
"AO",1979,
"AO",1978,
"AO",1977,
"AO",2017,
"AO",2016,
"AO",1988,
"AO",1987,
"AO",1986,
"AL",1974,
"AL",1975,
"AL",2013,94.0052185058594
"AL",1973,
"AL",1972,
"AL",2014,95.7547225952148
"AL",1980,
"AL",1983,
"AL",1982,
"AL",1981,
"AL",1990,
"AL",1989,
"AL",1961,
"AL",1960,
"AL",2015,95.1996002197266
"AL",1971,
"AL",1970,
"AL",1969,
"AL",1968,
"AL",1967,
"AL",1966,
"AL",1965,
"AL",1964,
"AL",1963,
"AL",1962,
"AL",2017,
"AL",2016,95.0630874633789
"AL",2011,87.1867904663086
"AL",2001,94.3269882202148
"AL",1998,
"AL",1997,
"AL",2000,95.859748840332
"AL",1999,97.2820281982422
"AL",2007,
"AL",1979,
"AL",1978,
"AL",1977,
"AL",1976,
"AL",2003,92.1188278198242
"AL",2002,
"AL",1988,
"AL",2010,86.273307800293
"AL",2009,85.709587097168
"AL",2012,90.4651031494141
"AL",2008,87.1511611938477
"AL",1995,
"AL",1994,
"AL",1993,
"AL",1992,
"AL",1991,
"AL",2004,91.3178787231445
"AL",1986,
"AL",1985,
"AL",1984,
"AL",1987,
"AL",2006,
"AL",1996,
"AL",2005,
"AD",1998,
"AD",1997,
"AD",2009,
"AD",1999,
"AD",2008,
"AD",2007,
"AD",2006,
"AD",1980,
"AD",1979,
"AD",1978,
"AD",1977,
"AD",2005,
"AD",1988,
"AD",1987,
"AD",1982,
"AD",1981,
"AD",1971,
"AD",1970,
"AD",1969,
"AD",1968,
"AD",1967,
"AD",1966,
"AD",1965,
"AD",1964,
"AD",1976,
"AD",1975,
"AD",1974,
"AD",1973,
"AD",1972,
"AD",1985,
"AD",1984,
"AD",1996,
"AD",1995,
"AD",1994,
"AD",1993,
"AD",1992,
"AD",1991,
"AD",1990,
"AD",1989,
"AD",2002,
"AD",2001,
"AD",2000,
"AD",1986,
"AD",2016,
"AD",1983,
"AD",2014,
"AD",2017,
"AD",2012,
"AD",2011,
"AD",2010,
"AD",2013,
"AD",1963,
"AD",1962,
"AD",1961,
"AD",1960,
"AD",2004,
"AD",2015,
"AD",2003,
"AE",1980,74.8839492797852
"AE",2017,
"AE",2016,94.5949020385742
"AE",1979,
"AE",2013,87.0274887084961
"AE",2012,87.8411712646484
"AE",2015,93.3894271850586
"AE",2014,89.8569869995117
"AE",2009,81.1394424438477
"AE",2008,
"AE",2007,86.6215286254883
"AE",2006,
"AE",2005,
"AE",2004,
"AE",2003,
"AE",2002,
"AE",2001,
"AE",2000,
"AE",1999,
"AE",2011,84.7468719482422
"AE",2010,83.8933868408203
"AE",1983,72.3385467529297
"AE",1982,76.8351364135742
"AE",1981,71.9458618164063
"AE",1969,
"AE",1968,
"AE",1967,
"AE",1966,
"AE",1978,78.5034866333008
"AE",1977,
"AE",1976,
"AE",1975,
"AE",1974,
"AE",1973,
"AE",1972,
"AE",1971,
"AE",1970,
"AE",1995,87.8594818115234
"AE",1994,87.3583984375
"AE",1993,89.3213806152344
"AE",1992,92.8031311035156
"AE",1965,
"AE",1964,
"AE",1963,
"AE",1962,
"AE",1961,
"AE",1960,
"AE",1998,78.6879272460938
"AE",1997,81.5934600830078
"AE",1996,85.0928802490234
"AE",1991,96.1681671142578
"AE",1990,95.5618515014648
"AE",1989,91.6360015869141
