"","district_id","value"
"1","d18974",70
"2","d18975",55
"3","d18987",115
"4","d18988",149
"5","d18976",42
"6","d18955",49
"7","d18965",129
"8","d18968",170
"9","d18956",60
"10","d18991",53
"11","d18989",113
"12","d18977",69
"13","d18943",58
"14","d18949",72
"15","d18944",72
"16","d18969",101
"17","d18970",182
"18","d18957",57
"19","d18950",77
"20","d18978",53
"21","d18951",106
"22","d18958",56
"23","d18959",61
"24","d18966",155
"25","d18960",51
"26","d18961",48
"27","d18971",173
"28","d18952",115
"29","d18946",50
"30","d18964",56
"31","d18979",80
"32","d18980",49
"33","d18981",58
"34","d18962",59
"35","d18972",75
"36","d18947",60
"37","d18948",50
"38","d18982",60
"39","d18973",227
"40","d18953",78
"41","d18954",112
"42","d18983",63
"43","d18984",121
"44","d18985",61
"45","d18990",94
"46","d18967",158
"47","d18986",104
