"district_id","value","year"
"d18974",20.4,2016
"d18975",25.5,2016
"d18987",6.5,2016
"d18988",6.1,2016
"d18976",20.8,2016
"d18955",32.7,2016
"d18965",2.7,2016
"d18968",11.3,2016
"d18956",7.7,2016
"d18991",28.4,2016
"d18989",14.8,2016
"d18977",23.9,2016
"d18943",25.6,2016
"d18949",17.8,2016
"d18944",29.1,2016
"d18969",22.1,2016
"d18970",27.1,2016
"d18957",8.6,2016
"d18950",9.2,2016
"d18978",21.5,2016
"d18951",7.9,2016
"d18958",18.5,2016
"d18959",13.5,2016
"d18966",1.3,2016
"d18960",1.7,2016
"d18961",17.4,2016
"d18971",13.7,2016
"d18952",18.1,2016
"d18946",23.1,2016
"d18964",40.7,2016
"d18979",22.8,2016
"d18980",18.6,2016
"d18981",9.2,2016
"d18962",15.7,2016
"d18972",20.1,2016
"d18947",18,2016
"d18948",32.2,2016
"d18982",6.4,2016
"d18973",7.6,2016
"d18953",23.4,2016
"d18954",3.1,2016
"d18983",10.9,2016
"d18984",5,2016
"d18985",25.2,2016
"d18990",14.3,2016
"d18967",0.2,2016
"d18986",2.9,2016
