"district_id","value","year"
"d18974",375,2016
"d18975",247,2016
"d18987",259,2016
"d18988",307,2016
"d18976",187,2016
"d18955",388,2016
"d18965",646,2016
"d18968",673,2016
"d18956",790,2016
"d18991",299,2016
"d18989",316,2016
"d18977",243,2016
"d18943",230,2016
"d18949",290,2016
"d18944",298,2016
"d18969",302,2016
"d18970",597,2016
"d18957",330,2016
"d18950",346,2016
"d18978",221,2016
"d18951",676,2016
"d18958",425,2016
"d18959",400,2016
"d18966",3795,2016
"d18960",1127,2016
"d18961",262,2016
"d18971",583,2016
"d18952",223,2016
"d18946",329,2016
"d18964",212,2016
"d18979",374,2016
"d18980",408,2016
"d18981",191,2016
"d18962",191,2016
"d18972",385,2016
"d18947",364,2016
"d18948",318,2016
"d18982",472,2016
"d18973",691,2016
"d18953",603,2016
"d18954",395,2016
"d18983",333,2016
"d18984",1594,2016
"d18985",234,2016
"d18990",531,2016
"d18967",1683,2016
"d18986",434,2016
