"district_id","value","year"
"d18974",67.1,2016
"d18975",20.5,2016
"d18987",35.2,2016
"d18988",70.6,2016
"d18976",66.8,2016
"d18955",53.8,2016
"d18965",63.1,2016
"d18968",74,2016
"d18956",78.4,2016
"d18991",78.2,2016
"d18989",52.4,2016
"d18977",72.8,2016
"d18943",71.3,2016
"d18949",47.2,2016
"d18944",29.9,2016
"d18969",63.6,2016
"d18970",59.5,2016
"d18957",62.3,2016
"d18950",51.8,2016
"d18978",44.8,2016
"d18951",53.1,2016
"d18958",51.8,2016
"d18959",53.2,2016
"d18966",42.4,2016
"d18960",70.6,2016
"d18961",37.6,2016
"d18971",83.8,2016
"d18952",32.7,2016
"d18946",56.9,2016
"d18964",33.7,2016
"d18979",30.7,2016
"d18980",48.5,2016
"d18981",56,2016
"d18962",76.9,2016
"d18972",79.9,2016
"d18947",49.1,2016
"d18948",62.7,2016
"d18982",71.9,2016
"d18973",32.9,2016
"d18953",68.6,2016
"d18954",77.6,2016
"d18983",65.7,2016
"d18984",72.2,2016
"d18985",30,2016
"d18990",92.8,2016
"d18967",38.1,2016
"d18986",54.8,2016
