"district_id","value","year"
"d18974",60.3,2016
"d18975",65.8,2016
"d18987",56.3,2016
"d18988",58.9,2016
"d18976",83.8,2016
"d18955",76.9,2016
"d18965",52.6,2016
"d18968",65.9,2016
"d18956",50.8,2016
"d18991",74.5,2016
"d18989",74.7,2016
"d18977",70.7,2016
"d18943",86.6,2016
"d18949",56.6,2016
"d18944",94.4,2016
"d18969",93,2016
"d18970",87.5,2016
"d18957",68.1,2016
"d18950",69.3,2016
"d18978",62.2,2016
"d18951",56.4,2016
"d18958",76.8,2016
"d18959",64.8,2016
"d18966",26.2,2016
"d18960",31,2016
"d18961",86.3,2016
"d18971",74.3,2016
"d18952",90.9,2016
"d18946",91.2,2016
"d18964",95,2016
"d18979",69.4,2016
"d18980",61.1,2016
"d18981",61.7,2016
"d18962",73.7,2016
"d18972",83.8,2016
"d18947",87,2016
"d18948",92.7,2016
"d18982",30.7,2016
"d18973",81.4,2016
"d18953",79.3,2016
"d18954",46.3,2016
"d18983",49.8,2016
"d18984",30.5,2016
"d18985",75.2,2016
"d18990",71,2016
"d18967",24,2016
"d18986",33.3,2016
