"district_id","year","budget_type","percentage_of_revenue"
"d18943",2015,"actual",36.4727369382915
"d18943",2016,"actual",35.8635921613156
"d18943",2017,"actual",37.2203112036457
"d18943",2018,"actual",35.232054765338
"d18944",2015,"actual",6.35838150289017
"d18944",2016,"actual",31.1052879448382
"d18944",2017,"actual",32.8034154623614
"d18944",2018,"actual",24.7172010526976
"d18946",2015,"actual",17.1953132207768
"d18946",2016,"actual",36.6413034310653
"d18946",2017,"actual",22.8563788605702
"d18946",2018,"actual",44.2508572915826
"d18947",2015,"actual",24.6686400764951
"d18947",2016,"actual",23.3364650472014
"d18947",2017,"actual",22.8024468972521
"d18947",2018,"actual",9.16428110924569
"d18948",2015,"actual",43.7599983884202
"d18948",2016,"actual",40.9318390075421
"d18948",2017,"actual",39.6578018332422
"d18948",2018,"actual",44.1707901813598
"d18949",2015,"actual",25.5618287467547
"d18949",2016,"actual",26.715832128992
"d18949",2017,"actual",24.5156963574003
"d18949",2018,"actual",30.1099994437582
"d18950",2015,"actual",21.8297935076887
"d18950",2016,"actual",25.1512168887157
"d18950",2017,"actual",26.9707285028111
"d18950",2018,"actual",33.3469437938577
"d18951",2015,"actual",23.2051856985609
"d18951",2016,"actual",23.8810438003401
"d18951",2017,"actual",24.5570737775638
"d18951",2018,"actual",36.1433097686064
"d18952",2015,"actual",19.9806693654973
"d18952",2016,"actual",26.7439043656854
"d18952",2017,"actual",27.7254129546278
"d18952",2018,"actual",24.2691596840953
"d18953",2015,"actual",15.6282435869652
"d18953",2016,"actual",28.6540183083543
"d18953",2017,"actual",15.2266583950016
"d18953",2018,"actual",4.22765202019445
"d18954",2015,"actual",
"d18954",2016,"actual",
"d18954",2017,"actual",
"d18954",2018,"actual",
"d18955",2015,"actual",9.88398083527488
"d18955",2016,"actual",33.2161620552061
"d18955",2017,"actual",30.0771110026861
"d18955",2018,"actual",33.8296065107459
"d18956",2015,"actual",19.2696435725682
"d18956",2016,"actual",9.02462016191638
"d18956",2017,"actual",11.1068805001918
"d18956",2018,"actual",10.842882154717
"d18957",2015,"actual",22.8335902904968
"d18957",2016,"actual",19.6412485404599
"d18957",2017,"actual",23.897510280122
"d18957",2018,"actual",26.7358018862863
"d18958",2015,"actual",27.1634751092393
"d18958",2016,"actual",30.325803101343
"d18958",2017,"actual",5.63387209428153
"d18958",2018,"actual",5.90508847340381
"d18959",2015,"actual",28.8533347932107
"d18959",2016,"actual",32.1384007628389
"d18959",2017,"actual",29.4242315222959
"d18959",2018,"actual",32.7590759993328
"d18960",2015,"actual",16.325428333113
"d18960",2016,"actual",18.0953120678354
"d18960",2017,"actual",20.0614183203099
"d18960",2018,"actual",23.2565327681396
"d18961",2015,"actual",27.6470230784976
"d18961",2016,"actual",28.4942912891448
"d18961",2017,"actual",31.3116907397376
"d18961",2018,"actual",37.616960203753
"d18962",2015,"actual",27.2369642137488
"d18962",2016,"actual",31.7401269916625
"d18962",2017,"actual",35.1148588238687
"d18962",2018,"actual",0.445380614165076
"d18964",2015,"actual",24.9571533152607
"d18964",2016,"actual",20.4787852547469
"d18964",2017,"actual",17.0156062376678
"d18964",2018,"actual",22.1463372495521
"d18965",2015,"actual",18.8835996482823
"d18965",2016,"actual",21.8776732249786
"d18965",2017,"actual",23.794483049063
"d18965",2018,"actual",31.7122204410234
"d18966",2015,"actual",10.3639121218303
"d18966",2016,"actual",15.0676370275301
"d18966",2017,"actual",17.548188428893
"d18966",2018,"actual",22.1706561083126
"d18967",2015,"actual",17.7708840788519
"d18967",2016,"actual",21.1900188147219
"d18967",2017,"actual",16.4348911607458
"d18967",2018,"actual",24.7462587193323
"d18968",2015,"actual",18.8522307737478
"d18968",2016,"actual",22.0910524684786
"d18968",2017,"actual",31.3820109582166
"d18968",2018,"actual",33.1311498030314
"d18969",2015,"actual",25.1968022219877
"d18969",2016,"actual",31.9110779755278
"d18969",2017,"actual",34.1397839363555
"d18969",2018,"actual",34.4171837753321
