"district_id","year","budget_type","percentage_of_revenue"
"d18943",2015,"actual",3.39566204914732
"d18943",2016,"actual",3.17820788970449
"d18943",2017,"actual",3.55915005868713
"d18943",2018,"actual",3.43730077852375
"d18944",2015,"actual",10.7449771266558
"d18944",2016,"actual",9.15989421695185
"d18944",2017,"actual",6.12235286360522
"d18944",2018,"actual",2.57011316282862
"d18946",2015,"actual",
"d18946",2016,"actual",15.2824381781468
"d18946",2017,"actual",18.4194243463498
"d18946",2018,"actual",
"d18947",2015,"actual",
"d18947",2016,"actual",5.48077278116705
"d18947",2017,"actual",7.50309287490278
"d18947",2018,"actual",
"d18948",2015,"actual",2.60407202183275
"d18948",2016,"actual",3.79985701195259
"d18948",2017,"actual",3.32048668340073
"d18948",2018,"actual",2.14291858816841
"d18949",2015,"actual",4.00581736195397
"d18949",2016,"actual",
"d18949",2017,"actual",11.0984553539253
"d18949",2018,"actual",9.24473905436792
"d18950",2015,"actual",4.26141694291305
"d18950",2016,"actual",6.59441811879123
"d18950",2017,"actual",7.19851893561294
"d18950",2018,"actual",
"d18951",2015,"actual",
"d18951",2016,"actual",
"d18951",2017,"actual",
"d18951",2018,"actual",
"d18952",2015,"actual",8.75420174626136
"d18952",2016,"actual",5.76087910544701
"d18952",2017,"actual",0.80417624214847
"d18952",2018,"actual",0.922844851016906
"d18953",2015,"actual",5.65282356027512
"d18953",2016,"actual",3.66398105634006
"d18953",2017,"actual",2.92167028552015
"d18953",2018,"actual",1.13166843942413
"d18954",2015,"actual",
"d18954",2016,"actual",
"d18954",2017,"actual",
"d18954",2018,"actual",
"d18955",2015,"actual",
"d18955",2016,"actual",
"d18955",2017,"actual",
"d18955",2018,"actual",1.99253318584071
"d18956",2015,"actual",7.47893135029134
"d18956",2016,"actual",4.60796273705223
"d18956",2017,"actual",5.70187743697503
"d18956",2018,"actual",4.27006325678945
"d18957",2015,"actual",
"d18957",2016,"actual",
"d18957",2017,"actual",
"d18957",2018,"actual",
"d18958",2015,"actual",7.11551706617589
"d18958",2016,"actual",11.7778991793388
"d18958",2017,"actual",
"d18958",2018,"actual",
"d18959",2015,"actual",7.83361048191919
"d18959",2016,"actual",9.80120782817963
"d18959",2017,"actual",10.5169957780938
"d18959",2018,"actual",7.32028687385334
"d18960",2015,"actual",10.0646316950551
"d18960",2016,"actual",13.7934627348607
"d18960",2017,"actual",10.2688435542515
"d18960",2018,"actual",8.49176114476084
"d18961",2015,"actual",7.38793368130181
"d18961",2016,"actual",6.10700049584967
"d18961",2017,"actual",7.01219073734067
"d18961",2018,"actual",9.32490636566432
"d18962",2015,"actual",
"d18962",2016,"actual",1.82327982672166
"d18962",2017,"actual",2.0743806419981
"d18962",2018,"actual",6.34872809047855
"d18964",2015,"actual",
"d18964",2016,"actual",
"d18964",2017,"actual",
"d18964",2018,"actual",
"d18965",2015,"actual",11.4702404414663
"d18965",2016,"actual",13.2042038372235
"d18965",2017,"actual",10.3881518916263
"d18965",2018,"actual",4.57100348435269
"d18966",2015,"actual",
"d18966",2016,"actual",12.8175360064319
"d18966",2017,"actual",
"d18966",2018,"actual",
"d18967",2015,"actual",16.6184124646461
"d18967",2016,"actual",18.6519243526369
"d18967",2017,"actual",11.426210952712
"d18967",2018,"actual",7.31115532605077
"d18968",2015,"actual",3.68584856159466
"d18968",2016,"actual",6.3357934154284
"d18968",2017,"actual",5.62392822786399
"d18968",2018,"actual",4.55078136387399
"d18969",2015,"actual",2.53231349481286
"d18969",2016,"actual",3.81603538342963
"d18969",2017,"actual",3.72620250675903
"d18969",2018,"actual",2.73098620758757
"d18970",2015,"actual",0.4887521015993
"d18970",2016,"actual",1.51829233260819
"d18970",2017,"actual",2.99743340377458
"d18970",2018,"actual",1.60279344446701
"d18971",2015,"actual",
"d18971",2016,"actual",
"d18971",2017,"actual",1.34545492055524
"d18971",2018,"actual",
"d18972",2015,"actual",3.71801248038777
"d18972",2016,"actual",6.2102795945971
"d18972",2017,"actual",
"d18972",2018,"actual",
"d18973",2015,"actual",5.30768105971441
"d18973",2016,"actual",5.40814464962601
"d18973",2017,"actual",5.02472398652969
"d18973",2018,"actual",2.52783980617949
"d18974",2015,"actual",7.19641440965129
"d18974",2016,"actual",7.21263154302582
"d18974",2017,"actual",7.78902230174574
"d18974",2018,"actual",5.12133939469663
"d18975",2015,"actual",5.02354183377064
"d18975",2016,"actual",7.75606552721722
"d18975",2017,"actual",6.86844005527935
"d18975",2018,"actual",5.22115219434311
"d18976",2015,"actual",4.39236059863624
"d18976",2016,"actual",
"d18976",2017,"actual",
"d18976",2018,"actual",
"d18977",2015,"actual",
"d18977",2016,"actual",
"d18977",2017,"actual",
"d18977",2018,"actual",5.95822692377534
"d18978",2015,"actual",
"d18978",2016,"actual",3.40675793416322
"d18978",2017,"actual",4.84220894736619
"d18978",2018,"actual",3.21633591314831
"d18979",2015,"actual",4.31263560788903
"d18979",2016,"actual",
"d18979",2017,"actual",
"d18979",2018,"actual",
"d18980",2015,"actual",9.06382613914013
"d18980",2016,"actual",
"d18980",2017,"actual",10.1036554337554
"d18980",2018,"actual",
"d18981",2015,"actual",
"d18981",2016,"actual",
"d18981",2017,"actual",1.78960650065362
"d18981",2018,"actual",
"d18982",2015,"actual",
"d18982",2016,"actual",18.0286668833847
"d18982",2017,"actual",
"d18982",2018,"actual",
"d18983",2015,"actual",5.19251968215248
"d18983",2016,"actual",
"d18983",2017,"actual",3.37650138897216
"d18983",2018,"actual",5.80756739316614
"d18984",2015,"actual",
"d18984",2016,"actual",
"d18984",2017,"actual",
"d18984",2018,"actual",
"d18985",2015,"actual",6.39985408498827
"d18985",2016,"actual",2.51190667464444
"d18985",2017,"actual",8.36163529354715
"d18985",2018,"actual",6.40896612660118
"d18986",2015,"actual",3.92822706778472
"d18986",2016,"actual",4.84367745286879
"d18986",2017,"actual",3.34401168999045
"d18986",2018,"actual",3.44180140139232
"d18987",2015,"actual",1.98500504543692
"d18987",2016,"actual",
"d18987",2017,"actual",1.97381180283153
"d18987",2018,"actual",
"d18988",2015,"actual",3.71723180011448
"d18988",2016,"actual",5.25369175113966
"d18988",2017,"actual",4.97381575815282
"d18988",2018,"actual",5.11428197588337
"d18989",2015,"actual",1.7909016479928
"d18989",2016,"actual",1.68507956565613
"d18989",2017,"actual",1.19353220619043
