"di_id","year","value"
"AW",2016,
"AW",1975,
"AW",2015,
"AW",2014,
"AW",1976,
"AW",1967,
"AW",1974,
"AW",1969,
"AW",1968,
"AW",1977,
"AW",2017,
"AW",2003,
"AW",2002,
"AW",1960,
"AW",2013,
"AW",2012,
"AW",2011,
"AW",2010,
"AW",2009,
"AW",2008,
"AW",2007,
"AW",2006,
"AW",2005,
"AW",2004,
"AW",1962,
"AW",1961,
"AW",1973,
"AW",2000,
"AW",1999,
"AW",1998,
"AW",1997,
"AW",1996,
"AW",1995,
"AW",1966,
"AW",1965,
"AW",1964,
"AW",1963,
"AW",1993,
"AW",1992,
"AW",1991,
"AW",1972,
"AW",1971,
"AW",1970,
"AW",1983,
"AW",1982,
"AW",1981,
"AW",1980,
"AW",1979,
"AW",1978,
"AW",1994,
"AW",1989,
"AW",1988,
"AW",1987,
"AW",1990,
"AW",1985,
"AW",1984,
"AW",2001,
"AW",1986,
"AF",1983,221.4
"AF",1982,228.1
"AF",1981,234.6
"AF",1980,241.3
"AF",1967,317.5
"AF",1966,323
"AF",1984,214.7
"AF",1969,306.6
"AF",1968,312.1
"AF",2007,102
"AF",1979,247.7
"AF",1978,254.1
"AF",1977,260.2
"AF",1976,266.2
"AF",1975,272.2
"AF",1974,278.2
"AF",1973,283.9
"AF",1972,290
"AF",1971,295.3
"AF",1970,300.9
"AF",1996,143.5
"AF",1995,147.8
"AF",1994,152.4
"AF",2006,106.1
"AF",2005,110.1
"AF",2004,114.1
"AF",2003,117.9
"AF",2002,121.7
"AF",2001,125.3
"AF",2000,128.8
"AF",1999,132.3
"AF",1998,135.8
"AF",1997,139.6
"AF",2013,79.2
"AF",2008,97.9
"AF",2011,86.2
"AF",1993,157.4
"AF",1992,162.9
"AF",1965,328.5
"AF",1964,334.1
"AF",1963,339.3
"AF",1962,344.8
"AF",1961,350.5
"AF",1960,356.5
"AF",1986,201.3
"AF",1985,208
"AF",2009,93.9
"AF",2017,67.9
"AF",2016,70.4
"AF",2010,90
"AF",1990,175.1
"AF",1989,181.4
"AF",2012,82.6
"AF",1991,168.9
"AF",2014,76
"AF",2015,73.1
"AF",1987,194.6
"AF",1988,188
"AO",1968,
"AO",1967,
"AO",1969,
"AO",1997,218.9
"AO",2010,121.3
"AO",2009,130
"AO",1970,
"AO",2007,148.7
"AO",2006,158.2
"AO",2005,167.8
"AO",2008,139.3
"AO",2003,185.7
"AO",2002,193.4
"AO",2014,93.6
"AO",2004,177
"AO",2015,88.9
"AO",1973,
"AO",1972,
"AO",1971,
"AO",1974,
"AO",1966,
"AO",1965,
"AO",1964,
"AO",1963,
"AO",1962,
"AO",1961,
"AO",1960,
"AO",2000,206.3
"AO",1999,211.4
"AO",1998,215.6
"AO",1976,
"AO",1975,
"AO",1984,226.9
"AO",1996,221.3
"AO",1995,222.7
"AO",1994,223.5
"AO",1993,223.8
"AO",1992,223.7
"AO",1991,223.6
"AO",1990,223.5
"AO",1989,223.5
"AO",2013,99.2
"AO",2012,105.8
"AO",2011,113.2
"AO",2001,200.3
"AO",1985,225.5
"AO",1983,228.6
"AO",1982,230.8
"AO",1981,233
"AO",1980,235.6
"AO",1979,
"AO",1978,
"AO",1977,
"AO",2017,81.1
"AO",2016,84.6
"AO",1988,223.8
"AO",1987,224.1
"AO",1986,224.7
"AL",1974,
"AL",1975,
"AL",2013,10.1
"AL",1973,
"AL",1972,
"AL",2014,9.7
"AL",1980,80.1
"AL",1983,62.7
"AL",1982,67.9
"AL",1981,73.6
"AL",1990,40.1
"AL",1989,42.2
"AL",1961,
"AL",1960,
"AL",2015,9.4
"AL",1971,
"AL",1970,
"AL",1969,
"AL",1968,
"AL",1967,
"AL",1966,
"AL",1965,
"AL",1964,
"AL",1963,
"AL",1962,
"AL",2017,8.8
"AL",2016,9.1
"AL",2011,11.3
"AL",2001,22.9
"AL",1998,27.7
"AL",1997,29.3
"AL",2000,24.5
"AL",1999,26.1
"AL",2007,14.8
"AL",1979,87.2
"AL",1978,95
"AL",1977,
"AL",1976,
"AL",2003,19.9
"AL",2002,21.4
"AL",1988,44.5
"AL",2010,12
"AL",2009,12.8
"AL",2012,10.7
"AL",2008,13.8
"AL",1995,32.4
"AL",1994,33.9
"AL",1993,35.4
"AL",1992,36.8
"AL",1991,38.4
"AL",2004,18.5
"AL",1986,50.4
"AL",1985,54
"AL",1984,58.2
"AL",1987,47.2
"AL",2006,16
"AL",1996,30.9
"AL",2005,17.2
"AD",1998,5.4
"AD",1997,5.7
"AD",2009,4
"AD",1999,5.2
"AD",2008,4.1
"AD",2007,4.2
"AD",2006,4.2
"AD",1980,
"AD",1979,
"AD",1978,
"AD",1977,
"AD",2005,4.3
"AD",1988,9.7
"AD",1987,10.3
"AD",1982,
"AD",1981,
"AD",1971,
"AD",1970,
"AD",1969,
"AD",1968,
"AD",1967,
"AD",1966,
"AD",1965,
"AD",1964,
"AD",1976,
"AD",1975,
"AD",1974,
"AD",1973,
"AD",1972,
"AD",1985,11.7
"AD",1984,
"AD",1996,6
"AD",1995,6.3
"AD",1994,6.7
"AD",1993,7.1
"AD",1992,7.5
"AD",1991,8
"AD",1990,8.5
"AD",1989,9.1
"AD",2002,4.7
"AD",2001,4.8
"AD",2000,5
"AD",1986,11
"AD",2016,3.4
"AD",1983,
"AD",2014,3.6
"AD",2017,3.3
"AD",2012,3.8
"AD",2011,3.9
"AD",2010,3.9
"AD",2013,3.7
"AD",1963,
"AD",1962,
"AD",1961,
"AD",1960,
"AD",2004,4.4
"AD",2015,3.5
"AD",2003,4.5
"AE",1980,35.5
"AE",2017,9.1
"AE",2016,9
"AE",1979,39.4
"AE",2013,8.3
"AE",2012,8.2
"AE",2015,8.7
"AE",2014,8.5
"AE",2009,8.6
"AE",2008,8.8
"AE",2007,9.1
"AE",2006,9.4
"AE",2005,9.7
"AE",2004,10
"AE",2003,10.3
"AE",2002,10.6
"AE",2001,10.9
"AE",2000,11.2
"AE",1999,11.6
"AE",2011,8.3
"AE",2010,8.4
"AE",1983,26.8
"AE",1982,29.2
"AE",1981,32.1
"AE",1969,108.1
"AE",1968,118.3
"AE",1967,128.7
"AE",1966,139.2
"AE",1978,43.7
"AE",1977,48.6
"AE",1976,53.9
"AE",1975,59.7
"AE",1974,66
"AE",1973,73
"AE",1972,80.8
