"di_id","year","value"
"AW",2016,
"AW",1975,
"AW",2015,15.2717695236206
"AW",2014,16.4054203033447
"AW",1976,
"AW",1967,
"AW",1974,
"AW",1969,
"AW",1968,
"AW",1977,
"AW",2017,
"AW",2003,26.7520008087158
"AW",2002,26.6890201568604
"AW",1960,
"AW",2013,16.1958293914795
"AW",2012,37.7556915283203
"AW",2011,38.7256393432617
"AW",2010,37.3457298278809
"AW",2009,35.3623199462891
"AW",2008,35.2404899597168
"AW",2007,33.9158210754395
"AW",2006,30.903190612793
"AW",2005,31.6834697723389
"AW",2004,26.3044109344482
"AW",1962,
"AW",1961,
"AW",1973,
"AW",2000,29.6505107879639
"AW",1999,28.0722198486328
"AW",1998,
"AW",1997,
"AW",1996,
"AW",1995,
"AW",1966,
"AW",1965,
"AW",1964,
"AW",1963,
"AW",1993,
"AW",1992,
"AW",1991,
"AW",1972,
"AW",1971,
"AW",1970,
"AW",1983,
"AW",1982,
"AW",1981,
"AW",1980,
"AW",1979,
"AW",1978,
"AW",1994,
"AW",1989,
"AW",1988,
"AW",1987,
"AW",1990,
"AW",1985,
"AW",1984,
"AW",2001,29.0558605194092
"AW",1986,
"AF",1983,
"AF",1982,1.73263001441956
"AF",1981,
"AF",1980,
"AF",1967,
"AF",1966,
"AF",1984,
"AF",1969,
"AF",1968,
"AF",2007,
"AF",1979,1.87839996814728
"AF",1978,1.74474000930786
"AF",1977,1.35733997821808
"AF",1976,1.2219500541687
"AF",1975,1.07943999767303
"AF",1974,1.02584004402161
"AF",1973,1.09740996360779
"AF",1972,0.952730000019073
"AF",1971,0.92451000213623
"AF",1970,0.768620014190674
"AF",1996,
"AF",1995,
"AF",1994,
"AF",2006,
"AF",2005,
"AF",2004,1.22090005874634
"AF",2003,1.22415995597839
"AF",2002,
"AF",2001,
"AF",2000,
"AF",1999,
"AF",1998,
"AF",1997,
"AF",2013,
"AF",2008,
"AF",2011,3.67969989776611
"AF",1993,
"AF",1992,
"AF",1965,
"AF",1964,
"AF",1963,
"AF",1962,
"AF",1961,
"AF",1960,
"AF",1986,2.17161011695862
"AF",1985,
"AF",2009,3.81795001029968
"AF",2017,
"AF",2016,
"AF",2010,
"AF",1990,2.23834991455078
"AF",1989,
"AF",2012,
"AF",1991,
"AF",2014,8.47570037841797
"AF",2015,
"AF",1987,1.71706998348236
"AF",1988,
"AO",1968,
"AO",1967,
"AO",1969,
"AO",1997,
"AO",2010,
"AO",2009,
"AO",1970,
"AO",2007,
"AO",2006,2.41582989692688
"AO",2005,2.47187995910645
"AO",2008,
"AO",2003,2.66564989089966
"AO",2002,0.71968001127243
"AO",2014,
"AO",2004,2.00119996070862
"AO",2015,8.50481986999512
"AO",1973,
"AO",1972,
"AO",1971,
"AO",1974,
"AO",1966,
"AO",1965,
"AO",1964,
"AO",1963,
"AO",1962,
"AO",1961,
"AO",1960,
"AO",2000,
"AO",1999,0.490130007266998
"AO",1998,0.535409986972809
"AO",1976,
"AO",1975,
"AO",1984,
"AO",1996,
"AO",1995,
"AO",1994,
"AO",1993,
"AO",1992,0.504880011081696
"AO",1991,0.541989982128143
"AO",1990,0.539690017700195
"AO",1989,0.521250009536743
"AO",2013,8.97978973388672
"AO",2012,
"AO",2011,6.24728012084961
"AO",2001,
"AO",1985,
"AO",1983,
"AO",1982,
"AO",1981,
"AO",1980,
"AO",1979,
"AO",1978,
"AO",1977,
"AO",2017,
"AO",2016,
"AO",1988,0.541119992733002
"AO",1987,
"AO",1986,
"AL",1974,
"AL",1975,
"AL",2013,68.0782318115234
"AL",1973,
"AL",1972,14.9286804199219
"AL",2014,70.3458633422852
"AL",1980,
"AL",1983,5.9263801574707
"AL",1982,
"AL",1981,5.18966007232666
"AL",1990,8.36919021606445
"AL",1989,8.14997005462646
"AL",1961,
"AL",1960,
"AL",2015,66.4028930664063
"AL",1971,13.908519744873
"AL",1970,
"AL",1969,
"AL",1968,
"AL",1967,
"AL",1966,
"AL",1965,
"AL",1964,
"AL",1963,
"AL",1962,
"AL",2017,
"AL",2016,61.2137985229492
"AL",2011,50.198371887207
"AL",2001,15.9750204086304
"AL",1998,13.5921401977539
"AL",1997,12.7329597473145
"AL",2000,15.5989398956299
"AL",1999,14.8002595901489
"AL",2007,30.8763904571533
"AL",1979,
"AL",1978,5.8317699432373
"AL",1977,
"AL",1976,
"AL",2003,16.7395496368408
"AL",2002,16.388599395752
"AL",1988,7.73884010314941
"AL",2010,44.8746299743652
"AL",2009,33.6308708190918
"AL",2012,61.4466285705566
"AL",2008,32.312198638916
"AL",1995,10.2207098007202
"AL",1994,10.6480903625488
"AL",1993,11.1889696121216
"AL",1992,9.29419994354248
"AL",1991,8.85986995697021
"AL",2004,19.9922294616699
"AL",1986,7.2216100692749
"AL",1985,7.0262598991394
"AL",1984,6.56029987335205
"AL",1987,7.32740020751953
"AL",2006,26.7865295410156
"AL",1996,10.9630498886108
"AL",2005,23.3133296966553
"AD",1998,
"AD",1997,
"AD",2009,
"AD",1999,
"AD",2008,
"AD",2007,
"AD",2006,
"AD",1980,
"AD",1979,
"AD",1978,
"AD",1977,
"AD",2005,
"AD",1988,
"AD",1987,
"AD",1982,
"AD",1981,
"AD",1971,
"AD",1970,
"AD",1969,
"AD",1968,
"AD",1967,
"AD",1966,
"AD",1965,
"AD",1964,
"AD",1976,
"AD",1975,
"AD",1974,
"AD",1973,
"AD",1972,
"AD",1985,
"AD",1984,
"AD",1996,
"AD",1995,
"AD",1994,
"AD",1993,
"AD",1992,
"AD",1991,
"AD",1990,
"AD",1989,
"AD",2002,
"AD",2001,
"AD",2000,
"AD",1986,
"AD",2016,
"AD",1983,
"AD",2014,
"AD",2017,
"AD",2012,
"AD",2011,
"AD",2010,
"AD",2013,
"AD",1963,
"AD",1962,
"AD",1961,
"AD",1960,
"AD",2004,
"AD",2015,
"AD",2003,
"AE",1980,1.60284996032715
"AE",2017,
"AE",2016,36.8470802307129
"AE",1979,1.07249999046326
"AE",2013,24.5679206848145
"AE",2012,21.611759185791
"AE",2015,33.4515914916992
"AE",2014,28.2606601715088
"AE",2009,15.6799201965332
"AE",2008,15.5525798797607
"AE",2007,17.4213409423828
"AE",2006,
"AE",2005,
"AE",2004,
"AE",2003,
"AE",2002,
"AE",2001,
"AE",2000,
"AE",1999,
