"id","year","budget_type","equitable_revenue_percent"
"d18943",2013,"actual",73.8326798716839
"d18943",2014,"actual",74.7326229565005
"d18943",2015,"actual",70.3757550321014
"d18943",2016,"actual",72.96112254998
"d18943",2017,"actual",79.2098216892164
"d18944",2013,"actual",85.456039441249
"d18944",2014,"actual",90.5620550625237
"d18944",2015,"actual",85.3656478610983
"d18944",2016,"actual",89.6145992996067
"d18944",2017,"actual",87.4708374657635
"d18946",2013,"actual",82.5501651003302
"d18946",2014,"actual",87.981527375489
"d18946",2015,"actual",86.9869141117285
"d18946",2016,"actual",86.5457875403226
"d18946",2017,"actual",87.116266697248
"d18947",2013,"actual",87.9856952289047
"d18947",2014,"actual",92.9887702027129
"d18947",2015,"actual",91.5582412341302
"d18947",2016,"actual",90.4690986836837
"d18947",2017,"actual",84.5032157077807
"d18948",2013,"actual",74.2375188171489
"d18948",2014,"actual",85.3333321375512
"d18948",2015,"actual",78.2474755010385
"d18948",2016,"actual",80.1125694693288
"d18948",2017,"actual",77.42182566508
"d18949",2013,"actual",86.5731462925852
"d18949",2014,"actual",92.0968059660566
"d18949",2015,"actual",89.2208755562907
"d18949",2016,"actual",89.7434965742111
"d18949",2017,"actual",89.3280602270143
"d18950",2013,"actual",88.3286781732674
"d18950",2014,"actual",93.4902750685481
"d18950",2015,"actual",91.7125924548868
"d18950",2016,"actual",90.490759906197
"d18950",2017,"actual",91.1323207686704
"d18951",2013,"actual",91.7543430389038
"d18951",2014,"actual",96.4148535748556
"d18951",2015,"actual",90.7463350432599
"d18951",2016,"actual",90.7044010136555
"d18951",2017,"actual",91.4890574837435
"d18952",2013,"actual",64.957159206904
"d18952",2014,"actual",65.5487034459904
"d18952",2015,"actual",70.3778306218343
"d18952",2016,"actual",58.8519096390536
"d18952",2017,"actual",67.8173349891035
"d18953",2013,"actual",87.8509462279
"d18953",2014,"actual",92.0447725307922
"d18953",2015,"actual",89.8451743602851
"d18953",2016,"actual",92.127912172852
"d18953",2017,"actual",89.361895978896
"d18954",2013,"actual",92.459748126893
"d18954",2014,"actual",99.1256574544633
"d18954",2015,"actual",97.2471463271441
"d18954",2016,"actual",95.1766041110896
"d18954",2017,"actual",94.2034885838062
"d18955",2013,"actual",81.0309224455655
"d18955",2014,"actual",89.564131531482
"d18955",2015,"actual",85.0308952184712
"d18955",2016,"actual",81.8270397246028
"d18955",2017,"actual",81.1756824300766
"d18956",2013,"actual",87.5482510247125
"d18956",2014,"actual",95.0418307894623
"d18956",2015,"actual",94.2205783278065
"d18956",2016,"actual",94.3505179145669
"d18956",2017,"actual",92.2640473352093
"d18957",2013,"actual",48.7558070005979
"d18957",2014,"actual",94.7271808299213
"d18957",2015,"actual",91.5976051718184
"d18957",2016,"actual",91.0773541664863
"d18957",2017,"actual",90.393402230423
"d18958",2013,"actual",74.9658244035807
"d18958",2014,"actual",81.5165026248378
"d18958",2015,"actual",80.2947926650576
"d18958",2016,"actual",78.7418141584837
"d18958",2017,"actual",79.095516821813
"d18959",2013,"actual",88.9949636941
"d18959",2014,"actual",95.6631494577573
"d18959",2015,"actual",93.5356845267789
"d18959",2016,"actual",93.7049212033164
"d18959",2017,"actual",89.3310647472796
"d18960",2013,"actual",92.2576416033407
"d18960",2014,"actual",97.5866128827293
"d18960",2015,"actual",96.2925833111812
"d18960",2016,"actual",95.6469493057494
"d18960",2017,"actual",93.5786224148209
"d18961",2013,"actual",89.5778870587375
"d18961",2014,"actual",91.1591493193699
"d18961",2015,"actual",86.5007014165944
"d18961",2016,"actual",85.237620435251
"d18961",2017,"actual",85.3046562022072
"d18962",2013,"actual",91.0818945034057
"d18962",2014,"actual",75.4254814312388
"d18962",2015,"actual",92.8581967448676
"d18962",2016,"actual",95.0309416414928
"d18962",2017,"actual",90.0518025979858
"d18964",2013,"actual",47.761494180639
"d18964",2014,"actual",49.6615643446579
"d18964",2015,"actual",51.6240769818554
"d18964",2016,"actual",54.9227763272747
"d18964",2017,"actual",58.495571034466
"d18965",2013,"actual",89.5966116190515
"d18965",2014,"actual",92.6886001891312
"d18965",2015,"actual",90.8954333224557
"d18965",2016,"actual",91.4584266668963
"d18965",2017,"actual",88.086877264033
"d18966",2013,"actual",95.3702098144616
"d18966",2014,"actual",98.7368559840666
