"district_id","value","year"
"d18974",31.6,2016
"d18975",26.4,2016
"d18987",33.7,2016
"d18988",35.7,2016
"d18976",26.5,2016
"d18955",31,2016
"d18965",20.3,2016
"d18968",37.1,2016
"d18956",40.9,2016
"d18991",32.7,2016
"d18989",34.7,2016
"d18977",27.4,2016
"d18943",25,2016
"d18949",37.1,2016
"d18944",29.6,2016
"d18969",32.3,2016
"d18970",31.2,2016
"d18957",46.4,2016
"d18950",29.7,2016
"d18978",40.1,2016
"d18951",33,2016
"d18958",36.4,2016
"d18959",46,2016
"d18966",45.8,2016
"d18960",33,2016
"d18961",32,2016
"d18971",46.1,2016
"d18952",25,2016
"d18946",39.6,2016
"d18964",24,2016
"d18979",30,2016
"d18980",26.8,2016
"d18981",24.5,2016
"d18962",35.2,2016
"d18972",36.6,2016
"d18947",33.9,2016
"d18948",38.1,2016
"d18982",35.1,2016
"d18973",45.7,2016
"d18953",31.7,2016
"d18954",38,2016
"d18983",23.9,2016
"d18984",52.1,2016
"d18985",28.4,2016
"d18990",41.3,2016
"d18967",33.6,2016
"d18986",26.8,2016
