"","district_id","value"
"1","d18974",31.6
"2","d18975",26.4
"3","d18987",33.7
"4","d18988",35.7
"5","d18976",26.5
"6","d18955",31
"7","d18965",20.3
"8","d18968",37.1
"9","d18956",40.9
"10","d18991",32.7
"11","d18989",34.7
"12","d18977",27.4
"13","d18943",25
"14","d18949",37.1
"15","d18944",29.6
"16","d18969",32.3
"17","d18970",31.2
"18","d18957",46.4
"19","d18950",29.7
"20","d18978",40.1
"21","d18951",33
"22","d18958",36.4
"23","d18959",46
"24","d18966",45.8
"25","d18960",33
"26","d18961",32
"27","d18971",46.1
"28","d18952",25
"29","d18946",39.6
"30","d18964",24
"31","d18979",30
"32","d18980",26.8
"33","d18981",24.5
"34","d18962",35.2
"35","d18972",36.6
"36","d18947",33.9
"37","d18948",38.1
"38","d18982",35.1
"39","d18973",45.7
"40","d18953",31.7
"41","d18954",38
"42","d18983",23.9
"43","d18984",52.1
"44","d18985",28.4
"45","d18990",41.3
"46","d18967",33.6
"47","d18986",26.8
