"district_id","value","year"
"d18974",78.5,2016
"d18975",73.9,2016
"d18987",78.4,2016
"d18988",86.4,2016
"d18976",78.1,2016
"d18955",83.6,2016
"d18965",62.3,2016
"d18968",70.8,2016
"d18956",78.2,2016
"d18991",74.1,2016
"d18989",73.8,2016
"d18977",81.6,2016
"d18943",78.4,2016
"d18949",66.3,2016
"d18944",83.6,2016
"d18969",81.8,2016
"d18970",81.2,2016
"d18957",71.9,2016
"d18950",79.1,2016
"d18978",87,2016
"d18951",79.2,2016
"d18958",71.6,2016
"d18959",74.8,2016
"d18966",79.1,2016
"d18960",68.4,2016
"d18961",74.8,2016
"d18971",78.3,2016
"d18952",83.1,2016
"d18946",87.8,2016
"d18964",77.7,2016
"d18979",78.7,2016
"d18980",84.9,2016
"d18981",91.6,2016
"d18962",74.7,2016
"d18972",88,2016
"d18947",76.3,2016
"d18948",86.4,2016
"d18982",81.4,2016
"d18973",83.4,2016
"d18953",78.1,2016
"d18954",76,2016
"d18983",78.4,2016
"d18984",65.4,2016
"d18985",74,2016
"d18990",79.1,2016
"d18967",74.2,2016
"d18986",60.2,2016
