"district_id","value","year"
"d18974",152,2016
"d18975",179,2016
"d18987",321,2016
"d18988",177,2016
"d18976",99,2016
"d18955",164,2016
"d18965",78,2016
"d18968",224,2016
"d18956",34,2016
"d18991",250,2016
"d18989",392,2016
"d18977",211,2016
"d18943",600,2016
"d18949",326,2016
"d18944",198,2016
"d18969",291,2016
"d18970",284,2016
"d18957",236,2016
"d18950",174,2016
"d18978",135,2016
"d18951",30,2016
"d18958",328,2016
"d18959",233,2016
"d18966",111,2016
"d18960",62,2016
"d18961",393,2016
"d18971",233,2016
"d18952",397,2016
"d18946",323,2016
"d18964",1503,2016
"d18979",578,2016
"d18980",202,2016
"d18981",223,2016
"d18962",107,2016
"d18972",179,2016
"d18947",191,2016
"d18948",271,2016
"d18982",61,2016
"d18973",246,2016
"d18953",102,2016
"d18954",56,2016
"d18983",210,2016
"d18984",246,2016
"d18985",270,2016
"d18990",144,2016
"d18967",69,2016
"d18986",119,2016
