"district_id","value","year"
"d18974",14.7,2016
"d18975",1.2,2016
"d18987",16.8,2016
"d18988",3.7,2016
"d18976",4.1,2016
"d18955",10.4,2016
"d18965",4.1,2016
"d18968",3.6,2016
"d18956",1.8,2016
"d18991",7,2016
"d18989",8.8,2016
"d18977",4.5,2016
"d18943",4.8,2016
"d18949",15,2016
"d18944",14.7,2016
"d18969",2.9,2016
"d18970",15.9,2016
"d18957",16.1,2016
"d18950",11.8,2016
"d18978",9.1,2016
"d18951",14,2016
"d18958",5.7,2016
"d18959",6,2016
"d18966",3,2016
"d18960",4.1,2016
"d18961",5.5,2016
"d18971",7.3,2016
"d18952",7.8,2016
"d18946",5.8,2016
"d18964",9.2,2016
"d18979",6.2,2016
"d18980",2.5,2016
"d18981",13.5,2016
"d18962",14.7,2016
"d18972",9,2016
"d18947",5.5,2016
"d18948",4.2,2016
"d18982",4.1,2016
"d18973",18.2,2016
"d18953",8.4,2016
"d18954",10.6,2016
"d18983",7.7,2016
"d18984",8.7,2016
"d18985",11.2,2016
"d18990",10.3,2016
"d18967",2.1,2016
"d18986",9.4,2016
