"district_id","value","year"
"d18974",3.2,2016
"d18975",0.7,2016
"d18987",2.1,2016
"d18988",3.3,2016
"d18976",2,2016
"d18955",4,2016
"d18965",0.9,2016
"d18968",2.9,2016
"d18956",1.7,2016
"d18991",0.7,2016
"d18989",2.1,2016
"d18977",2.1,2016
"d18943",1.1,2016
"d18949",2.7,2016
"d18944",5.8,2016
"d18969",2.4,2016
"d18970",2.7,2016
"d18957",4.6,2016
"d18950",4.1,2016
"d18978",1.6,2016
"d18951",2.9,2016
"d18958",3.9,2016
"d18959",3.9,2016
"d18966",3.7,2016
"d18960",3.6,2016
"d18961",8.5,2016
"d18971",5.1,2016
"d18952",0.5,2016
"d18946",3.3,2016
"d18964",1.2,2016
"d18979",1.9,2016
"d18980",1.1,2016
"d18981",1.9,2016
"d18962",4.4,2016
"d18972",5.2,2016
"d18947",1.7,2016
"d18948",2.1,2016
"d18982",1.9,2016
"d18973",5.3,2016
"d18953",3,2016
"d18954",2.8,2016
"d18983",2.1,2016
"d18984",4,2016
"d18985",3.6,2016
"d18990",6.3,2016
"d18967",1.5,2016
"d18986",2.2,2016
