"district_id","value","year"
"d18974",93.9,2016
"d18975",103.4,2016
"d18987",91.9,2016
"d18988",82,2016
"d18976",96.2,2016
"d18955",100.7,2016
"d18965",103.8,2016
"d18968",91.4,2016
"d18956",99.8,2016
"d18991",103.1,2016
"d18989",94.4,2016
"d18977",99.7,2016
"d18943",104.6,2016
"d18949",88.4,2016
"d18944",87.8,2016
"d18969",99.1,2016
"d18970",110,2016
"d18957",90.6,2016
"d18950",101.5,2016
"d18978",99.6,2016
"d18951",97.8,2016
"d18958",99.2,2016
"d18959",97.2,2016
"d18966",105.8,2016
"d18960",108.1,2016
"d18961",110.2,2016
"d18971",90,2016
"d18952",103,2016
"d18946",90.4,2016
"d18964",100.5,2016
"d18979",91.8,2016
"d18980",98.1,2016
"d18981",97.2,2016
"d18962",96.3,2016
"d18972",94,2016
"d18947",99.4,2016
"d18948",94.6,2016
"d18982",99.8,2016
"d18973",89.9,2016
"d18953",97.2,2016
"d18954",98.2,2016
"d18983",105.1,2016
"d18984",90.2,2016
"d18985",97.7,2016
"d18990",99.7,2016
"d18967",108.8,2016
"d18986",99,2016
