"district_id","value","year"
"d18974",567516,2010
"d18975",745617,2010
"d18987",1406776,2010
"d18988",761065,2010
"d18976",377942,2010
"d18955",528000,2010
"d18965",387995,2010
"d18968",984293,2010
"d18956",146567,2010
"d18991",701919,2010
"d18989",1698576,2010
"d18977",768350,2010
"d18943",1660366,2010
"d18949",1133208,2010
"d18944",540247,2010
"d18969",1176791,2010
"d18970",989514,2010
"d18957",1035831,2010
"d18950",663906,2010
"d18978",407658,2010
"d18951",103716,2010
"d18958",1123672,2010
"d18959",904725,2010
"d18966",638766,2010
"d18960",297817,2010
"d18961",1387275,2010
"d18971",936675,2010
"d18952",959187,2010
"d18946",964170,2010
"d18964",3144918,2010
"d18979",1637474,2010
"d18980",769022,2010
"d18981",868770,2010
"d18962",373672,2010
"d18972",610976,2010
"d18947",610017,2010
"d18948",709595,2010
"d18982",228762,2010
"d18973",860216,2010
"d18953",290789,2010
"d18954",245301,2010
"d18983",836332,2010
"d18984",873575,2010
"d18985",913027,2010
"d18990",567387,2010
"d18967",412210,2010
"d18986",523709,2010
"d18974",588478,2011
"d18975",773157,2011
"d18987",1428835,2011
"d18988",772999,2011
"d18976",391900,2011
"d18955",532852,2011
"d18965",394804,2011
"d18968",1006756,2011
"d18956",147928,2011
"d18991",727849,2011
"d18989",1725211,2011
"d18977",796729,2011
"d18943",1692651,2011
"d18949",1175021,2011
"d18944",550745,2011
"d18969",1203648,2011
"d18970",1012102,2011
"d18957",1045268,2011
"d18950",688398,2011
"d18978",422718,2011
"d18951",107546,2011
"d18958",1134005,2011
"d18959",913015,2011
"d18966",649970,2011
"d18960",300589,2011
"d18961",1400032,2011
"d18971",958055,2011
"d18952",994575,2011
"d18946",982921,2011
"d18964",3351315,2011
"d18979",1697951,2011
"d18980",797427,2011
"d18981",900860,2011
"d18962",377099,2011
"d18972",624921,2011
"d18947",621875,2011
"d18948",723392,2011
"d18982",237212,2011
"d18973",879853,2011
"d18953",301516,2011
"d18954",254348,2011
"d18983",867219,2011
"d18984",905842,2011
"d18985",946757,2011
"d18990",576283,2011
"d18967",419438,2011
"d18986",543054,2011
"d18974",610182,2012
"d18975",801671,2012
"d18987",1451892,2012
"d18988",785473,2012
"d18976",406355,2012
"d18955",537906,2012
"d18965",401806,2012
"d18968",1029823,2012
"d18956",149345,2012
"d18991",754693,2012
"d18989",1753050,2012
"d18977",826112,2012
"d18943",1726128,2012
"d18949",1218024,2012
"d18944",561642,2012
"d18969",1231223,2012
"d18970",1035287,2012
"d18957",1055104,2012
"d18950",713591,2012
"d18978",438309,2012
"d18951",111484,2012
"d18958",1144770,2012
"d18959",921652,2012
"d18966",661504,2012
"d18960",303474,2012
"d18961",1413323,2012
"d18971",980002,2012
"d18952",1030973,2012
"d18946",1002354,2012
"d18964",3563473,2012
"d18979",1760571,2012
"d18980",826838,2012
